Country;ATTR_RATIFICATION_DATE;TIME_PERIOD;ATTR_ENDPOINT
Netherlands;26.06.1987;2023;https://ihl-databases.icrc.org/public/refdocs/IHL_and_other_related_Treaties.xlsx
New Zealand;08.02.1988;2023;https://ihl-databases.icrc.org/public/refdocs/IHL_and_other_related_Treaties.xlsx
Nicaragua;19.07.1999;2023;https://ihl-databases.icrc.org/public/refdocs/IHL_and_other_related_Treaties.xlsx
Niger;08.06.1979;2023;https://ihl-databases.icrc.org/public/refdocs/IHL_and_other_related_Treaties.xlsx
Nigeria;10.10.1988;2023;https://ihl-databases.icrc.org/public/refdocs/IHL_and_other_related_Treaties.xlsx
Niue;;2023;https://ihl-databases.icrc.org/public/refdocs/IHL_and_other_related_Treaties.xlsx
North Macedonia;01.09.1993;2023;https://ihl-databases.icrc.org/public/refdocs/IHL_and_other_related_Treaties.xlsx
Norway;14.12.1981;2023;https://ihl-databases.icrc.org/public/refdocs/IHL_and_other_related_Treaties.xlsx
Oman;29.03.1984;2023;https://ihl-databases.icrc.org/public/refdocs/IHL_and_other_related_Treaties.xlsx
Pakistan;;2023;https://ihl-databases.icrc.org/public/refdocs/IHL_and_other_related_Treaties.xlsx
Palau;25.06.1996;2023;https://ihl-databases.icrc.org/public/refdocs/IHL_and_other_related_Treaties.xlsx
Palestine;02.04.2014;2023;https://ihl-databases.icrc.org/public/refdocs/IHL_and_other_related_Treaties.xlsx
Panama;18.09.1995;2023;https://ihl-databases.icrc.org/public/refdocs/IHL_and_other_related_Treaties.xlsx
Papua New Guinea;;2023;https://ihl-databases.icrc.org/public/refdocs/IHL_and_other_related_Treaties.xlsx
Paraguay;30.11.1990;2023;https://ihl-databases.icrc.org/public/refdocs/IHL_and_other_related_Treaties.xlsx
Peru;14.07.1989;2023;https://ihl-databases.icrc.org/public/refdocs/IHL_and_other_related_Treaties.xlsx
Philippines;30.03.2012;2023;https://ihl-databases.icrc.org/public/refdocs/IHL_and_other_related_Treaties.xlsx
Poland;23.10.1991;2023;https://ihl-databases.icrc.org/public/refdocs/IHL_and_other_related_Treaties.xlsx
Portugal;27.05.1992;2023;https://ihl-databases.icrc.org/public/refdocs/IHL_and_other_related_Treaties.xlsx
Qatar;05.04.1988;2023;https://ihl-databases.icrc.org/public/refdocs/IHL_and_other_related_Treaties.xlsx
Republic of Korea;15.01.1982;2023;https://ihl-databases.icrc.org/public/refdocs/IHL_and_other_related_Treaties.xlsx
Republic of Moldova;24.05.1993;2023;https://ihl-databases.icrc.org/public/refdocs/IHL_and_other_related_Treaties.xlsx
Romania;21.06.1990;2023;https://ihl-databases.icrc.org/public/refdocs/IHL_and_other_related_Treaties.xlsx
Russian Federation;29.09.1989;2023;https://ihl-databases.icrc.org/public/refdocs/IHL_and_other_related_Treaties.xlsx
Rwanda;19.11.1984;2023;https://ihl-databases.icrc.org/public/refdocs/IHL_and_other_related_Treaties.xlsx
Saint Kitts and Nevis;14.02.1986;2023;https://ihl-databases.icrc.org/public/refdocs/IHL_and_other_related_Treaties.xlsx
Saint Lucia;07.10.1982;2023;https://ihl-databases.icrc.org/public/refdocs/IHL_and_other_related_Treaties.xlsx
