COUNTRY_ISO_3_original;country_col_not_used;TIME_PERIOD;RAW_OBS_VALUE;ATTR_INDICATOR_NOTE_OF_SOURCE;ATTR_SOURCE_COMMENT;ATTR_ENCODING_LABELS;ATTR_SOURCE;ATTR_SOURCE_BODY;INDICATOR_CODE;INDICATOR_NAME;INDIATOR_INDEX;INDICATOR_ISSUE;INDICATOR_CATEGORY;INDICATOR_DESCRIPTION;Unnamed: 35;COUNTRY_ISO_2_country_list;COUNTRY_ISO_3_country_list;COUNTRY_ISO_3;ATTR_ENDPOINT
BRA;Brazil;2023;Yes, the country has a consumer protection authority listed;This indicator assesses whether a country has a consumer protection enforcement authority. It also records whether that authority is an ICPEN member, and thus also addressing cross-border activities affecting consumers. The International Consumer Protection Enforcement Network (ICPEN) is a membership organisation consisting of consumer protection law enforcement authorities from across the globe. The mandate of ICPEN is to share information about cross-border commercial activities that may affect consumer interests and to encourage international cooperation and collaboration among consumer law enforcement agencies in this scope. Data for the list of worldwide consumer protection authorities is taken from the US FTC. ;;;;;;;;;;;;BR;BRA;BRA;nan
BRN;Brunei;2023;Yes, the country has a consumer protection authority listed;This indicator assesses whether a country has a consumer protection enforcement authority. It also records whether that authority is an ICPEN member, and thus also addressing cross-border activities affecting consumers. The International Consumer Protection Enforcement Network (ICPEN) is a membership organisation consisting of consumer protection law enforcement authorities from across the globe. The mandate of ICPEN is to share information about cross-border commercial activities that may affect consumer interests and to encourage international cooperation and collaboration among consumer law enforcement agencies in this scope. Data for the list of worldwide consumer protection authorities is taken from the US FTC. ;;;;;;;;;;;;BN;BRN;BRN;nan
BGR;Bulgaria;2023;Yes the country has a consumer protection law enforcement authority which is a member of ICPEN;This indicator assesses whether a country has a consumer protection enforcement authority. It also records whether that authority is an ICPEN member, and thus also addressing cross-border activities affecting consumers. The International Consumer Protection Enforcement Network (ICPEN) is a membership organisation consisting of consumer protection law enforcement authorities from across the globe. The mandate of ICPEN is to share information about cross-border commercial activities that may affect consumer interests and to encourage international cooperation and collaboration among consumer law enforcement agencies in this scope. Data for the list of worldwide consumer protection authorities is taken from the US FTC. ;;;;;;;;;;;;BG;BGR;BGR;nan
BFA;Burkina Faso;2023;Yes, the country has a consumer protection authority listed;This indicator assesses whether a country has a consumer protection enforcement authority. It also records whether that authority is an ICPEN member, and thus also addressing cross-border activities affecting consumers. The International Consumer Protection Enforcement Network (ICPEN) is a membership organisation consisting of consumer protection law enforcement authorities from across the globe. The mandate of ICPEN is to share information about cross-border commercial activities that may affect consumer interests and to encourage international cooperation and collaboration among consumer law enforcement agencies in this scope. Data for the list of worldwide consumer protection authorities is taken from the US FTC. ;;;;;;;;;;;;BF;BFA;BFA;nan
BDI;Burundi;2023;No consumer protection authority listed;This indicator assesses whether a country has a consumer protection enforcement authority. It also records whether that authority is an ICPEN member, and thus also addressing cross-border activities affecting consumers. The International Consumer Protection Enforcement Network (ICPEN) is a membership organisation consisting of consumer protection law enforcement authorities from across the globe. The mandate of ICPEN is to share information about cross-border commercial activities that may affect consumer interests and to encourage international cooperation and collaboration among consumer law enforcement agencies in this scope. Data for the list of worldwide consumer protection authorities is taken from the US FTC. ;;;;;;;;;;;;BI;BDI;BDI;nan
CPV;Cabo Verde;2023;No consumer protection authority listed;This indicator assesses whether a country has a consumer protection enforcement authority. It also records whether that authority is an ICPEN member, and thus also addressing cross-border activities affecting consumers. The International Consumer Protection Enforcement Network (ICPEN) is a membership organisation consisting of consumer protection law enforcement authorities from across the globe. The mandate of ICPEN is to share information about cross-border commercial activities that may affect consumer interests and to encourage international cooperation and collaboration among consumer law enforcement agencies in this scope. Data for the list of worldwide consumer protection authorities is taken from the US FTC. ;;;;;;;;;;;;CV;CPV;CPV;nan
KHM;Cambodia;2023;No consumer protection authority listed;This indicator assesses whether a country has a consumer protection enforcement authority. It also records whether that authority is an ICPEN member, and thus also addressing cross-border activities affecting consumers. The International Consumer Protection Enforcement Network (ICPEN) is a membership organisation consisting of consumer protection law enforcement authorities from across the globe. The mandate of ICPEN is to share information about cross-border commercial activities that may affect consumer interests and to encourage international cooperation and collaboration among consumer law enforcement agencies in this scope. Data for the list of worldwide consumer protection authorities is taken from the US FTC. ;;;;;;;;;;;;KH;KHM;KHM;nan
CMR;Cameroon;2023;Yes, the country has a consumer protection authority listed;This indicator assesses whether a country has a consumer protection enforcement authority. It also records whether that authority is an ICPEN member, and thus also addressing cross-border activities affecting consumers. The International Consumer Protection Enforcement Network (ICPEN) is a membership organisation consisting of consumer protection law enforcement authorities from across the globe. The mandate of ICPEN is to share information about cross-border commercial activities that may affect consumer interests and to encourage international cooperation and collaboration among consumer law enforcement agencies in this scope. Data for the list of worldwide consumer protection authorities is taken from the US FTC. ;;;;;;;;;;;;CM;CMR;CMR;nan
CAN;Canada;2023;Yes the country has a consumer protection law enforcement authority which is a member of ICPEN;This indicator assesses whether a country has a consumer protection enforcement authority. It also records whether that authority is an ICPEN member, and thus also addressing cross-border activities affecting consumers. The International Consumer Protection Enforcement Network (ICPEN) is a membership organisation consisting of consumer protection law enforcement authorities from across the globe. The mandate of ICPEN is to share information about cross-border commercial activities that may affect consumer interests and to encourage international cooperation and collaboration among consumer law enforcement agencies in this scope. Data for the list of worldwide consumer protection authorities is taken from the US FTC. ;;;;;;;;;;;;;;CAN;nan
CAF;Central African Republic;2023;No consumer protection authority listed;This indicator assesses whether a country has a consumer protection enforcement authority. It also records whether that authority is an ICPEN member, and thus also addressing cross-border activities affecting consumers. The International Consumer Protection Enforcement Network (ICPEN) is a membership organisation consisting of consumer protection law enforcement authorities from across the globe. The mandate of ICPEN is to share information about cross-border commercial activities that may affect consumer interests and to encourage international cooperation and collaboration among consumer law enforcement agencies in this scope. Data for the list of worldwide consumer protection authorities is taken from the US FTC. ;;;;;;;;;;;;CF;CAF;CAF;nan
