COUNTRY_ISO_3_original;country_col_not_used;TIME_PERIOD;RAW_OBS_VALUE;ATTR_INDICATOR_NOTE_OF_SOURCE;ATTR_SOURCE_COMMENT;ATTR_ENCODING_LABELS;ATTR_SOURCE;ATTR_SOURCE_BODY;INDICATOR_CODE;INDICATOR_NAME;INDIATOR_INDEX;INDICATOR_ISSUE;INDICATOR_CATEGORY;INDICATOR_DESCRIPTION;Unnamed: 35;COUNTRY_ISO_2_country_list;COUNTRY_ISO_3_country_list;COUNTRY_ISO_3;ATTR_ENDPOINT
DJI;Djibouti;2023;No consumer protection authority listed;This indicator assesses whether a country has a consumer protection enforcement authority. It also records whether that authority is an ICPEN member, and thus also addressing cross-border activities affecting consumers. The International Consumer Protection Enforcement Network (ICPEN) is a membership organisation consisting of consumer protection law enforcement authorities from across the globe. The mandate of ICPEN is to share information about cross-border commercial activities that may affect consumer interests and to encourage international cooperation and collaboration among consumer law enforcement agencies in this scope. Data for the list of worldwide consumer protection authorities is taken from the US FTC. ;;;;;;;;;;;;DJ;DJI;DJI;nan
DMA;Dominica;2023;No consumer protection authority listed;This indicator assesses whether a country has a consumer protection enforcement authority. It also records whether that authority is an ICPEN member, and thus also addressing cross-border activities affecting consumers. The International Consumer Protection Enforcement Network (ICPEN) is a membership organisation consisting of consumer protection law enforcement authorities from across the globe. The mandate of ICPEN is to share information about cross-border commercial activities that may affect consumer interests and to encourage international cooperation and collaboration among consumer law enforcement agencies in this scope. Data for the list of worldwide consumer protection authorities is taken from the US FTC. ;;;;;;;;;;;;DM;DMA;DMA;nan
DOM;Dominican Republic;2023;Yes the country has a consumer protection law enforcement authority which is a member of ICPEN;This indicator assesses whether a country has a consumer protection enforcement authority. It also records whether that authority is an ICPEN member, and thus also addressing cross-border activities affecting consumers. The International Consumer Protection Enforcement Network (ICPEN) is a membership organisation consisting of consumer protection law enforcement authorities from across the globe. The mandate of ICPEN is to share information about cross-border commercial activities that may affect consumer interests and to encourage international cooperation and collaboration among consumer law enforcement agencies in this scope. Data for the list of worldwide consumer protection authorities is taken from the US FTC. ;;;;;;;;;;;;DO;DOM;DOM;nan
ECU;Ecuador;2023;Yes, the country has a consumer protection authority listed;This indicator assesses whether a country has a consumer protection enforcement authority. It also records whether that authority is an ICPEN member, and thus also addressing cross-border activities affecting consumers. The International Consumer Protection Enforcement Network (ICPEN) is a membership organisation consisting of consumer protection law enforcement authorities from across the globe. The mandate of ICPEN is to share information about cross-border commercial activities that may affect consumer interests and to encourage international cooperation and collaboration among consumer law enforcement agencies in this scope. Data for the list of worldwide consumer protection authorities is taken from the US FTC. ;;;;;;;;;;;;EC;ECU;ECU;nan
EGY;Egypt;2023;Yes the country has a consumer protection law enforcement authority which is a member of ICPEN;This indicator assesses whether a country has a consumer protection enforcement authority. It also records whether that authority is an ICPEN member, and thus also addressing cross-border activities affecting consumers. The International Consumer Protection Enforcement Network (ICPEN) is a membership organisation consisting of consumer protection law enforcement authorities from across the globe. The mandate of ICPEN is to share information about cross-border commercial activities that may affect consumer interests and to encourage international cooperation and collaboration among consumer law enforcement agencies in this scope. Data for the list of worldwide consumer protection authorities is taken from the US FTC. ;;;;;;;;;;;;EG;EGY;EGY;nan
SLV;El Salvador;2023;Yes the country has a consumer protection law enforcement authority which is a member of ICPEN;This indicator assesses whether a country has a consumer protection enforcement authority. It also records whether that authority is an ICPEN member, and thus also addressing cross-border activities affecting consumers. The International Consumer Protection Enforcement Network (ICPEN) is a membership organisation consisting of consumer protection law enforcement authorities from across the globe. The mandate of ICPEN is to share information about cross-border commercial activities that may affect consumer interests and to encourage international cooperation and collaboration among consumer law enforcement agencies in this scope. Data for the list of worldwide consumer protection authorities is taken from the US FTC. ;;;;;;;;;;;;SV;SLV;SLV;nan
GNQ;Equatorial Guinea;2023;No consumer protection authority listed;This indicator assesses whether a country has a consumer protection enforcement authority. It also records whether that authority is an ICPEN member, and thus also addressing cross-border activities affecting consumers. The International Consumer Protection Enforcement Network (ICPEN) is a membership organisation consisting of consumer protection law enforcement authorities from across the globe. The mandate of ICPEN is to share information about cross-border commercial activities that may affect consumer interests and to encourage international cooperation and collaboration among consumer law enforcement agencies in this scope. Data for the list of worldwide consumer protection authorities is taken from the US FTC. ;;;;;;;;;;;;GQ;GNQ;GNQ;nan
ERI;Eritrea;2023;No consumer protection authority listed;This indicator assesses whether a country has a consumer protection enforcement authority. It also records whether that authority is an ICPEN member, and thus also addressing cross-border activities affecting consumers. The International Consumer Protection Enforcement Network (ICPEN) is a membership organisation consisting of consumer protection law enforcement authorities from across the globe. The mandate of ICPEN is to share information about cross-border commercial activities that may affect consumer interests and to encourage international cooperation and collaboration among consumer law enforcement agencies in this scope. Data for the list of worldwide consumer protection authorities is taken from the US FTC. ;;;;;;;;;;;;ER;ERI;ERI;nan
EST;Estonia;2023;Yes the country has a consumer protection law enforcement authority which is a member of ICPEN;This indicator assesses whether a country has a consumer protection enforcement authority. It also records whether that authority is an ICPEN member, and thus also addressing cross-border activities affecting consumers. The International Consumer Protection Enforcement Network (ICPEN) is a membership organisation consisting of consumer protection law enforcement authorities from across the globe. The mandate of ICPEN is to share information about cross-border commercial activities that may affect consumer interests and to encourage international cooperation and collaboration among consumer law enforcement agencies in this scope. Data for the list of worldwide consumer protection authorities is taken from the US FTC. ;;;;;;;;;;;;EE;EST;EST;nan
SWZ;Swaziland;2023;Yes the country has a consumer protection law enforcement authority which is a member of ICPEN;This indicator assesses whether a country has a consumer protection enforcement authority. It also records whether that authority is an ICPEN member, and thus also addressing cross-border activities affecting consumers. The International Consumer Protection Enforcement Network (ICPEN) is a membership organisation consisting of consumer protection law enforcement authorities from across the globe. The mandate of ICPEN is to share information about cross-border commercial activities that may affect consumer interests and to encourage international cooperation and collaboration among consumer law enforcement agencies in this scope. Data for the list of worldwide consumer protection authorities is taken from the US FTC. ;;;;;;;;;;;;;;SWZ;nan
ETH;Ethiopia;2023;Yes, the country has a consumer protection authority listed;This indicator assesses whether a country has a consumer protection enforcement authority. It also records whether that authority is an ICPEN member, and thus also addressing cross-border activities affecting consumers. The International Consumer Protection Enforcement Network (ICPEN) is a membership organisation consisting of consumer protection law enforcement authorities from across the globe. The mandate of ICPEN is to share information about cross-border commercial activities that may affect consumer interests and to encourage international cooperation and collaboration among consumer law enforcement agencies in this scope. Data for the list of worldwide consumer protection authorities is taken from the US FTC. ;;;;;;;;;;;;ET;ETH;ETH;nan
FJI;Fiji;2023;Yes the country has a consumer protection law enforcement authority which is a member of ICPEN;This indicator assesses whether a country has a consumer protection enforcement authority. It also records whether that authority is an ICPEN member, and thus also addressing cross-border activities affecting consumers. The International Consumer Protection Enforcement Network (ICPEN) is a membership organisation consisting of consumer protection law enforcement authorities from across the globe. The mandate of ICPEN is to share information about cross-border commercial activities that may affect consumer interests and to encourage international cooperation and collaboration among consumer law enforcement agencies in this scope. Data for the list of worldwide consumer protection authorities is taken from the US FTC. ;;;;;;;;;;;;FJ;FJI;FJI;nan
FIN;Finland;2023;Yes the country has a consumer protection law enforcement authority which is a member of ICPEN;This indicator assesses whether a country has a consumer protection enforcement authority. It also records whether that authority is an ICPEN member, and thus also addressing cross-border activities affecting consumers. The International Consumer Protection Enforcement Network (ICPEN) is a membership organisation consisting of consumer protection law enforcement authorities from across the globe. The mandate of ICPEN is to share information about cross-border commercial activities that may affect consumer interests and to encourage international cooperation and collaboration among consumer law enforcement agencies in this scope. Data for the list of worldwide consumer protection authorities is taken from the US FTC. ;;;;;;;;;;;;FI;FIN;FIN;nan
FRA;France;2023;Yes the country has a consumer protection law enforcement authority which is a member of ICPEN;This indicator assesses whether a country has a consumer protection enforcement authority. It also records whether that authority is an ICPEN member, and thus also addressing cross-border activities affecting consumers. The International Consumer Protection Enforcement Network (ICPEN) is a membership organisation consisting of consumer protection law enforcement authorities from across the globe. The mandate of ICPEN is to share information about cross-border commercial activities that may affect consumer interests and to encourage international cooperation and collaboration among consumer law enforcement agencies in this scope. Data for the list of worldwide consumer protection authorities is taken from the US FTC. ;;;;;;;;;;;;FR;FRA;FRA;nan
GAB;Gabon;2023;No consumer protection authority listed;This indicator assesses whether a country has a consumer protection enforcement authority. It also records whether that authority is an ICPEN member, and thus also addressing cross-border activities affecting consumers. The International Consumer Protection Enforcement Network (ICPEN) is a membership organisation consisting of consumer protection law enforcement authorities from across the globe. The mandate of ICPEN is to share information about cross-border commercial activities that may affect consumer interests and to encourage international cooperation and collaboration among consumer law enforcement agencies in this scope. Data for the list of worldwide consumer protection authorities is taken from the US FTC. ;;;;;;;;;;;;GA;GAB;GAB;nan
GMB;Gambia;2023;Yes the country has a consumer protection law enforcement authority which is a member of ICPEN;This indicator assesses whether a country has a consumer protection enforcement authority. It also records whether that authority is an ICPEN member, and thus also addressing cross-border activities affecting consumers. The International Consumer Protection Enforcement Network (ICPEN) is a membership organisation consisting of consumer protection law enforcement authorities from across the globe. The mandate of ICPEN is to share information about cross-border commercial activities that may affect consumer interests and to encourage international cooperation and collaboration among consumer law enforcement agencies in this scope. Data for the list of worldwide consumer protection authorities is taken from the US FTC. ;;;;;;;;;;;;GM;GMB;GMB;nan
GEO;Georgia;2023;Yes, the country has a consumer protection authority listed;This indicator assesses whether a country has a consumer protection enforcement authority. It also records whether that authority is an ICPEN member, and thus also addressing cross-border activities affecting consumers. The International Consumer Protection Enforcement Network (ICPEN) is a membership organisation consisting of consumer protection law enforcement authorities from across the globe. The mandate of ICPEN is to share information about cross-border commercial activities that may affect consumer interests and to encourage international cooperation and collaboration among consumer law enforcement agencies in this scope. Data for the list of worldwide consumer protection authorities is taken from the US FTC. ;;;;;;;;;;;;GE;GEO;GEO;nan
DEU;Germany;2023;Yes the country has a consumer protection law enforcement authority which is a member of ICPEN;This indicator assesses whether a country has a consumer protection enforcement authority. It also records whether that authority is an ICPEN member, and thus also addressing cross-border activities affecting consumers. The International Consumer Protection Enforcement Network (ICPEN) is a membership organisation consisting of consumer protection law enforcement authorities from across the globe. The mandate of ICPEN is to share information about cross-border commercial activities that may affect consumer interests and to encourage international cooperation and collaboration among consumer law enforcement agencies in this scope. Data for the list of worldwide consumer protection authorities is taken from the US FTC. ;;;;;;;;;;;;DE;DEU;DEU;nan
GHA;Ghana;2023;No consumer protection authority listed;This indicator assesses whether a country has a consumer protection enforcement authority. It also records whether that authority is an ICPEN member, and thus also addressing cross-border activities affecting consumers. The International Consumer Protection Enforcement Network (ICPEN) is a membership organisation consisting of consumer protection law enforcement authorities from across the globe. The mandate of ICPEN is to share information about cross-border commercial activities that may affect consumer interests and to encourage international cooperation and collaboration among consumer law enforcement agencies in this scope. Data for the list of worldwide consumer protection authorities is taken from the US FTC. ;;;;;;;;;;;;GH;GHA;GHA;nan
GRC;Greece;2023;Yes the country has a consumer protection law enforcement authority which is a member of ICPEN;This indicator assesses whether a country has a consumer protection enforcement authority. It also records whether that authority is an ICPEN member, and thus also addressing cross-border activities affecting consumers. The International Consumer Protection Enforcement Network (ICPEN) is a membership organisation consisting of consumer protection law enforcement authorities from across the globe. The mandate of ICPEN is to share information about cross-border commercial activities that may affect consumer interests and to encourage international cooperation and collaboration among consumer law enforcement agencies in this scope. Data for the list of worldwide consumer protection authorities is taken from the US FTC. ;;;;;;;;;;;;GR;GRC;GRC;nan
GRD;Grenada;2023;No consumer protection authority listed;This indicator assesses whether a country has a consumer protection enforcement authority. It also records whether that authority is an ICPEN member, and thus also addressing cross-border activities affecting consumers. The International Consumer Protection Enforcement Network (ICPEN) is a membership organisation consisting of consumer protection law enforcement authorities from across the globe. The mandate of ICPEN is to share information about cross-border commercial activities that may affect consumer interests and to encourage international cooperation and collaboration among consumer law enforcement agencies in this scope. Data for the list of worldwide consumer protection authorities is taken from the US FTC. ;;;;;;;;;;;;GD;GRD;GRD;nan
GTM;Guatemala;2023;No consumer protection authority listed;This indicator assesses whether a country has a consumer protection enforcement authority. It also records whether that authority is an ICPEN member, and thus also addressing cross-border activities affecting consumers. The International Consumer Protection Enforcement Network (ICPEN) is a membership organisation consisting of consumer protection law enforcement authorities from across the globe. The mandate of ICPEN is to share information about cross-border commercial activities that may affect consumer interests and to encourage international cooperation and collaboration among consumer law enforcement agencies in this scope. Data for the list of worldwide consumer protection authorities is taken from the US FTC. ;;;;;;;;;;;;GT;GTM;GTM;nan
GIN;Guinea;2023;No consumer protection authority listed;This indicator assesses whether a country has a consumer protection enforcement authority. It also records whether that authority is an ICPEN member, and thus also addressing cross-border activities affecting consumers. The International Consumer Protection Enforcement Network (ICPEN) is a membership organisation consisting of consumer protection law enforcement authorities from across the globe. The mandate of ICPEN is to share information about cross-border commercial activities that may affect consumer interests and to encourage international cooperation and collaboration among consumer law enforcement agencies in this scope. Data for the list of worldwide consumer protection authorities is taken from the US FTC. ;;;;;;;;;;;;GN;GIN;GIN;nan
GNB;Guinea-Bissau;2023;No consumer protection authority listed;This indicator assesses whether a country has a consumer protection enforcement authority. It also records whether that authority is an ICPEN member, and thus also addressing cross-border activities affecting consumers. The International Consumer Protection Enforcement Network (ICPEN) is a membership organisation consisting of consumer protection law enforcement authorities from across the globe. The mandate of ICPEN is to share information about cross-border commercial activities that may affect consumer interests and to encourage international cooperation and collaboration among consumer law enforcement agencies in this scope. Data for the list of worldwide consumer protection authorities is taken from the US FTC. ;;;;;;;;;;;;;;GNB;nan
GUY;Guyana;2023;Yes, the country has a consumer protection authority listed;This indicator assesses whether a country has a consumer protection enforcement authority. It also records whether that authority is an ICPEN member, and thus also addressing cross-border activities affecting consumers. The International Consumer Protection Enforcement Network (ICPEN) is a membership organisation consisting of consumer protection law enforcement authorities from across the globe. The mandate of ICPEN is to share information about cross-border commercial activities that may affect consumer interests and to encourage international cooperation and collaboration among consumer law enforcement agencies in this scope. Data for the list of worldwide consumer protection authorities is taken from the US FTC. ;;;;;;;;;;;;GY;GUY;GUY;nan
HTI;Haiti;2023;No consumer protection authority listed;This indicator assesses whether a country has a consumer protection enforcement authority. It also records whether that authority is an ICPEN member, and thus also addressing cross-border activities affecting consumers. The International Consumer Protection Enforcement Network (ICPEN) is a membership organisation consisting of consumer protection law enforcement authorities from across the globe. The mandate of ICPEN is to share information about cross-border commercial activities that may affect consumer interests and to encourage international cooperation and collaboration among consumer law enforcement agencies in this scope. Data for the list of worldwide consumer protection authorities is taken from the US FTC. ;;;;;;;;;;;;HT;HTI;HTI;nan
HND;Honduras;2023;Yes, the country has a consumer protection authority listed;This indicator assesses whether a country has a consumer protection enforcement authority. It also records whether that authority is an ICPEN member, and thus also addressing cross-border activities affecting consumers. The International Consumer Protection Enforcement Network (ICPEN) is a membership organisation consisting of consumer protection law enforcement authorities from across the globe. The mandate of ICPEN is to share information about cross-border commercial activities that may affect consumer interests and to encourage international cooperation and collaboration among consumer law enforcement agencies in this scope. Data for the list of worldwide consumer protection authorities is taken from the US FTC. ;;;;;;;;;;;;HN;HND;HND;nan
HUN;Hungary;2023;Yes the country has a consumer protection law enforcement authority which is a member of ICPEN;This indicator assesses whether a country has a consumer protection enforcement authority. It also records whether that authority is an ICPEN member, and thus also addressing cross-border activities affecting consumers. The International Consumer Protection Enforcement Network (ICPEN) is a membership organisation consisting of consumer protection law enforcement authorities from across the globe. The mandate of ICPEN is to share information about cross-border commercial activities that may affect consumer interests and to encourage international cooperation and collaboration among consumer law enforcement agencies in this scope. Data for the list of worldwide consumer protection authorities is taken from the US FTC. ;;;;;;;;;;;;HU;HUN;HUN;nan
ISL;Iceland;2023;Yes, the country has a consumer protection authority listed;This indicator assesses whether a country has a consumer protection enforcement authority. It also records whether that authority is an ICPEN member, and thus also addressing cross-border activities affecting consumers. The International Consumer Protection Enforcement Network (ICPEN) is a membership organisation consisting of consumer protection law enforcement authorities from across the globe. The mandate of ICPEN is to share information about cross-border commercial activities that may affect consumer interests and to encourage international cooperation and collaboration among consumer law enforcement agencies in this scope. Data for the list of worldwide consumer protection authorities is taken from the US FTC. ;;;;;;;;;;;;IS;ISL;ISL;nan
IND;India;2023;Yes the country has a consumer protection law enforcement authority which is a member of ICPEN;This indicator assesses whether a country has a consumer protection enforcement authority. It also records whether that authority is an ICPEN member, and thus also addressing cross-border activities affecting consumers. The International Consumer Protection Enforcement Network (ICPEN) is a membership organisation consisting of consumer protection law enforcement authorities from across the globe. The mandate of ICPEN is to share information about cross-border commercial activities that may affect consumer interests and to encourage international cooperation and collaboration among consumer law enforcement agencies in this scope. Data for the list of worldwide consumer protection authorities is taken from the US FTC. ;;;;;;;;;;;;IN;IND;IND;nan
IDN;Indonesia;2023;Yes, the country has a consumer protection authority listed;This indicator assesses whether a country has a consumer protection enforcement authority. It also records whether that authority is an ICPEN member, and thus also addressing cross-border activities affecting consumers. The International Consumer Protection Enforcement Network (ICPEN) is a membership organisation consisting of consumer protection law enforcement authorities from across the globe. The mandate of ICPEN is to share information about cross-border commercial activities that may affect consumer interests and to encourage international cooperation and collaboration among consumer law enforcement agencies in this scope. Data for the list of worldwide consumer protection authorities is taken from the US FTC. ;;;;;;;;;;;;ID;IDN;IDN;nan
IRN;Iran;2023;Yes, the country has a consumer protection authority listed;This indicator assesses whether a country has a consumer protection enforcement authority. It also records whether that authority is an ICPEN member, and thus also addressing cross-border activities affecting consumers. The International Consumer Protection Enforcement Network (ICPEN) is a membership organisation consisting of consumer protection law enforcement authorities from across the globe. The mandate of ICPEN is to share information about cross-border commercial activities that may affect consumer interests and to encourage international cooperation and collaboration among consumer law enforcement agencies in this scope. Data for the list of worldwide consumer protection authorities is taken from the US FTC. ;;;;;;;;;;;;IR;IRN;IRN;nan
IRQ;Iraq;2023;No consumer protection authority listed;This indicator assesses whether a country has a consumer protection enforcement authority. It also records whether that authority is an ICPEN member, and thus also addressing cross-border activities affecting consumers. The International Consumer Protection Enforcement Network (ICPEN) is a membership organisation consisting of consumer protection law enforcement authorities from across the globe. The mandate of ICPEN is to share information about cross-border commercial activities that may affect consumer interests and to encourage international cooperation and collaboration among consumer law enforcement agencies in this scope. Data for the list of worldwide consumer protection authorities is taken from the US FTC. ;;;;;;;;;;;;IQ;IRQ;IRQ;nan
IRL;Ireland;2023;Yes the country has a consumer protection law enforcement authority which is a member of ICPEN;This indicator assesses whether a country has a consumer protection enforcement authority. It also records whether that authority is an ICPEN member, and thus also addressing cross-border activities affecting consumers. The International Consumer Protection Enforcement Network (ICPEN) is a membership organisation consisting of consumer protection law enforcement authorities from across the globe. The mandate of ICPEN is to share information about cross-border commercial activities that may affect consumer interests and to encourage international cooperation and collaboration among consumer law enforcement agencies in this scope. Data for the list of worldwide consumer protection authorities is taken from the US FTC. ;;;;;;;;;;;;IE;IRL;IRL;nan
ISR;Israel;2023;Yes the country has a consumer protection law enforcement authority which is a member of ICPEN;This indicator assesses whether a country has a consumer protection enforcement authority. It also records whether that authority is an ICPEN member, and thus also addressing cross-border activities affecting consumers. The International Consumer Protection Enforcement Network (ICPEN) is a membership organisation consisting of consumer protection law enforcement authorities from across the globe. The mandate of ICPEN is to share information about cross-border commercial activities that may affect consumer interests and to encourage international cooperation and collaboration among consumer law enforcement agencies in this scope. Data for the list of worldwide consumer protection authorities is taken from the US FTC. ;;;;;;;;;;;;IL;ISR;ISR;nan
ITA;Italy;2023;Yes the country has a consumer protection law enforcement authority which is a member of ICPEN;This indicator assesses whether a country has a consumer protection enforcement authority. It also records whether that authority is an ICPEN member, and thus also addressing cross-border activities affecting consumers. The International Consumer Protection Enforcement Network (ICPEN) is a membership organisation consisting of consumer protection law enforcement authorities from across the globe. The mandate of ICPEN is to share information about cross-border commercial activities that may affect consumer interests and to encourage international cooperation and collaboration among consumer law enforcement agencies in this scope. Data for the list of worldwide consumer protection authorities is taken from the US FTC. ;;;;;;;;;;;;IT;ITA;ITA;nan
JAM;Jamaica;2023;Yes, the country has a consumer protection authority listed;This indicator assesses whether a country has a consumer protection enforcement authority. It also records whether that authority is an ICPEN member, and thus also addressing cross-border activities affecting consumers. The International Consumer Protection Enforcement Network (ICPEN) is a membership organisation consisting of consumer protection law enforcement authorities from across the globe. The mandate of ICPEN is to share information about cross-border commercial activities that may affect consumer interests and to encourage international cooperation and collaboration among consumer law enforcement agencies in this scope. Data for the list of worldwide consumer protection authorities is taken from the US FTC. ;;;;;;;;;;;;JM;JAM;JAM;nan
JPN;Japan;2023;Yes the country has a consumer protection law enforcement authority which is a member of ICPEN;This indicator assesses whether a country has a consumer protection enforcement authority. It also records whether that authority is an ICPEN member, and thus also addressing cross-border activities affecting consumers. The International Consumer Protection Enforcement Network (ICPEN) is a membership organisation consisting of consumer protection law enforcement authorities from across the globe. The mandate of ICPEN is to share information about cross-border commercial activities that may affect consumer interests and to encourage international cooperation and collaboration among consumer law enforcement agencies in this scope. Data for the list of worldwide consumer protection authorities is taken from the US FTC. ;;;;;;;;;;;;JP;JPN;JPN;nan
JOR;Jordan;2023;Yes, the country has a consumer protection authority listed;This indicator assesses whether a country has a consumer protection enforcement authority. It also records whether that authority is an ICPEN member, and thus also addressing cross-border activities affecting consumers. The International Consumer Protection Enforcement Network (ICPEN) is a membership organisation consisting of consumer protection law enforcement authorities from across the globe. The mandate of ICPEN is to share information about cross-border commercial activities that may affect consumer interests and to encourage international cooperation and collaboration among consumer law enforcement agencies in this scope. Data for the list of worldwide consumer protection authorities is taken from the US FTC. ;;;;;;;;;;;;JO;JOR;JOR;nan
KAZ;Kazakhstan;2023;Yes, the country has a consumer protection authority listed;This indicator assesses whether a country has a consumer protection enforcement authority. It also records whether that authority is an ICPEN member, and thus also addressing cross-border activities affecting consumers. The International Consumer Protection Enforcement Network (ICPEN) is a membership organisation consisting of consumer protection law enforcement authorities from across the globe. The mandate of ICPEN is to share information about cross-border commercial activities that may affect consumer interests and to encourage international cooperation and collaboration among consumer law enforcement agencies in this scope. Data for the list of worldwide consumer protection authorities is taken from the US FTC. ;;;;;;;;;;;;KZ;KAZ;KAZ;nan
KEN;Kenya;2023;Yes the country has a consumer protection law enforcement authority which is a member of ICPEN;This indicator assesses whether a country has a consumer protection enforcement authority. It also records whether that authority is an ICPEN member, and thus also addressing cross-border activities affecting consumers. The International Consumer Protection Enforcement Network (ICPEN) is a membership organisation consisting of consumer protection law enforcement authorities from across the globe. The mandate of ICPEN is to share information about cross-border commercial activities that may affect consumer interests and to encourage international cooperation and collaboration among consumer law enforcement agencies in this scope. Data for the list of worldwide consumer protection authorities is taken from the US FTC. ;;;;;;;;;;;;KE;KEN;KEN;nan
KIR;Kiribati;2023;No consumer protection authority listed;This indicator assesses whether a country has a consumer protection enforcement authority. It also records whether that authority is an ICPEN member, and thus also addressing cross-border activities affecting consumers. The International Consumer Protection Enforcement Network (ICPEN) is a membership organisation consisting of consumer protection law enforcement authorities from across the globe. The mandate of ICPEN is to share information about cross-border commercial activities that may affect consumer interests and to encourage international cooperation and collaboration among consumer law enforcement agencies in this scope. Data for the list of worldwide consumer protection authorities is taken from the US FTC. ;;;;;;;;;;;;KI;KIR;KIR;nan
PRK;North Korea;2023;No consumer protection authority listed;This indicator assesses whether a country has a consumer protection enforcement authority. It also records whether that authority is an ICPEN member, and thus also addressing cross-border activities affecting consumers. The International Consumer Protection Enforcement Network (ICPEN) is a membership organisation consisting of consumer protection law enforcement authorities from across the globe. The mandate of ICPEN is to share information about cross-border commercial activities that may affect consumer interests and to encourage international cooperation and collaboration among consumer law enforcement agencies in this scope. Data for the list of worldwide consumer protection authorities is taken from the US FTC. ;;;;;;;;;;;;;;PRK;nan
KOR;South Korea;2023;Yes the country has a consumer protection law enforcement authority which is a member of ICPEN;This indicator assesses whether a country has a consumer protection enforcement authority. It also records whether that authority is an ICPEN member, and thus also addressing cross-border activities affecting consumers. The International Consumer Protection Enforcement Network (ICPEN) is a membership organisation consisting of consumer protection law enforcement authorities from across the globe. The mandate of ICPEN is to share information about cross-border commercial activities that may affect consumer interests and to encourage international cooperation and collaboration among consumer law enforcement agencies in this scope. Data for the list of worldwide consumer protection authorities is taken from the US FTC. ;;;;;;;;;;;;;;KOR;nan
XK;Kosovo;2023;Yes the country has a consumer protection law enforcement authority which is a member of ICPEN;This indicator assesses whether a country has a consumer protection enforcement authority. It also records whether that authority is an ICPEN member, and thus also addressing cross-border activities affecting consumers. The International Consumer Protection Enforcement Network (ICPEN) is a membership organisation consisting of consumer protection law enforcement authorities from across the globe. The mandate of ICPEN is to share information about cross-border commercial activities that may affect consumer interests and to encourage international cooperation and collaboration among consumer law enforcement agencies in this scope. Data for the list of worldwide consumer protection authorities is taken from the US FTC. ;;;;;;;;;;;;XK;XKX;XK;nan
KWT;Kuwait;2023;Yes, the country has a consumer protection authority listed;This indicator assesses whether a country has a consumer protection enforcement authority. It also records whether that authority is an ICPEN member, and thus also addressing cross-border activities affecting consumers. The International Consumer Protection Enforcement Network (ICPEN) is a membership organisation consisting of consumer protection law enforcement authorities from across the globe. The mandate of ICPEN is to share information about cross-border commercial activities that may affect consumer interests and to encourage international cooperation and collaboration among consumer law enforcement agencies in this scope. Data for the list of worldwide consumer protection authorities is taken from the US FTC. ;;;;;;;;;;;;KW;KWT;KWT;nan
KGZ;Kyrgyzstan;2023;Yes, the country has a consumer protection authority listed;This indicator assesses whether a country has a consumer protection enforcement authority. It also records whether that authority is an ICPEN member, and thus also addressing cross-border activities affecting consumers. The International Consumer Protection Enforcement Network (ICPEN) is a membership organisation consisting of consumer protection law enforcement authorities from across the globe. The mandate of ICPEN is to share information about cross-border commercial activities that may affect consumer interests and to encourage international cooperation and collaboration among consumer law enforcement agencies in this scope. Data for the list of worldwide consumer protection authorities is taken from the US FTC. ;;;;;;;;;;;;;;KGZ;nan
LAO;Laos;2023;No consumer protection authority listed;This indicator assesses whether a country has a consumer protection enforcement authority. It also records whether that authority is an ICPEN member, and thus also addressing cross-border activities affecting consumers. The International Consumer Protection Enforcement Network (ICPEN) is a membership organisation consisting of consumer protection law enforcement authorities from across the globe. The mandate of ICPEN is to share information about cross-border commercial activities that may affect consumer interests and to encourage international cooperation and collaboration among consumer law enforcement agencies in this scope. Data for the list of worldwide consumer protection authorities is taken from the US FTC. ;;;;;;;;;;;;;;LAO;nan
LVA;Latvia;2023;Yes the country has a consumer protection law enforcement authority which is a member of ICPEN;This indicator assesses whether a country has a consumer protection enforcement authority. It also records whether that authority is an ICPEN member, and thus also addressing cross-border activities affecting consumers. The International Consumer Protection Enforcement Network (ICPEN) is a membership organisation consisting of consumer protection law enforcement authorities from across the globe. The mandate of ICPEN is to share information about cross-border commercial activities that may affect consumer interests and to encourage international cooperation and collaboration among consumer law enforcement agencies in this scope. Data for the list of worldwide consumer protection authorities is taken from the US FTC. ;;;;;;;;;;;;LV;LVA;LVA;nan
LBN;Lebanon;2023;No consumer protection authority listed;This indicator assesses whether a country has a consumer protection enforcement authority. It also records whether that authority is an ICPEN member, and thus also addressing cross-border activities affecting consumers. The International Consumer Protection Enforcement Network (ICPEN) is a membership organisation consisting of consumer protection law enforcement authorities from across the globe. The mandate of ICPEN is to share information about cross-border commercial activities that may affect consumer interests and to encourage international cooperation and collaboration among consumer law enforcement agencies in this scope. Data for the list of worldwide consumer protection authorities is taken from the US FTC. ;;;;;;;;;;;;LB;LBN;LBN;nan
LSO;Lesotho;2023;No consumer protection authority listed;This indicator assesses whether a country has a consumer protection enforcement authority. It also records whether that authority is an ICPEN member, and thus also addressing cross-border activities affecting consumers. The International Consumer Protection Enforcement Network (ICPEN) is a membership organisation consisting of consumer protection law enforcement authorities from across the globe. The mandate of ICPEN is to share information about cross-border commercial activities that may affect consumer interests and to encourage international cooperation and collaboration among consumer law enforcement agencies in this scope. Data for the list of worldwide consumer protection authorities is taken from the US FTC. ;;;;;;;;;;;;LS;LSO;LSO;nan
