Country;Date;Status;Note;ATTR_ENDPOINT
GuyanaExcluding Part II. Has ratified the Protocol of 1995.;08 Jun 1966;In Force;;nan
Haiti;31 Mar 1952;In Force;;nan
Honduras;06 May 1983;In Force;;nan
Hungary;04 Jan 1994;In Force;;nan
Iceland;24 Mar 2009;In Force;;nan
IndiaExcluding Part II;07 Apr 1949;In Force;;nan
Indonesia;29 Jan 2004;In Force;;nan
Iraq;13 Jan 1951;In Force;;nan
IrelandHas ratified the Protocol of 1995;16 Jun 1951;In Force;;nan
Israel;07 Jun 1955;In Force;;nan
Italy;22 Oct 1952;In Force;;nan
JamaicaExcluding Part II;26 Dec 1962;In Force;;nan
Japan;20 Oct 1953;In Force;;nan
Jordan;27 Mar 1969;In Force;;nan
Kazakhstan;06 Jul 2001;In Force;;nan
Kenya;13 Jan 1964;In Force;;nan
Kuwait;23 Nov 1964;In Force;;nan
Kyrgyzstan;26 Jul 2000;In Force;;nan
Latvia;25 Jul 1994;In Force;;nan
Lebanon;26 Jul 1962;In Force;;nan
Lesotho;14 Jun 2001;In Force;;nan
Liberia;25 Mar 2003;In Force;;nan
Libya;27 May 1971;In Force;;nan
Lithuania;26 Sep 1994;In Force;;nan
LuxembourgHas ratified the Protocol of 1995;03 Mar 1958;In Force;;nan
Madagascar;21 Dec 1971;In Force;;nan
Malawi;22 Mar 1965;In Force;;nan
Malaysia;01 Jul 1963;In Force;;nan
Mali;02 Mar 1964;In Force;;nan
MaltaExcluding Part II;04 Jan 1965;In Force;;nan
Mauritania;08 Nov 1963;In Force;;nan
Mauritius;02 Dec 1969;In Force;;nan
Montenegro;03 Jun 2006;In Force;;nan
Morocco;14 Mar 1958;In Force;;nan
MozambiqueHas ratified the Protocol of 1995;06 Jun 1977;In Force;;nan
Namibia;20 Sep 2018;In Force;;nan
Netherlands;15 Sep 1951;In Force;;nan
New ZealandExcluding Part II;30 Nov 1959;In Force;;nan
Niger;09 Jan 1979;In Force;;nan
NigeriaExcluding Part II;17 Oct 1960;In Force;;nan
North Macedonia;17 Nov 1991;In Force;;nan
NorwayHas ratified the Protocol of 1995;05 Jan 1949;In Force;;nan
Pakistan;10 Oct 1953;In Force;;nan
Panama;03 Jun 1958;In Force;;nan
Paraguay;28 Aug 1967;In Force;;nan
Peru;01 Feb 1960;In Force;;nan
Poland;02 Jun 1995;In Force;;nan
Portugal;12 Feb 1962;In Force;;nan
Qatar;18 Aug 1976;In Force;;nan
Republic of Korea;09 Dec 1992;In Force;;nan
Republic of MoldovaHas ratified the Protocol of 1995;12 Aug 1996;In Force;;nan
Romania;06 Jun 1973;In Force;;nan
Russian FederationHas ratified the Protocol of 1995;02 Jul 1998;In Force;;nan
Rwanda;02 Dec 1980;In Force;;nan
Saint Vincent and the Grenadines;21 Oct 1998;In Force;;nan
Sao Tome and Principe;01 Jun 1982;In Force;;nan
Saudi Arabia;15 Jun 1978;In Force;;nan
Senegal;22 Oct 1962;In Force;;nan
Serbia;24 Nov 2000;In Force;;nan
Seychelles;28 Oct 2005;In Force;;nan
Sierra LeoneExcluding Part II;13 Jun 1961;In Force;;nan
Singapore;25 Oct 1965;In Force;;nan
Slovakia;17 Sep 2009;In Force;;nan
Slovenia;29 May 1992;In Force;;nan
Solomon Islands;06 Aug 1985;In Force;;nan
South Africa;20 Jun 2013;In Force;;nan
Spain;30 May 1960;In Force;;nan
Sri Lanka;03 Apr 1956;In Force;;nan
Sudan;22 Oct 1970;In Force;;nan
Suriname;15 Jun 1976;In Force;;nan
SwedenHas ratified the Protocol of 1995;25 Nov 1949;In Force;;nan
Switzerland;13 Jul 1949;In Force;;nan
Syrian Arab Republic;26 Jul 1960;In Force;;nan
Tajikistan;21 Oct 2009;In Force;;nan
Togo;30 Mar 2012;In Force;;nan
Trinidad and Tobago;17 Aug 2007;In Force;;nan
Tunisia;15 May 1957;In Force;;nan
Türkiye;05 Mar 1951;In Force;;nan
UgandaExcluding Part II;04 Jun 1963;In Force;;nan
Ukraine;10 Nov 2004;In Force;;nan
United Arab Emirates;27 May 1982;In Force;;nan
United Kingdom of Great Britain and Northern IrelandExcluding Part II;28 Jun 1949;In Force;;nan
United Republic of Tanzania.TanganyikaExcluding Part II. Has ratified the Protocol of 1995.;30 Jan 1962;In Force;;nan
Uruguay;28 Jun 1973;In Force;;nan
Uzbekistan;19 Nov 2019;In Force;;nan
Venezuela (Bolivarian Republic of);21 Jul 1967;In Force;;nan
Viet Nam;03 Oct 1994;In Force;;nan
Yemen;29 Jul 1976;In Force;;nan
Zambia;23 Dec 2013;In Force;;nan
Zimbabwe;16 Sep 1993;In Force;;nan
