goal;target;indicator;series;seriesDescription;seriesCount;geoAreaCode;geoAreaName;timePeriodStart;value;valueType;time_detail;timeCoverage;upperBound;lowerBound;basePeriod;source;geoInfoUrl;footnotes;attributes.Nature;attributes.Units;dimensions.Reporting Type;ATTR_ENDPOINT
['12'];['12.4'];['12.4.1'];SG_HAZ_CMRBASEL;Parties meeting their commitments and obligations in transmitting information as required by Basel Convention on hazardous waste, and other chemicals;439;112;Belarus;2020.0;20;Float;;;;;;Environment Live;;[''];C;PERCENT;G;https://unstats.un.org/SDGAPI/v1/sdg/Series/Data?seriesCode=SG_HAZ_CMRBASEL&pageSize=999999999
['12'];['12.4'];['12.4.1'];SG_HAZ_CMRBASEL;Parties meeting their commitments and obligations in transmitting information as required by Basel Convention on hazardous waste, and other chemicals;439;56;Belgium;2015.0;100;Float;;;;;;Environment Live;;[''];C;PERCENT;G;https://unstats.un.org/SDGAPI/v1/sdg/Series/Data?seriesCode=SG_HAZ_CMRBASEL&pageSize=999999999
['12'];['12.4'];['12.4.1'];SG_HAZ_CMRBASEL;Parties meeting their commitments and obligations in transmitting information as required by Basel Convention on hazardous waste, and other chemicals;439;56;Belgium;2020.0;100;Float;;;;;;Environment Live;;[''];C;PERCENT;G;https://unstats.un.org/SDGAPI/v1/sdg/Series/Data?seriesCode=SG_HAZ_CMRBASEL&pageSize=999999999
['12'];['12.4'];['12.4.1'];SG_HAZ_CMRBASEL;Parties meeting their commitments and obligations in transmitting information as required by Basel Convention on hazardous waste, and other chemicals;439;84;Belize;2015.0;16.67;Float;;;;;;Environment Live;;[''];C;PERCENT;G;https://unstats.un.org/SDGAPI/v1/sdg/Series/Data?seriesCode=SG_HAZ_CMRBASEL&pageSize=999999999
['12'];['12.4'];['12.4.1'];SG_HAZ_CMRBASEL;Parties meeting their commitments and obligations in transmitting information as required by Basel Convention on hazardous waste, and other chemicals;439;84;Belize;2020.0;20;Float;;;;;;Environment Live;;[''];C;PERCENT;G;https://unstats.un.org/SDGAPI/v1/sdg/Series/Data?seriesCode=SG_HAZ_CMRBASEL&pageSize=999999999
['12'];['12.4'];['12.4.1'];SG_HAZ_CMRBASEL;Parties meeting their commitments and obligations in transmitting information as required by Basel Convention on hazardous waste, and other chemicals;439;204;Benin;2015.0;16.67;Float;;;;;;Environment Live;;[''];C;PERCENT;G;https://unstats.un.org/SDGAPI/v1/sdg/Series/Data?seriesCode=SG_HAZ_CMRBASEL&pageSize=999999999
['12'];['12.4'];['12.4.1'];SG_HAZ_CMRBASEL;Parties meeting their commitments and obligations in transmitting information as required by Basel Convention on hazardous waste, and other chemicals;439;204;Benin;2020.0;20;Float;;;;;;Environment Live;;[''];C;PERCENT;G;https://unstats.un.org/SDGAPI/v1/sdg/Series/Data?seriesCode=SG_HAZ_CMRBASEL&pageSize=999999999
['12'];['12.4'];['12.4.1'];SG_HAZ_CMRBASEL;Parties meeting their commitments and obligations in transmitting information as required by Basel Convention on hazardous waste, and other chemicals;439;64;Bhutan;2015.0;100;Float;;;;;;Environment Live;;[''];C;PERCENT;G;https://unstats.un.org/SDGAPI/v1/sdg/Series/Data?seriesCode=SG_HAZ_CMRBASEL&pageSize=999999999
['12'];['12.4'];['12.4.1'];SG_HAZ_CMRBASEL;Parties meeting their commitments and obligations in transmitting information as required by Basel Convention on hazardous waste, and other chemicals;439;64;Bhutan;2020.0;100;Float;;;;;;Environment Live;;[''];C;PERCENT;G;https://unstats.un.org/SDGAPI/v1/sdg/Series/Data?seriesCode=SG_HAZ_CMRBASEL&pageSize=999999999
['12'];['12.4'];['12.4.1'];SG_HAZ_CMRBASEL;Parties meeting their commitments and obligations in transmitting information as required by Basel Convention on hazardous waste, and other chemicals;439;68;Bolivia (Plurinational State of);2015.0;100;Float;;;;;;Environment Live;;[''];C;PERCENT;G;https://unstats.un.org/SDGAPI/v1/sdg/Series/Data?seriesCode=SG_HAZ_CMRBASEL&pageSize=999999999
