GHO;PUBLISHSTATE;YEAR;REGION;WORLDBANKINCOMEGROUP;COUNTRY;Display Value;Numeric;Low;High;StdErr;StdDev;Comments;ATTR_ENDPOINT
GHED_CHE_pc_PPP_SHA2011;PUBLISHED;2016;EUR;WB_HI;AND;3065.62;3065.62;;;;;;http://apps.who.int/gho/athena/api/GHO/GHED_CHE_pc_PPP_SHA2011.csv
GHED_CHE_pc_PPP_SHA2011;PUBLISHED;2017;EUR;WB_HI;AND;3319.41;3319.41;;;;;;http://apps.who.int/gho/athena/api/GHO/GHED_CHE_pc_PPP_SHA2011.csv
GHED_CHE_pc_PPP_SHA2011;PUBLISHED;2018;EUR;WB_HI;AND;3607.0;3607.0;;;;;;http://apps.who.int/gho/athena/api/GHO/GHED_CHE_pc_PPP_SHA2011.csv
GHED_CHE_pc_PPP_SHA2011;PUBLISHED;2019;EUR;WB_HI;AND;3716.27;3716.27;;;;;;http://apps.who.int/gho/athena/api/GHO/GHED_CHE_pc_PPP_SHA2011.csv
GHED_CHE_pc_PPP_SHA2011;PUBLISHED;2000;AFR;WB_LMI;AGO;62.7;62.7;;;;;;http://apps.who.int/gho/athena/api/GHO/GHED_CHE_pc_PPP_SHA2011.csv
GHED_CHE_pc_PPP_SHA2011;PUBLISHED;2001;AFR;WB_LMI;AGO;151.75;151.75;;;;;;http://apps.who.int/gho/athena/api/GHO/GHED_CHE_pc_PPP_SHA2011.csv
GHED_CHE_pc_PPP_SHA2011;PUBLISHED;2002;AFR;WB_LMI;AGO;126.03;126.03;;;;;;http://apps.who.int/gho/athena/api/GHO/GHED_CHE_pc_PPP_SHA2011.csv
GHED_CHE_pc_PPP_SHA2011;PUBLISHED;2003;AFR;WB_LMI;AGO;136.2;136.2;;;;;;http://apps.who.int/gho/athena/api/GHO/GHED_CHE_pc_PPP_SHA2011.csv
GHED_CHE_pc_PPP_SHA2011;PUBLISHED;2004;AFR;WB_LMI;AGO;167.63;167.63;;;;;;http://apps.who.int/gho/athena/api/GHO/GHED_CHE_pc_PPP_SHA2011.csv
GHED_CHE_pc_PPP_SHA2011;PUBLISHED;2005;AFR;WB_LMI;AGO;137.98;137.98;;;;;;http://apps.who.int/gho/athena/api/GHO/GHED_CHE_pc_PPP_SHA2011.csv
