id;label;self;iso2;iso3;join_date;leave_date;local_website;latest_validation_date;status.id;status.label;RAW_OBS_VALUE;status.color;status_history;validation_data.2019;validation_data.2020;summary_data.2009;summary_data.2010;summary_data.2011;summary_data.2012;summary_data.2013;summary_data.2014;summary_data.2015;summary_data.2016;summary_data.2017;summary_data.2018;summary_data.2019;validation_data.2018;validation_data.2022;validation_data;summary_data;validation_data.2016;summary_data.2003;summary_data.2004;summary_data.2005;summary_data.2006;summary_data.2007;summary_data.2008;validation_data.2021;summary_data.2001;summary_data.2002;summary_data.2020;validation_data.2017;summary_data.1999;summary_data.2000;TIME_PERIOD;ATTR_ENDPOINT
MN;Mongolia;https://eiti.org/api/v2.0/implementing_country/MN;MN;MNG;2007-09-27;;http://www.eitimongolia.mn/?locale=en;2022-10-12;Moderate;Moderate;https://eiti.org/api/v2.0/country_status/Moderate;89AA2E;[{'id': '2342', 'label': 'Mongolia status', 'date': '2018-02-13', 'status.id': 'satisfactory-progress', 'status.label': 'Satisfactory progress', 'status.self': 'https://eiti.org/api/v2.0/country_status/satisfactory-progress', 'status.color': '2B8636'}, {'id': '2406', 'label': 'Mongolia joined', 'date': '2007-09-27', 'status.id': 'joined', 'status.label': 'Joined', 'status.self': 'https://eiti.org/api/v2.0/country_status/joined', 'status.color': None}, {'id': '4586', 'label': '2020 EITI Report published', 'date': '2021-12-31', 'status.id': 'timeline', 'status.label': 'Timeline', 'status.self': 'https://eiti.org/api/v2.0/country_status/timeline', 'status.color': None}, {'id': '4869', 'label': 'Validation', 'date': '2022-10-12', 'status.id': 'Moderate', 'status.label': 'Moderate', 'status.self': 'https://eiti.org/api/v2.0/country_status/Moderate', 'status.color': '89AA2E'}];;;MN2009;MN2010;MN2011;MN2012;MN2013;MN2014;MN2015;MN2016;MN2017;MN2018;MN2019;22143;26077;;;;;;;MN2006;MN2007;MN2008;;;;;22135;;;2020;https://eiti.org/api/v2.0/implementing_country
MR;Mauritania;https://eiti.org/api/v2.0/implementing_country/MR;MR;MRT;2007-09-27;;http://www.cnitie.gov.mr/;2020-10-15;meaningful-progress;Meaningful progress;https://eiti.org/api/v2.0/country_status/meaningful-progress;89AA2E;[{'id': '2365', 'label': 'Mauritania status', 'date': '2020-01-01', 'status.id': 'meaningful-progress', 'status.label': 'Meaningful progress', 'status.self': 'https://eiti.org/api/v2.0/country_status/meaningful-progress', 'status.color': '89AA2E'}, {'id': '2429', 'label': 'Mauritania joined', 'date': '2007-09-27', 'status.id': 'joined', 'status.label': 'Joined', 'status.self': 'https://eiti.org/api/v2.0/country_status/joined', 'status.color': None}, {'id': '4265', 'label': '2019  Report', 'date': '2021-10-24', 'status.id': 'timeline', 'status.label': 'Timeline', 'status.self': 'https://eiti.org/api/v2.0/country_status/timeline', 'status.color': None}];22283;22510;MR2009;MR2010;MR2011;MR2012;MR2013;MR2014;MR2015;MR2016;MR2017;;;;;;;;;;MR2005;MR2006;MR2007;MR2008;;;;;22255;;;2020;https://eiti.org/api/v2.0/implementing_country
MW;Malawi;https://eiti.org/api/v2.0/implementing_country/MW;MW;MWI;2015-10-22;;http://mweiti.mw/;2022-10-12;Moderate;Moderate;https://eiti.org/api/v2.0/country_status/Moderate;89AA2E;[{'id': '2381', 'label': 'Malawi status', 'date': '2019-02-27', 'status.id': 'meaningful-progress', 'status.label': 'Meaningful progress', 'status.self': 'https://eiti.org/api/v2.0/country_status/meaningful-progress', 'status.color': '89AA2E'}, {'id': '2445', 'label': 'Malawi joined', 'date': '2015-10-22', 'status.id': 'joined', 'status.label': 'Joined', 'status.self': 'https://eiti.org/api/v2.0/country_status/joined', 'status.color': None}, {'id': '3535', 'label': 'Malawi 2014/2015 EITI Report', 'date': '2017-04-01', 'status.id': 'timeline', 'status.label': 'Timeline', 'status.self': 'https://eiti.org/api/v2.0/country_status/timeline', 'status.color': None}, {'id': '4868', 'label': 'Validation', 'date': '2022-10-12', 'status.id': 'Moderate', 'status.label': 'Moderate', 'status.self': 'https://eiti.org/api/v2.0/country_status/Moderate', 'status.color': '89AA2E'}];22274;;;;;;;;MW2015;MW2016;MW2017;;;;26076;;;;;;;;;;;;;;;;;2020;https://eiti.org/api/v2.0/implementing_country
MX;Mexico;https://eiti.org/api/v2.0/implementing_country/MX;MX;MEX;2017-10-25;;https://eiti.transparenciapresupuestaria.gob.mx/swb/eiti/home;2022-06-17;Low;Low;https://eiti.org/api/v2.0/country_status/Low;D24228;[{'id': '2393', 'label': 'Mexico status', 'date': '2022-06-17', 'status.id': 'Low', 'status.label': 'Low', 'status.self': 'https://eiti.org/api/v2.0/country_status/Low', 'status.color': 'D24228'}, {'id': '2455', 'label': 'Mexico joined', 'date': '2017-10-25', 'status.id': 'joined', 'status.label': 'Joined', 'status.self': 'https://eiti.org/api/v2.0/country_status/joined', 'status.color': None}, {'id': '3724', 'label': '2018 EITI Report published', 'date': '2020-04-01', 'status.id': 'timeline', 'status.label': 'Timeline', 'status.self': 'https://eiti.org/api/v2.0/country_status/timeline', 'status.color': None}];;;;;;;;;;MX2016;MX2017;MX2018;;;25858;;;;;;;;;;;;;;;;;2020;https://eiti.org/api/v2.0/implementing_country
MZ;Mozambique;https://eiti.org/api/v2.0/implementing_country/MZ;MZ;MOZ;2009-05-25;;http://www.itie.org.mz/;2019-10-16;meaningful-progress;Meaningful progress;https://eiti.org/api/v2.0/country_status/meaningful-progress;89AA2E;[{'id': '2371', 'label': 'Mozambique status', 'date': '2019-10-16', 'status.id': 'meaningful-progress', 'status.label': 'Meaningful progress', 'status.self': 'https://eiti.org/api/v2.0/country_status/meaningful-progress', 'status.color': '89AA2E'}, {'id': '2435', 'label': 'Mozambique joined', 'date': '2009-05-25', 'status.id': 'joined', 'status.label': 'Joined', 'status.self': 'https://eiti.org/api/v2.0/country_status/joined', 'status.color': None}, {'id': '3550', 'label': '2008 EITI Report', 'date': '2011-03-01', 'status.id': 'timeline', 'status.label': 'Timeline', 'status.self': 'https://eiti.org/api/v2.0/country_status/timeline', 'status.color': None}];22373;;MZ2009;MZ2010;MZ2011;MZ2012;MZ2013;MZ2014;MZ2015;MZ2016;;;;;;;;;;;;;;MZ2008;;;;;22126;;;2020;https://eiti.org/api/v2.0/implementing_country
NE;Niger;https://eiti.org/api/v2.0/implementing_country/NE;NE;NER;2020-02-13;;https://itieniger.ne/;2017-10-26;to-be-assessed;Yet to be assessed;https://eiti.org/api/v2.0/country_status/to-be-assessed;7f7f7f;[{'id': '2360', 'label': 'Niger status', 'date': None, 'status.id': 'to-be-assessed', 'status.label': 'Yet to be assessed', 'status.self': 'https://eiti.org/api/v2.0/country_status/to-be-assessed', 'status.color': '7f7f7f'}, {'id': '2424', 'label': 'Niger joined', 'date': '2020-02-13', 'status.id': 'joined', 'status.label': 'Joined', 'status.self': 'https://eiti.org/api/v2.0/country_status/joined', 'status.color': None}, {'id': '4272', 'label': 'Next Validation is expected to begin', 'date': '2022-10-01', 'status.id': 'timeline', 'status.label': 'Timeline', 'status.self': 'https://eiti.org/api/v2.0/country_status/timeline', 'status.color': None}];;;NE2009;NE2010;NE2011;NE2012;NE2013;NE2014;;;;;;;;;;;;;NE2005;NE2006;NE2007;NE2008;;;;;22114;;;2020;https://eiti.org/api/v2.0/implementing_country
NG;Nigeria;https://eiti.org/api/v2.0/implementing_country/NG;NG;NGA;2004-06-01;;https://neiti.gov.ng/;2019-02-27;satisfactory-progress;Satisfactory progress;https://eiti.org/api/v2.0/country_status/satisfactory-progress;2B8636;[{'id': '2361', 'label': 'Nigeria status', 'date': '2019-02-27', 'status.id': 'satisfactory-progress', 'status.label': 'Satisfactory progress', 'status.self': 'https://eiti.org/api/v2.0/country_status/satisfactory-progress', 'status.color': '2B8636'}, {'id': '2425', 'label': 'Nigeria joined', 'date': '2004-06-01', 'status.id': 'joined', 'status.label': 'Joined', 'status.self': 'https://eiti.org/api/v2.0/country_status/joined', 'status.color': None}, {'id': '3580', 'label': '2019 (Solid Minerals) Reports published', 'date': '2021-07-13', 'status.id': 'timeline', 'status.label': 'Timeline', 'status.self': 'https://eiti.org/api/v2.0/country_status/timeline', 'status.color': None}];22338;;NG2009;NG2010;NG2011;NG2012;NG2013;NG2014;NG2015;NG2016;NG2017;NG2018;;;;;;;NG2003;NG2004;NG2005;NG2006;NG2007;NG2008;;NG2001;NG2002;;22118;NG1999;NG2000;2020;https://eiti.org/api/v2.0/implementing_country
NL;Netherlands;https://eiti.org/api/v2.0/implementing_country/NL;NL;NLD;2018-06-28;;http://www.eiti.nl/;2021-12-08;Fairly-low;Fairly low;https://eiti.org/api/v2.0/country_status/Fairly-low;F6A70A;[{'id': '2396', 'label': 'Netherlands status', 'date': '2021-12-08', 'status.id': 'Fairly-low', 'status.label': 'Fairly low', 'status.self': 'https://eiti.org/api/v2.0/country_status/Fairly-low', 'status.color': 'F6A70A'}, {'id': '2458', 'label': 'Netherlands joined', 'date': '2018-06-28', 'status.id': 'joined', 'status.label': 'Joined', 'status.self': 'https://eiti.org/api/v2.0/country_status/joined', 'status.color': None}, {'id': '4538', 'label': '2020 EITI Report published', 'date': '2021-12-01', 'status.id': 'timeline', 'status.label': 'Timeline', 'status.self': 'https://eiti.org/api/v2.0/country_status/timeline', 'status.color': None}];;;;;;;;;;;;;;;;;[];;;;;;;;25735;;;;;;;2020;https://eiti.org/api/v2.0/implementing_country
NO;Norway;https://eiti.org/api/v2.0/implementing_country/NO;NO;NOR;2009-02-11;;;2019-02-27;satisfactory-progress;Satisfactory progress;https://eiti.org/api/v2.0/country_status/satisfactory-progress;2B8636;[{'id': '2347', 'label': 'Norway status', 'date': '2019-02-27', 'status.id': 'satisfactory-progress', 'status.label': 'Satisfactory progress', 'status.self': 'https://eiti.org/api/v2.0/country_status/satisfactory-progress', 'status.color': '2B8636'}, {'id': '2411', 'label': 'Norway joined', 'date': '2009-02-11', 'status.id': 'joined', 'status.label': 'Joined', 'status.self': 'https://eiti.org/api/v2.0/country_status/joined', 'status.color': None}, {'id': '4329', 'label': '2015 EITI Report published ', 'date': '2016-11-01', 'status.id': 'timeline', 'status.label': 'Timeline', 'status.self': 'https://eiti.org/api/v2.0/country_status/timeline', 'status.color': None}];22334;;NO2009;NO2010;NO2011;NO2012;NO2013;NO2014;NO2015;NO2016;NO2017;NO2018;;;;;;;;;;;;NO2008;;;;;22150;;;2020;https://eiti.org/api/v2.0/implementing_country
PE;Peru;https://eiti.org/api/v2.0/implementing_country/PE;PE;PER;2007-09-27;;http://eitiperu.minem.gob.pe/;2019-06-17;suspended-missing-deadline;Suspended for missing deadline;https://eiti.org/api/v2.0/country_status/suspended-missing-deadline;ebcb9f;[{'id': '2341', 'label': 'Peru status', 'date': '2019-06-17', 'status.id': 'meaningful-progress', 'status.label': 'Meaningful progress', 'status.self': 'https://eiti.org/api/v2.0/country_status/meaningful-progress', 'status.color': '89AA2E'}, {'id': '2405', 'label': 'Peru joined', 'date': '2007-09-27', 'status.id': 'joined', 'status.label': 'Joined', 'status.self': 'https://eiti.org/api/v2.0/country_status/joined', 'status.color': None}, {'id': '3736', 'label': '2015-2016 EITI Report published', 'date': '2018-02-12', 'status.id': 'timeline', 'status.label': 'Timeline', 'status.self': 'https://eiti.org/api/v2.0/country_status/timeline', 'status.color': None}, {'id': '4616', 'label': 'Suspension', 'date': '2022-04-27', 'status.id': 'suspended-missing-deadline', 'status.label': 'Suspended for missing deadline', 'status.self': 'https://eiti.org/api/v2.0/country_status/suspended-missing-deadline', 'status.color': 'ebcb9f'}];22162;;PE2009;PE2010;PE2011;PE2012;PE2013;PE2014;PE2015;PE2016;;;;;;;;;;PE2004;PE2005;PE2006;PE2007;PE2008;;;;;22124;;;2020;https://eiti.org/api/v2.0/implementing_country
PG;Papua New Guinea;https://eiti.org/api/v2.0/implementing_country/PG;PG;PNG;2014-03-19;;http://www.pngeiti.org.pg/;2022-11-04;Moderate;Moderate;https://eiti.org/api/v2.0/country_status/Moderate;89AA2E;[{'id': '2374', 'label': 'Papua New Guinea status', 'date': '2018-10-30', 'status.id': 'meaningful-progress', 'status.label': 'Meaningful progress', 'status.self': 'https://eiti.org/api/v2.0/country_status/meaningful-progress', 'status.color': '89AA2E'}, {'id': '2438', 'label': 'Papua New Guinea joined', 'date': '2014-03-19', 'status.id': 'joined', 'status.label': 'Joined', 'status.self': 'https://eiti.org/api/v2.0/country_status/joined', 'status.color': None}, {'id': '4878', 'label': '2019 EITI Report published', 'date': '2021-07-01', 'status.id': 'timeline', 'status.label': 'Timeline', 'status.self': 'https://eiti.org/api/v2.0/country_status/timeline', 'status.color': None}, {'id': '4877', 'label': 'Validation', 'date': '2022-11-04', 'status.id': 'Moderate', 'status.label': 'Moderate', 'status.self': 'https://eiti.org/api/v2.0/country_status/Moderate', 'status.color': '89AA2E'}];;;;;;;PG2013;PG2014;PG2015;PG2016;PG2017;;;22285;26152;;;;;;;;;;;;;;;;;2020;https://eiti.org/api/v2.0/implementing_country
PH;Philippines;https://eiti.org/api/v2.0/implementing_country/PH;PH;PHL;2013-05-22;;https://pheiti.dof.gov.ph/;2022-02-17;Moderate;Moderate;https://eiti.org/api/v2.0/country_status/Moderate;89AA2E;[{'id': '2338', 'label': 'Philippines status', 'date': '2017-10-05', 'status.id': 'satisfactory-progress', 'status.label': 'Satisfactory progress', 'status.self': 'https://eiti.org/api/v2.0/country_status/satisfactory-progress', 'status.color': '2B8636'}, {'id': '2402', 'label': 'Philippines joined', 'date': '2013-05-22', 'status.id': 'joined', 'status.label': 'Joined', 'status.self': 'https://eiti.org/api/v2.0/country_status/joined', 'status.color': None}, {'id': '4482', 'label': '2019 EITI Report published ', 'date': '2021-12-31', 'status.id': 'timeline', 'status.label': 'Timeline', 'status.self': 'https://eiti.org/api/v2.0/country_status/timeline', 'status.color': None}, {'id': '4611', 'label': 'Validation', 'date': '2022-02-18', 'status.id': 'Moderate', 'status.label': 'Moderate', 'status.self': 'https://eiti.org/api/v2.0/country_status/Moderate', 'status.color': '89AA2E'}];;;;;;PH2012;PH2013;PH2014;PH2015;PH2016;PH2017;PH2018;;;25745;;;;;;;;;;;;;;22128;;;2020;https://eiti.org/api/v2.0/implementing_country
SB;Solomon Islands;https://eiti.org/api/v2.0/implementing_country/SB;SB;SLB;2012-01-01;2018-06-28;http://www.sieiti.gov.sb/;2017-03-08;other;Other;https://eiti.org/api/v2.0/country_status/other;808080;[{'id': '2387', 'label': 'Solomon Islands status', 'date': None, 'status.id': 'other', 'status.label': 'Other', 'status.self': 'https://eiti.org/api/v2.0/country_status/other', 'status.color': '808080'}, {'id': '2451', 'label': 'Solomon Islands joined', 'date': '2012-01-01', 'status.id': 'joined', 'status.label': 'Joined', 'status.self': 'https://eiti.org/api/v2.0/country_status/joined', 'status.color': None}, {'id': '2465', 'label': 'Solomon Islands left', 'date': '2018-06-28', 'status.id': 'left', 'status.label': 'Left', 'status.self': 'https://eiti.org/api/v2.0/country_status/left', 'status.color': None}];;;;;;SB2012;SB2013;SB2014;SB2015;;;;;;;;;;;;;;;;;;;;22105;;;2020;https://eiti.org/api/v2.0/implementing_country
SC;Seychelles;https://eiti.org/api/v2.0/implementing_country/SC;SC;SYC;2014-08-06;;http://www.petroseychelles.com/index.php/seiti;2020-09-11;meaningful-progress;Meaningful progress;https://eiti.org/api/v2.0/country_status/meaningful-progress;89AA2E;[{'id': '2386', 'label': 'Seychelles status', 'date': '2020-09-11', 'status.id': 'meaningful-progress', 'status.label': 'Meaningful progress', 'status.self': 'https://eiti.org/api/v2.0/country_status/meaningful-progress', 'status.color': '89AA2E'}, {'id': '2450', 'label': 'Seychelles joined', 'date': '2014-08-06', 'status.id': 'joined', 'status.label': 'Joined', 'status.self': 'https://eiti.org/api/v2.0/country_status/joined', 'status.color': None}, {'id': '3957', 'label': '2013-2014 EITI Report', 'date': '2016-02-01', 'status.id': 'timeline', 'status.label': 'Timeline', 'status.self': 'https://eiti.org/api/v2.0/country_status/timeline', 'status.color': None}];;22487;;;;;SC2013;SC2014;SC2015;SC2016;SC2017;SC2018;;22399;;;;;;;;;;;;;;;;;;2020;https://eiti.org/api/v2.0/implementing_country
SL;Sierra Leone;https://eiti.org/api/v2.0/implementing_country/SL;SL;SLE;2008-02-22;;http://www.sleiti.gov.sl/index.php;2022-10-12;High;High;https://eiti.org/api/v2.0/country_status/High;2B8636;[{'id': '2343', 'label': 'Sierra Leone status', 'date': '2019-06-17', 'status.id': 'meaningful-progress', 'status.label': 'Meaningful progress', 'status.self': 'https://eiti.org/api/v2.0/country_status/meaningful-progress', 'status.color': '89AA2E'}, {'id': '2407', 'label': 'Sierra Leone joined', 'date': '2008-02-22', 'status.id': 'joined', 'status.label': 'Joined', 'status.self': 'https://eiti.org/api/v2.0/country_status/joined', 'status.color': None}, {'id': '3994', 'label': '2017-2018 EITI Report published', 'date': '2020-01-01', 'status.id': 'timeline', 'status.label': 'Timeline', 'status.self': 'https://eiti.org/api/v2.0/country_status/timeline', 'status.color': None}, {'id': '4871', 'label': 'Validation', 'date': '2022-10-12', 'status.id': 'High', 'status.label': 'High', 'status.self': 'https://eiti.org/api/v2.0/country_status/High', 'status.color': '2B8636'}];22178;;SL2009;SL2010;SL2011;SL2012;SL2013;SL2014;SL2015;SL2016;;;;;26082;;;;;;;SL2006;SL2007;SL2008;;;;;;;;2020;https://eiti.org/api/v2.0/implementing_country
SN;Senegal;https://eiti.org/api/v2.0/implementing_country/SN;SN;SEN;2013-10-17;;http://itie.sn/;2021-10-20;Very-high;Very high;https://eiti.org/api/v2.0/country_status/Very-high;1BC2EE;[{'id': '2366', 'label': 'Validation', 'date': '2018-05-08', 'status.id': 'satisfactory-progress', 'status.label': 'Satisfactory progress', 'status.self': 'https://eiti.org/api/v2.0/country_status/satisfactory-progress', 'status.color': '2B8636'}, {'id': '2430', 'label': 'Senegal joined', 'date': '2013-10-17', 'status.id': 'joined', 'status.label': 'Joined', 'status.self': 'https://eiti.org/api/v2.0/country_status/joined', 'status.color': None}, {'id': '4042', 'label': '2018 EITI Report published', 'date': '2019-05-08', 'status.id': 'timeline', 'status.label': 'Timeline', 'status.self': 'https://eiti.org/api/v2.0/country_status/timeline', 'status.color': None}, {'id': '4047', 'label': 'Validation', 'date': '2021-10-20', 'status.id': 'Very-high', 'status.label': 'Very high', 'status.self': 'https://eiti.org/api/v2.0/country_status/Very-high', 'status.color': '1BC2EE'}];;;;;;;SN2013;SN2014;SN2015;SN2016;SN2017;SN2018;SN2019;22289;;;;;;;;;;;25733;;;;;;;2020;https://eiti.org/api/v2.0/implementing_country
SR;Suriname;https://eiti.org/api/v2.0/implementing_country/SR;SR;SUR;2017-05-24;;http://eitisuriname.org/en/;2021-03-31;suspended-missing-deadline;Suspended for missing deadline;https://eiti.org/api/v2.0/country_status/suspended-missing-deadline;ebcb9f;[{'id': '2395', 'label': 'Suriname status', 'date': '2021-03-31', 'status.id': 'meaningful-progress', 'status.label': 'Meaningful progress', 'status.self': 'https://eiti.org/api/v2.0/country_status/meaningful-progress', 'status.color': '89AA2E'}, {'id': '2457', 'label': 'Suriname joined', 'date': '2017-05-24', 'status.id': 'joined', 'status.label': 'Joined', 'status.self': 'https://eiti.org/api/v2.0/country_status/joined', 'status.color': None}, {'id': '3742', 'label': '2017 EITI Report published', 'date': '2019-12-03', 'status.id': 'timeline', 'status.label': 'Timeline', 'status.self': 'https://eiti.org/api/v2.0/country_status/timeline', 'status.color': None}, {'id': '4854', 'label': 'Suspension', 'date': '2022-06-10', 'status.id': 'suspended-missing-deadline', 'status.label': 'Suspended for missing deadline', 'status.self': 'https://eiti.org/api/v2.0/country_status/suspended-missing-deadline', 'status.color': 'ebcb9f'}];;;;;;;;;;SR2016;SR2017;;;;;;;;;;;;;;22536;;;;;;;2020;https://eiti.org/api/v2.0/implementing_country
ST;São Tomé and Príncipe;https://eiti.org/api/v2.0/implementing_country/ST;ST;STP;2008-02-22;;http://www.eiti.st/;2020-07-09;suspended-missing-deadline;Suspended for missing deadline;https://eiti.org/api/v2.0/country_status/suspended-missing-deadline;ebcb9f;"[{'id': '2385', 'label': 'São Tomé and Príncipe status', 'date': '2020-07-10', 'status.id': 'meaningful-progress', 'status.label': 'Meaningful progress', 'status.self': 'https://eiti.org/api/v2.0/country_status/meaningful-progress', 'status.color': '89AA2E'}, {'id': '2449', 'label': 'São Tomé and Príncipe joined', 'date': '2008-02-22', 'status.id': 'joined', 'status.label': 'Joined', 'status.self': 'https://eiti.org/api/v2.0/country_status/joined', 'status.color': None}, {'id': '3810', 'label': 'Second Validation (2016 Standard) completed - Found to have made ""meaningful progress"" with improvements', 'date': '2018-06-29', 'status.id': 'timeline', 'status.label': 'Timeline', 'status.self': 'https://eiti.org/api/v2.0/country_status/timeline', 'status.color': None}, {'id': '4875', 'label': 'Suspension', 'date': '2022-10-05', 'status.id': 'suspended-missing-deadline', 'status.label': 'Suspended for missing deadline', 'status.self': 'https://eiti.org/api/v2.0/country_status/suspended-missing-deadline', 'status.color': 'ebcb9f'}]";;22441;ST2009;ST2010;ST2011;ST2012;ST2013;ST2014;ST2015;ST2016;ST2017;;;22293;;;;;ST2003;ST2004;ST2005;ST2006;ST2007;ST2008;;;;;22131;;;2020;https://eiti.org/api/v2.0/implementing_country
