COUNTRY_ISO_3_original;country_col_not_used;TIME_PERIOD;RAW_OBS_VALUE;ATTR_INDICATOR_NOTE_OF_SOURCE;ATTR_SOURCE_COMMENT;ATTR_ENCODING_LABELS;ATTR_SOURCE;ATTR_SOURCE_BODY;INDICATOR_CODE;INDICATOR_NAME;INDIATOR_INDEX;INDICATOR_ISSUE;INDICATOR_CATEGORY;INDICATOR_DESCRIPTION;Unnamed: 35;COUNTRY_ISO_2_country_list;COUNTRY_ISO_3_country_list;COUNTRY_ISO_3;ATTR_ENDPOINT
CHN;China;2022;55.5;This indicator assesses the capacity of a country to prevent child sexual exploitation, focusing on legislation, policies and programmes, and national capacity and commitment.;;;;;;;;;;;;CN;CHN;CHN;
COL;Colombia;2022;56.2;This indicator assesses the capacity of a country to prevent child sexual exploitation, focusing on legislation, policies and programmes, and national capacity and commitment.;;;;;;;;;;;;CO;COL;COL;
COM;Comoros;2022;;This indicator assesses the capacity of a country to prevent child sexual exploitation, focusing on legislation, policies and programmes, and national capacity and commitment.;;;;;;;;;;;;KM;COM;COM;
COG;Congo;2022;;This indicator assesses the capacity of a country to prevent child sexual exploitation, focusing on legislation, policies and programmes, and national capacity and commitment.;;;;;;;;;;;;CG;COG;COG;
COD;DR Congo;2022;34.0;This indicator assesses the capacity of a country to prevent child sexual exploitation, focusing on legislation, policies and programmes, and national capacity and commitment.;;;;;;;;;;;;;;COD;
CRI;Costa Rica;2022;;This indicator assesses the capacity of a country to prevent child sexual exploitation, focusing on legislation, policies and programmes, and national capacity and commitment.;;;;;;;;;;;;CR;CRI;CRI;
CIV;Côte d'Ivoire;2022;42.4;This indicator assesses the capacity of a country to prevent child sexual exploitation, focusing on legislation, policies and programmes, and national capacity and commitment.;;;;;;;;;;;;;;CIV;
HRV;Croatia;2022;;This indicator assesses the capacity of a country to prevent child sexual exploitation, focusing on legislation, policies and programmes, and national capacity and commitment.;;;;;;;;;;;;HR;HRV;HRV;
CUB;Cuba;2022;;This indicator assesses the capacity of a country to prevent child sexual exploitation, focusing on legislation, policies and programmes, and national capacity and commitment.;;;;;;;;;;;;CU;CUB;CUB;
CYP;Cyprus;2022;;This indicator assesses the capacity of a country to prevent child sexual exploitation, focusing on legislation, policies and programmes, and national capacity and commitment.;;;;;;;;;;;;CY;CYP;CYP;
CZE;Czech Republic;2022;;This indicator assesses the capacity of a country to prevent child sexual exploitation, focusing on legislation, policies and programmes, and national capacity and commitment.;;;;;;;;;;;;CZ;CZE;CZE;
DNK;Denmark;2022;;This indicator assesses the capacity of a country to prevent child sexual exploitation, focusing on legislation, policies and programmes, and national capacity and commitment.;;;;;;;;;;;;DK;DNK;DNK;
DJI;Djibouti;2022;;This indicator assesses the capacity of a country to prevent child sexual exploitation, focusing on legislation, policies and programmes, and national capacity and commitment.;;;;;;;;;;;;DJ;DJI;DJI;
DMA;Dominica;2022;;This indicator assesses the capacity of a country to prevent child sexual exploitation, focusing on legislation, policies and programmes, and national capacity and commitment.;;;;;;;;;;;;DM;DMA;DMA;
DOM;Dominican Republic;2022;;This indicator assesses the capacity of a country to prevent child sexual exploitation, focusing on legislation, policies and programmes, and national capacity and commitment.;;;;;;;;;;;;DO;DOM;DOM;
ECU;Ecuador;2022;;This indicator assesses the capacity of a country to prevent child sexual exploitation, focusing on legislation, policies and programmes, and national capacity and commitment.;;;;;;;;;;;;EC;ECU;ECU;
EGY;Egypt;2022;49.0;This indicator assesses the capacity of a country to prevent child sexual exploitation, focusing on legislation, policies and programmes, and national capacity and commitment.;;;;;;;;;;;;EG;EGY;EGY;
SLV;El Salvador;2022;49.8;This indicator assesses the capacity of a country to prevent child sexual exploitation, focusing on legislation, policies and programmes, and national capacity and commitment.;;;;;;;;;;;;SV;SLV;SLV;
GNQ;Equatorial Guinea;2022;;This indicator assesses the capacity of a country to prevent child sexual exploitation, focusing on legislation, policies and programmes, and national capacity and commitment.;;;;;;;;;;;;GQ;GNQ;GNQ;
ERI;Eritrea;2022;;This indicator assesses the capacity of a country to prevent child sexual exploitation, focusing on legislation, policies and programmes, and national capacity and commitment.;;;;;;;;;;;;ER;ERI;ERI;
EST;Estonia;2022;;This indicator assesses the capacity of a country to prevent child sexual exploitation, focusing on legislation, policies and programmes, and national capacity and commitment.;;;;;;;;;;;;EE;EST;EST;
SWZ;Swaziland;2022;;This indicator assesses the capacity of a country to prevent child sexual exploitation, focusing on legislation, policies and programmes, and national capacity and commitment.;;;;;;;;;;;;;;SWZ;
ETH;Ethiopia;2022;35.6;This indicator assesses the capacity of a country to prevent child sexual exploitation, focusing on legislation, policies and programmes, and national capacity and commitment.;;;;;;;;;;;;ET;ETH;ETH;
FJI;Fiji;2022;;This indicator assesses the capacity of a country to prevent child sexual exploitation, focusing on legislation, policies and programmes, and national capacity and commitment.;;;;;;;;;;;;FJ;FJI;FJI;
FIN;Finland;2022;;This indicator assesses the capacity of a country to prevent child sexual exploitation, focusing on legislation, policies and programmes, and national capacity and commitment.;;;;;;;;;;;;FI;FIN;FIN;
FRA;France;2022;73.7;This indicator assesses the capacity of a country to prevent child sexual exploitation, focusing on legislation, policies and programmes, and national capacity and commitment.;;;;;;;;;;;;FR;FRA;FRA;
GAB;Gabon;2022;;This indicator assesses the capacity of a country to prevent child sexual exploitation, focusing on legislation, policies and programmes, and national capacity and commitment.;;;;;;;;;;;;GA;GAB;GAB;
GMB;Gambia;2022;;This indicator assesses the capacity of a country to prevent child sexual exploitation, focusing on legislation, policies and programmes, and national capacity and commitment.;;;;;;;;;;;;GM;GMB;GMB;
GEO;Georgia;2022;;This indicator assesses the capacity of a country to prevent child sexual exploitation, focusing on legislation, policies and programmes, and national capacity and commitment.;;;;;;;;;;;;GE;GEO;GEO;
DEU;Germany;2022;65.4;This indicator assesses the capacity of a country to prevent child sexual exploitation, focusing on legislation, policies and programmes, and national capacity and commitment.;;;;;;;;;;;;DE;DEU;DEU;
GHA;Ghana;2022;48.4;This indicator assesses the capacity of a country to prevent child sexual exploitation, focusing on legislation, policies and programmes, and national capacity and commitment.;;;;;;;;;;;;GH;GHA;GHA;
GRC;Greece;2022;;This indicator assesses the capacity of a country to prevent child sexual exploitation, focusing on legislation, policies and programmes, and national capacity and commitment.;;;;;;;;;;;;GR;GRC;GRC;
GRD;Grenada;2022;;This indicator assesses the capacity of a country to prevent child sexual exploitation, focusing on legislation, policies and programmes, and national capacity and commitment.;;;;;;;;;;;;GD;GRD;GRD;
GTM;Guatemala;2022;47.0;This indicator assesses the capacity of a country to prevent child sexual exploitation, focusing on legislation, policies and programmes, and national capacity and commitment.;;;;;;;;;;;;GT;GTM;GTM;
GIN;Guinea;2022;;This indicator assesses the capacity of a country to prevent child sexual exploitation, focusing on legislation, policies and programmes, and national capacity and commitment.;;;;;;;;;;;;GN;GIN;GIN;
GNB;Guinea-Bissau;2022;;This indicator assesses the capacity of a country to prevent child sexual exploitation, focusing on legislation, policies and programmes, and national capacity and commitment.;;;;;;;;;;;;;;GNB;
GUY;Guyana;2022;;This indicator assesses the capacity of a country to prevent child sexual exploitation, focusing on legislation, policies and programmes, and national capacity and commitment.;;;;;;;;;;;;GY;GUY;GUY;
HTI;Haiti;2022;;This indicator assesses the capacity of a country to prevent child sexual exploitation, focusing on legislation, policies and programmes, and national capacity and commitment.;;;;;;;;;;;;HT;HTI;HTI;
HND;Honduras;2022;;This indicator assesses the capacity of a country to prevent child sexual exploitation, focusing on legislation, policies and programmes, and national capacity and commitment.;;;;;;;;;;;;HN;HND;HND;
HUN;Hungary;2022;;This indicator assesses the capacity of a country to prevent child sexual exploitation, focusing on legislation, policies and programmes, and national capacity and commitment.;;;;;;;;;;;;HU;HUN;HUN;
ISL;Iceland;2022;;This indicator assesses the capacity of a country to prevent child sexual exploitation, focusing on legislation, policies and programmes, and national capacity and commitment.;;;;;;;;;;;;IS;ISL;ISL;
IND;India;2022;53.5;This indicator assesses the capacity of a country to prevent child sexual exploitation, focusing on legislation, policies and programmes, and national capacity and commitment.;;;;;;;;;;;;IN;IND;IND;
IDN;Indonesia;2022;52.9;This indicator assesses the capacity of a country to prevent child sexual exploitation, focusing on legislation, policies and programmes, and national capacity and commitment.;;;;;;;;;;;;ID;IDN;IDN;
IRN;Iran;2022;;This indicator assesses the capacity of a country to prevent child sexual exploitation, focusing on legislation, policies and programmes, and national capacity and commitment.;;;;;;;;;;;;IR;IRN;IRN;
IRQ;Iraq;2022;;This indicator assesses the capacity of a country to prevent child sexual exploitation, focusing on legislation, policies and programmes, and national capacity and commitment.;;;;;;;;;;;;IQ;IRQ;IRQ;
IRL;Ireland;2022;;This indicator assesses the capacity of a country to prevent child sexual exploitation, focusing on legislation, policies and programmes, and national capacity and commitment.;;;;;;;;;;;;IE;IRL;IRL;
ISR;Israel;2022;;This indicator assesses the capacity of a country to prevent child sexual exploitation, focusing on legislation, policies and programmes, and national capacity and commitment.;;;;;;;;;;;;IL;ISR;ISR;
ITA;Italy;2022;43.7;This indicator assesses the capacity of a country to prevent child sexual exploitation, focusing on legislation, policies and programmes, and national capacity and commitment.;;;;;;;;;;;;IT;ITA;ITA;
JAM;Jamaica;2022;51.3;This indicator assesses the capacity of a country to prevent child sexual exploitation, focusing on legislation, policies and programmes, and national capacity and commitment.;;;;;;;;;;;;JM;JAM;JAM;
JPN;Japan;2022;52.3;This indicator assesses the capacity of a country to prevent child sexual exploitation, focusing on legislation, policies and programmes, and national capacity and commitment.;;;;;;;;;;;;JP;JPN;JPN;
JOR;Jordan;2022;;This indicator assesses the capacity of a country to prevent child sexual exploitation, focusing on legislation, policies and programmes, and national capacity and commitment.;;;;;;;;;;;;JO;JOR;JOR;
KAZ;Kazakhstan;2022;50.1;This indicator assesses the capacity of a country to prevent child sexual exploitation, focusing on legislation, policies and programmes, and national capacity and commitment.;;;;;;;;;;;;KZ;KAZ;KAZ;
KEN;Kenya;2022;53.2;This indicator assesses the capacity of a country to prevent child sexual exploitation, focusing on legislation, policies and programmes, and national capacity and commitment.;;;;;;;;;;;;KE;KEN;KEN;
KIR;Kiribati;2022;;This indicator assesses the capacity of a country to prevent child sexual exploitation, focusing on legislation, policies and programmes, and national capacity and commitment.;;;;;;;;;;;;KI;KIR;KIR;
PRK;North Korea;2022;;This indicator assesses the capacity of a country to prevent child sexual exploitation, focusing on legislation, policies and programmes, and national capacity and commitment.;;;;;;;;;;;;;;PRK;
KOR;South Korea;2022;70.4;This indicator assesses the capacity of a country to prevent child sexual exploitation, focusing on legislation, policies and programmes, and national capacity and commitment.;;;;;;;;;;;;;;KOR;
XK;Kosovo;2022;;This indicator assesses the capacity of a country to prevent child sexual exploitation, focusing on legislation, policies and programmes, and national capacity and commitment.;;;;;;;;;;;;XK;XKX;XK;
KWT;Kuwait;2022;;This indicator assesses the capacity of a country to prevent child sexual exploitation, focusing on legislation, policies and programmes, and national capacity and commitment.;;;;;;;;;;;;KW;KWT;KWT;
KGZ;Kyrgyzstan;2022;;This indicator assesses the capacity of a country to prevent child sexual exploitation, focusing on legislation, policies and programmes, and national capacity and commitment.;;;;;;;;;;;;;;KGZ;
LAO;Laos;2022;;This indicator assesses the capacity of a country to prevent child sexual exploitation, focusing on legislation, policies and programmes, and national capacity and commitment.;;;;;;;;;;;;;;LAO;
LVA;Latvia;2022;;This indicator assesses the capacity of a country to prevent child sexual exploitation, focusing on legislation, policies and programmes, and national capacity and commitment.;;;;;;;;;;;;LV;LVA;LVA;
LBN;Lebanon;2022;;This indicator assesses the capacity of a country to prevent child sexual exploitation, focusing on legislation, policies and programmes, and national capacity and commitment.;;;;;;;;;;;;LB;LBN;LBN;
LSO;Lesotho;2022;;This indicator assesses the capacity of a country to prevent child sexual exploitation, focusing on legislation, policies and programmes, and national capacity and commitment.;;;;;;;;;;;;LS;LSO;LSO;
LBR;Liberia;2022;;This indicator assesses the capacity of a country to prevent child sexual exploitation, focusing on legislation, policies and programmes, and national capacity and commitment.;;;;;;;;;;;;LR;LBR;LBR;
LBY;Libya;2022;;This indicator assesses the capacity of a country to prevent child sexual exploitation, focusing on legislation, policies and programmes, and national capacity and commitment.;;;;;;;;;;;;LY;LBY;LBY;
LIE;Liechtenstein;2022;;This indicator assesses the capacity of a country to prevent child sexual exploitation, focusing on legislation, policies and programmes, and national capacity and commitment.;;;;;;;;;;;;LI;LIE;LIE;
LTU;Lithuania;2022;;This indicator assesses the capacity of a country to prevent child sexual exploitation, focusing on legislation, policies and programmes, and national capacity and commitment.;;;;;;;;;;;;LT;LTU;LTU;
LUX;Luxembourg;2022;;This indicator assesses the capacity of a country to prevent child sexual exploitation, focusing on legislation, policies and programmes, and national capacity and commitment.;;;;;;;;;;;;LU;LUX;LUX;
MKD;Macedonia;2022;;This indicator assesses the capacity of a country to prevent child sexual exploitation, focusing on legislation, policies and programmes, and national capacity and commitment.;;;;;;;;;;;;;;MKD;
MDG;Madagascar;2022;36.3;This indicator assesses the capacity of a country to prevent child sexual exploitation, focusing on legislation, policies and programmes, and national capacity and commitment.;;;;;;;;;;;;MG;MDG;MDG;
MWI;Malawi;2022;;This indicator assesses the capacity of a country to prevent child sexual exploitation, focusing on legislation, policies and programmes, and national capacity and commitment.;;;;;;;;;;;;MW;MWI;MWI;
MYS;Malaysia;2022;51.8;This indicator assesses the capacity of a country to prevent child sexual exploitation, focusing on legislation, policies and programmes, and national capacity and commitment.;;;;;;;;;;;;MY;MYS;MYS;
MDV;Maldives;2022;;This indicator assesses the capacity of a country to prevent child sexual exploitation, focusing on legislation, policies and programmes, and national capacity and commitment.;;;;;;;;;;;;MV;MDV;MDV;
MLI;Mali;2022;;This indicator assesses the capacity of a country to prevent child sexual exploitation, focusing on legislation, policies and programmes, and national capacity and commitment.;;;;;;;;;;;;ML;MLI;MLI;
MLT;Malta;2022;;This indicator assesses the capacity of a country to prevent child sexual exploitation, focusing on legislation, policies and programmes, and national capacity and commitment.;;;;;;;;;;;;MT;MLT;MLT;
MHL;Marshall Islands;2022;;This indicator assesses the capacity of a country to prevent child sexual exploitation, focusing on legislation, policies and programmes, and national capacity and commitment.;;;;;;;;;;;;MH;MHL;MHL;
MRT;Mauritania;2022;;This indicator assesses the capacity of a country to prevent child sexual exploitation, focusing on legislation, policies and programmes, and national capacity and commitment.;;;;;;;;;;;;MR;MRT;MRT;
MUS;Mauritius;2022;;This indicator assesses the capacity of a country to prevent child sexual exploitation, focusing on legislation, policies and programmes, and national capacity and commitment.;;;;;;;;;;;;MU;MUS;MUS;
MEX;Mexico;2022;56.7;This indicator assesses the capacity of a country to prevent child sexual exploitation, focusing on legislation, policies and programmes, and national capacity and commitment.;;;;;;;;;;;;MX;MEX;MEX;
FSM;Micronesia;2022;;This indicator assesses the capacity of a country to prevent child sexual exploitation, focusing on legislation, policies and programmes, and national capacity and commitment.;;;;;;;;;;;;FM;FSM;FSM;
MDA;Moldova;2022;;This indicator assesses the capacity of a country to prevent child sexual exploitation, focusing on legislation, policies and programmes, and national capacity and commitment.;;;;;;;;;;;;MD;MDA;MDA;
MCO;Monaco;2022;;This indicator assesses the capacity of a country to prevent child sexual exploitation, focusing on legislation, policies and programmes, and national capacity and commitment.;;;;;;;;;;;;MC;MCO;MCO;
MNG;Mongolia;2022;55.1;This indicator assesses the capacity of a country to prevent child sexual exploitation, focusing on legislation, policies and programmes, and national capacity and commitment.;;;;;;;;;;;;MN;MNG;MNG;
MNE;Montenegro;2022;;This indicator assesses the capacity of a country to prevent child sexual exploitation, focusing on legislation, policies and programmes, and national capacity and commitment.;;;;;;;;;;;;ME;MNE;MNE;
MAR;Morocco;2022;44.3;This indicator assesses the capacity of a country to prevent child sexual exploitation, focusing on legislation, policies and programmes, and national capacity and commitment.;;;;;;;;;;;;MA;MAR;MAR;
MOZ;Mozambique;2022;46.4;This indicator assesses the capacity of a country to prevent child sexual exploitation, focusing on legislation, policies and programmes, and national capacity and commitment.;;;;;;;;;;;;MZ;MOZ;MOZ;
MMR;Myanmar;2022;;This indicator assesses the capacity of a country to prevent child sexual exploitation, focusing on legislation, policies and programmes, and national capacity and commitment.;;;;;;;;;;;;;;MMR;
NAM;Namibia;2022;;This indicator assesses the capacity of a country to prevent child sexual exploitation, focusing on legislation, policies and programmes, and national capacity and commitment.;;;;;;;;;;;;NA;NAM;NAM;
NRU;Nauru;2022;;This indicator assesses the capacity of a country to prevent child sexual exploitation, focusing on legislation, policies and programmes, and national capacity and commitment.;;;;;;;;;;;;NR;NRU;NRU;
NPL;Nepal;2022;44.4;This indicator assesses the capacity of a country to prevent child sexual exploitation, focusing on legislation, policies and programmes, and national capacity and commitment.;;;;;;;;;;;;NP;NPL;NPL;
NLD;Netherlands;2022;;This indicator assesses the capacity of a country to prevent child sexual exploitation, focusing on legislation, policies and programmes, and national capacity and commitment.;;;;;;;;;;;;NL;NLD;NLD;
NZL;New Zealand;2022;;This indicator assesses the capacity of a country to prevent child sexual exploitation, focusing on legislation, policies and programmes, and national capacity and commitment.;;;;;;;;;;;;NZ;NZL;NZL;
NIC;Nicaragua;2022;;This indicator assesses the capacity of a country to prevent child sexual exploitation, focusing on legislation, policies and programmes, and national capacity and commitment.;;;;;;;;;;;;NI;NIC;NIC;
NER;Niger;2022;24.7;This indicator assesses the capacity of a country to prevent child sexual exploitation, focusing on legislation, policies and programmes, and national capacity and commitment.;;;;;;;;;;;;NE;NER;NER;
NGA;Nigeria;2022;46.7;This indicator assesses the capacity of a country to prevent child sexual exploitation, focusing on legislation, policies and programmes, and national capacity and commitment.;;;;;;;;;;;;NG;NGA;NGA;
NOR;Norway;2022;;This indicator assesses the capacity of a country to prevent child sexual exploitation, focusing on legislation, policies and programmes, and national capacity and commitment.;;;;;;;;;;;;NO;NOR;NOR;
OMN;Oman;2022;;This indicator assesses the capacity of a country to prevent child sexual exploitation, focusing on legislation, policies and programmes, and national capacity and commitment.;;;;;;;;;;;;OM;OMN;OMN;
PAK;Pakistan;2022;36.1;This indicator assesses the capacity of a country to prevent child sexual exploitation, focusing on legislation, policies and programmes, and national capacity and commitment.;;;;;;;;;;;;PK;PAK;PAK;
PLW;Palau;2022;;This indicator assesses the capacity of a country to prevent child sexual exploitation, focusing on legislation, policies and programmes, and national capacity and commitment.;;;;;;;;;;;;PW;PLW;PLW;
PSE;State of Palestine;2022;;This indicator assesses the capacity of a country to prevent child sexual exploitation, focusing on legislation, policies and programmes, and national capacity and commitment.;;;;;;;;;;;;;;PSE;
PAN;Panama;2022;;This indicator assesses the capacity of a country to prevent child sexual exploitation, focusing on legislation, policies and programmes, and national capacity and commitment.;;;;;;;;;;;;PA;PAN;PAN;
PNG;Papua New Guinea;2022;;This indicator assesses the capacity of a country to prevent child sexual exploitation, focusing on legislation, policies and programmes, and national capacity and commitment.;;;;;;;;;;;;;;PNG;
PRY;Paraguay;2022;;This indicator assesses the capacity of a country to prevent child sexual exploitation, focusing on legislation, policies and programmes, and national capacity and commitment.;;;;;;;;;;;;PY;PRY;PRY;
PER;Peru;2022;51.2;This indicator assesses the capacity of a country to prevent child sexual exploitation, focusing on legislation, policies and programmes, and national capacity and commitment.;;;;;;;;;;;;PE;PER;PER;
PHL;Philippines;2022;49.3;This indicator assesses the capacity of a country to prevent child sexual exploitation, focusing on legislation, policies and programmes, and national capacity and commitment.;;;;;;;;;;;;PH;PHL;PHL;
POL;Poland;2022;;This indicator assesses the capacity of a country to prevent child sexual exploitation, focusing on legislation, policies and programmes, and national capacity and commitment.;;;;;;;;;;;;PL;POL;POL;
PRT;Portugal;2022;;This indicator assesses the capacity of a country to prevent child sexual exploitation, focusing on legislation, policies and programmes, and national capacity and commitment.;;;;;;;;;;;;PT;PRT;PRT;
QAT;Qatar;2022;;This indicator assesses the capacity of a country to prevent child sexual exploitation, focusing on legislation, policies and programmes, and national capacity and commitment.;;;;;;;;;;;;QA;QAT;QAT;
ROU;Romania;2022;54.9;This indicator assesses the capacity of a country to prevent child sexual exploitation, focusing on legislation, policies and programmes, and national capacity and commitment.;;;;;;;;;;;;RO;ROU;ROU;
RUS;Russia;2022;44.5;This indicator assesses the capacity of a country to prevent child sexual exploitation, focusing on legislation, policies and programmes, and national capacity and commitment.;;;;;;;;;;;;RU;RUS;RUS;
RWA;Rwanda;2022;56.6;This indicator assesses the capacity of a country to prevent child sexual exploitation, focusing on legislation, policies and programmes, and national capacity and commitment.;;;;;;;;;;;;RW;RWA;RWA;
KNA;Saint Kitts and Nevis;2022;;This indicator assesses the capacity of a country to prevent child sexual exploitation, focusing on legislation, policies and programmes, and national capacity and commitment.;;;;;;;;;;;;KN;KNA;KNA;
