GHO;PUBLISHSTATE;YEAR;REGION;COUNTRY;Display Value;Numeric;Low;High;StdErr;StdDev;Comments;ATTR_ENDPOINT
SA_0000001555;PUBLISHED;2016;WPR;NZL;No;;;;;;;http://apps.who.int/gho/athena/api/GHO/SA_0000001555.csv
SA_0000001555;PUBLISHED;2016;WPR;VUT;No;;;;;;;http://apps.who.int/gho/athena/api/GHO/SA_0000001555.csv
SA_0000001555;PUBLISHED;2016;AFR;BWA;No;;;;;;;http://apps.who.int/gho/athena/api/GHO/SA_0000001555.csv
SA_0000001555;PUBLISHED;2016;AFR;TCD;No;;;;;;;http://apps.who.int/gho/athena/api/GHO/SA_0000001555.csv
SA_0000001555;PUBLISHED;2016;AFR;GIN;No;;;;;;;http://apps.who.int/gho/athena/api/GHO/SA_0000001555.csv
SA_0000001555;PUBLISHED;2016;AFR;NAM;No;;;;;;;http://apps.who.int/gho/athena/api/GHO/SA_0000001555.csv
SA_0000001555;PUBLISHED;2016;AFR;SYC;No;;;;;;;http://apps.who.int/gho/athena/api/GHO/SA_0000001555.csv
SA_0000001555;PUBLISHED;2016;AFR;TGO;No;;;;;;;http://apps.who.int/gho/athena/api/GHO/SA_0000001555.csv
SA_0000001555;PUBLISHED;2016;AMR;ARG;Yes;;;;;;;http://apps.who.int/gho/athena/api/GHO/SA_0000001555.csv
SA_0000001555;PUBLISHED;2016;AMR;DMA;No;;;;;;;http://apps.who.int/gho/athena/api/GHO/SA_0000001555.csv
SA_0000001555;PUBLISHED;2016;AMR;NIC;No;;;;;;;http://apps.who.int/gho/athena/api/GHO/SA_0000001555.csv
SA_0000001555;PUBLISHED;2016;AMR;VCT;No;;;;;;;http://apps.who.int/gho/athena/api/GHO/SA_0000001555.csv
SA_0000001555;PUBLISHED;2016;AMR;VEN;No;;;;;;;http://apps.who.int/gho/athena/api/GHO/SA_0000001555.csv
SA_0000001555;PUBLISHED;2016;EMR;IRQ;No;;;;;;;http://apps.who.int/gho/athena/api/GHO/SA_0000001555.csv
SA_0000001555;PUBLISHED;2016;EUR;PRT;Yes;;;;;;;http://apps.who.int/gho/athena/api/GHO/SA_0000001555.csv
SA_0000001555;PUBLISHED;2016;EUR;SVK;No;;;;;;;http://apps.who.int/gho/athena/api/GHO/SA_0000001555.csv
SA_0000001555;PUBLISHED;2016;EUR;SWE;No;;;;;;;http://apps.who.int/gho/athena/api/GHO/SA_0000001555.csv
SA_0000001555;PUBLISHED;2016;SEAR;LKA;No;;;;;;;http://apps.who.int/gho/athena/api/GHO/SA_0000001555.csv
SA_0000001555;PUBLISHED;2016;EUR;SMR;No;;;;;;;http://apps.who.int/gho/athena/api/GHO/SA_0000001555.csv
SA_0000001555;PUBLISHED;2016;EUR;UKR;No;;;;;;;http://apps.who.int/gho/athena/api/GHO/SA_0000001555.csv
SA_0000001555;PUBLISHED;2016;EUR;NOR;No;;;;;;;http://apps.who.int/gho/athena/api/GHO/SA_0000001555.csv
SA_0000001555;PUBLISHED;2016;SEAR;THA;Yes;;;;;;;http://apps.who.int/gho/athena/api/GHO/SA_0000001555.csv
SA_0000001555;PUBLISHED;2016;WPR;MYS;Yes;;;;;;;http://apps.who.int/gho/athena/api/GHO/SA_0000001555.csv
SA_0000001555;PUBLISHED;2016;WPR;WSM;No;;;;;;;http://apps.who.int/gho/athena/api/GHO/SA_0000001555.csv
SA_0000001555;PUBLISHED;2016;AFR;DZA;No;;;;;;;http://apps.who.int/gho/athena/api/GHO/SA_0000001555.csv
SA_0000001555;PUBLISHED;2016;AFR;BDI;Yes;;;;;;;http://apps.who.int/gho/athena/api/GHO/SA_0000001555.csv
SA_0000001555;PUBLISHED;2016;AFR;COG;No;;;;;;;http://apps.who.int/gho/athena/api/GHO/SA_0000001555.csv
SA_0000001555;PUBLISHED;2016;AFR;KEN;Yes;;;;;;;http://apps.who.int/gho/athena/api/GHO/SA_0000001555.csv
SA_0000001555;PUBLISHED;2016;AFR;NGA;No;;;;;;;http://apps.who.int/gho/athena/api/GHO/SA_0000001555.csv
SA_0000001555;PUBLISHED;2016;AFR;ZAF;Yes;;;;;;;http://apps.who.int/gho/athena/api/GHO/SA_0000001555.csv
SA_0000001555;PUBLISHED;2016;AFR;TZA;Yes;;;;;;;http://apps.who.int/gho/athena/api/GHO/SA_0000001555.csv
SA_0000001555;PUBLISHED;2016;EMR;MAR;No;;;;;;;http://apps.who.int/gho/athena/api/GHO/SA_0000001555.csv
SA_0000001555;PUBLISHED;2016;EUR;CZE;No;;;;;;;http://apps.who.int/gho/athena/api/GHO/SA_0000001555.csv
SA_0000001555;PUBLISHED;2016;EUR;ISR;Yes;;;;;;;http://apps.who.int/gho/athena/api/GHO/SA_0000001555.csv
SA_0000001555;PUBLISHED;2016;EUR;POL;No;;;;;;;http://apps.who.int/gho/athena/api/GHO/SA_0000001555.csv
SA_0000001555;PUBLISHED;2016;EUR;CHE;No;;;;;;;http://apps.who.int/gho/athena/api/GHO/SA_0000001555.csv
SA_0000001555;PUBLISHED;2016;SEAR;IND;Yes;;;;;;;http://apps.who.int/gho/athena/api/GHO/SA_0000001555.csv
SA_0000001555;PUBLISHED;2016;EUR;BEL;No;;;;;;;http://apps.who.int/gho/athena/api/GHO/SA_0000001555.csv
SA_0000001555;PUBLISHED;2016;EUR;DNK;No;;;;;;;http://apps.who.int/gho/athena/api/GHO/SA_0000001555.csv
SA_0000001555;PUBLISHED;2016;EUR;DEU;No;;;;;;;http://apps.who.int/gho/athena/api/GHO/SA_0000001555.csv
SA_0000001555;PUBLISHED;2016;EUR;ITA;No;;;;;;;http://apps.who.int/gho/athena/api/GHO/SA_0000001555.csv
SA_0000001555;PUBLISHED;2016;WPR;COK;No;;;;;;;http://apps.who.int/gho/athena/api/GHO/SA_0000001555.csv
SA_0000001555;PUBLISHED;2016;AFR;BEN;No;;;;;;;http://apps.who.int/gho/athena/api/GHO/SA_0000001555.csv
