goal;target;indicator;series;seriesDescription;seriesCount;geoAreaCode;geoAreaName;timePeriodStart;value;valueType;time_detail;timeCoverage;upperBound;lowerBound;basePeriod;source;geoInfoUrl;footnotes;attributes.Nature;attributes.Units;dimensions.Reporting Type;ATTR_ENDPOINT
['15'];['15.3'];['15.3.1'];AG_LND_DGRD;Proportion of land that is degraded over total land area (%);294;408;Democratic People's Republic of Korea;2015.0;NaN;String;;;;;;UNCCD;;[''];E;PERCENT;G;https://unstats.un.org/SDGAPI/v1/sdg/Series/Data?seriesCode=AG_LND_DGRD&pageSize=999999999
['15'];['15.3'];['15.3.1'];AG_LND_DGRD;Proportion of land that is degraded over total land area (%);294;180;Democratic Republic of the Congo;2015.0;6;Float;;;;;;Ministère de l'Environnement, Conservation de la Nature et Tourisme;;[''];C;PERCENT;G;https://unstats.un.org/SDGAPI/v1/sdg/Series/Data?seriesCode=AG_LND_DGRD&pageSize=999999999
['15'];['15.3'];['15.3.1'];AG_LND_DGRD;Proportion of land that is degraded over total land area (%);294;208;Denmark;2015.0;NaN;String;;;;;;UNCCD;;[''];E;PERCENT;G;https://unstats.un.org/SDGAPI/v1/sdg/Series/Data?seriesCode=AG_LND_DGRD&pageSize=999999999
['15'];['15.3'];['15.3.1'];AG_LND_DGRD;Proportion of land that is degraded over total land area (%);294;514;Developed regions (Europe, Cyprus, Israel, Northern America, Japan, Australia & New Zealand);2015.0;15;Float;;;;;;United Nations Convention to Combat Desertification (UNCCD);;['Regional data are based on the country-level data submitted in UNCCD 2018 national reports from 123 countries and estimates prepared by UNCCD based on global data sources.'];NA;PERCENT;G;https://unstats.un.org/SDGAPI/v1/sdg/Series/Data?seriesCode=AG_LND_DGRD&pageSize=999999999
['15'];['15.3'];['15.3.1'];AG_LND_DGRD;Proportion of land that is degraded over total land area (%);294;515;Developing regions;2015.0;22;Float;;;;;;United Nations Convention to Combat Desertification (UNCCD);;['Regional data are based on the country-level data submitted in UNCCD 2018 national reports from 123 countries and estimates prepared by UNCCD based on global data sources.'];NA;PERCENT;G;https://unstats.un.org/SDGAPI/v1/sdg/Series/Data?seriesCode=AG_LND_DGRD&pageSize=999999999
['15'];['15.3'];['15.3.1'];AG_LND_DGRD;Proportion of land that is degraded over total land area (%);294;262;Djibouti;2015.0;NaN;String;;;;;;UNCCD;;[''];E;PERCENT;G;https://unstats.un.org/SDGAPI/v1/sdg/Series/Data?seriesCode=AG_LND_DGRD&pageSize=999999999
['15'];['15.3'];['15.3.1'];AG_LND_DGRD;Proportion of land that is degraded over total land area (%);294;212;Dominica;2015.0;NaN;String;;;;;;United Nations Convention to Combat Desertification (UNCCD);;[''];NA;PERCENT;G;https://unstats.un.org/SDGAPI/v1/sdg/Series/Data?seriesCode=AG_LND_DGRD&pageSize=999999999
['15'];['15.3'];['15.3.1'];AG_LND_DGRD;Proportion of land that is degraded over total land area (%);294;214;Dominican Republic;2015.0;NaN;String;;;;;;United Nations Convention to Combat Desertification (UNCCD);;[''];NA;PERCENT;G;https://unstats.un.org/SDGAPI/v1/sdg/Series/Data?seriesCode=AG_LND_DGRD&pageSize=999999999
['15'];['15.3'];['15.3.1'];AG_LND_DGRD;Proportion of land that is degraded over total land area (%);294;14;Eastern Africa;2015.0;27;Float;;;;;;United Nations Convention to Combat Desertification (UNCCD);;['Regional data are based on the country-level data submitted in UNCCD 2018 national reports from 123 countries and estimates prepared by UNCCD based on global data sources.'];NA;PERCENT;G;https://unstats.un.org/SDGAPI/v1/sdg/Series/Data?seriesCode=AG_LND_DGRD&pageSize=999999999
['15'];['15.3'];['15.3.1'];AG_LND_DGRD;Proportion of land that is degraded over total land area (%);294;753;Eastern and South-Eastern Asia;2015.0;24;Float;;;;;;United Nations Convention to Combat Desertification (UNCCD);;['Regional data are based on the country-level data submitted in UNCCD 2018 national reports from 123 countries and estimates prepared by UNCCD based on global data sources.'];NA;PERCENT;G;https://unstats.un.org/SDGAPI/v1/sdg/Series/Data?seriesCode=AG_LND_DGRD&pageSize=999999999
