country_col_not_used;ISO3;Earthquake;Flood;Tsunami;Tropical Cyclone;Drought;Epidemic;Natural;Projected Conflict Risk;Current Highly Violent Conflict Intensity;Human;HAZARD & EXPOSURE;Development & Deprivation;Inequality;Economic Dependency;Socio-Economic Vulnerability;Uprooted people;Health Conditions;Children U5;Recent Shocks;Food Security;Other Vulnerable Groups;Vulnerable Groups;VULNERABILITY;DRR;Governance;Institutional;Communication;Physical infrastructure;Access to health care;Infrastructure;LACK OF COPING CAPACITY;RAW_OBS_VALUE;RISK CLASS;Rank;Lack of Reliability (*);Number of Missing Indicators;% of Missing Indicators;Countries in HVC;Recentness data (average years);TIME_PERIOD;ATTR_ENDPOINT
Haiti;HTI;9.7;4.3;6.3;7.2;3.8;7.3;7;6.4;0;4.5;5.9;8.2;6.2;6.5;7.3;1.6;3.2;3.6;0.1;9;5;3.5;5.7;6.7;8.5;7.6;6.6;5.3;8.3;6.7;7.2;6.2;High;21;2.488888888888888;4;0.0784313725490196;;0.26666666666666666;2021;https://drmkc.jrc.ec.europa.eu/inform-index/Portals/0/InfoRM/2021/INFORM_Risk_2021_v050.xlsx?ver=2021-09-02-170624-200
Honduras;HND;9.4;5.1;7;4.3;4.6;5.9;6.5;3.9;0;2.7;4.9;6.4;6.6;3.5;5.7;7.6;1.1;1.5;1.5;3.7;2;5.5;5.6;5.2;6.8;6;4.1;3.9;5;4.3;5.2;5.2;High;34;3.3422222222222224;4;0.0784313725490196;;0.4266666666666667;2021;https://drmkc.jrc.ec.europa.eu/inform-index/Portals/0/InfoRM/2021/INFORM_Risk_2021_v050.xlsx?ver=2021-09-02-170624-200
Hungary;HUN;2.3;7.5;0;0;3.6;4.8;3.6;0.1;0;0.1;2;1.1;2.4;0.5;1.3;2.7;0.1;0.3;0.8;1.6;0.7;1.8;1.6;1.4;4.8;3.1;1.9;0.1;1.4;1.1;2.2;1.9;Very Low;157;3.4473429951690813;8;0.1568627450980392;;0.2463768115942029;2021;https://drmkc.jrc.ec.europa.eu/inform-index/Portals/0/InfoRM/2021/INFORM_Risk_2021_v050.xlsx?ver=2021-09-02-170624-200
Iceland;ISL;7.5;0.1;0;0;0;2.2;2.2;0;0;0;1.2;0;0.6;0.1;0.2;2.5;0.1;0.2;0;0.4;0.2;1.4;0.8;x;2.2;2.2;1.3;2.6;0.3;1.4;1.8;1.2;Very Low;182;4.225641025641026;14;0.27450980392156865;;0.09230769230769231;2021;https://drmkc.jrc.ec.europa.eu/inform-index/Portals/0/InfoRM/2021/INFORM_Risk_2021_v050.xlsx?ver=2021-09-02-170624-200
India;IND;8.3;8.4;8.1;7.2;7;7.4;7.8;9.7;7;7;7.4;6.6;5;0.4;4.7;6.1;3.1;5.1;2.6;4.3;3.8;5.1;4.9;1.8;5.2;3.5;4.5;4.5;6;5;4.3;5.4;High;29;3.648648648648649;5;0.09803921568627451;YES;0.2972972972972973;2021;https://drmkc.jrc.ec.europa.eu/inform-index/Portals/0/InfoRM/2021/INFORM_Risk_2021_v050.xlsx?ver=2021-09-02-170624-200
Indonesia;IDN;8.9;8.1;9.7;6.1;3.4;7;7.7;9.8;7;7;7.4;4.1;4.8;0.2;3.3;4;2.7;2.9;0.5;2.6;2.2;3.2;3.3;3.3;5.3;4.3;2.8;4.7;6.6;4.7;4.5;4.8;Medium;52;1.8000000000000007;3;0.058823529411764705;YES;0.12;2021;https://drmkc.jrc.ec.europa.eu/inform-index/Portals/0/InfoRM/2021/INFORM_Risk_2021_v050.xlsx?ver=2021-09-02-170624-200
Iran;IRN;9.6;6.4;6.9;1.8;6.1;6.3;6.8;8;0;5.6;6.2;2.1;5.3;0.1;2.4;8;0.1;1;6.3;1.4;2.6;6;4.4;4.4;6.7;5.6;2.7;3.8;2.9;3.1;4.5;5;High;47;4.003755868544601;6;0.11764705882352941;;0.4507042253521127;2021;https://drmkc.jrc.ec.europa.eu/inform-index/Portals/0/InfoRM/2021/INFORM_Risk_2021_v050.xlsx?ver=2021-09-02-170624-200
Iraq;IRQ;5.4;9.5;0;0;5.3;6.9;5.6;9.9;9;9;7.7;4.9;4.2;1.4;3.9;9;0.5;1.5;0;5.6;2.2;6.8;5.5;8.4;7.8;8.1;4;3.5;5.6;4.4;6.6;6.5;Very High;14;3.1872146118721476;6;0.11764705882352941;YES;0.1780821917808219;2021;https://drmkc.jrc.ec.europa.eu/inform-index/Portals/0/InfoRM/2021/INFORM_Risk_2021_v050.xlsx?ver=2021-09-02-170624-200
Ireland;IRL;0.1;3.9;5.8;0;0.5;1.3;2.2;0;0;0;1.2;0;1.6;0.1;0.4;4.2;0.2;0.3;0;0;0.1;2.4;1.5;x;2.4;2.4;2.2;0.5;0.9;1.2;1.8;1.5;Very Low;174;4.266666666666667;12;0.23529411764705882;;0.2;2021;https://drmkc.jrc.ec.europa.eu/inform-index/Portals/0/InfoRM/2021/INFORM_Risk_2021_v050.xlsx?ver=2021-09-02-170624-200
Israel;ISR;7.3;2.3;6.2;0;5.3;4;4.6;8.3;0;5.8;5.2;0;2.4;0.1;0.6;5.4;0.2;0.3;0.5;0;0.3;3.3;2.1;x;3.3;3.3;1.8;0;0.6;0.8;2.1;2.8;Low;123;4.226262626262627;11;0.21568627450980393;;0.24242424242424243;2021;https://drmkc.jrc.ec.europa.eu/inform-index/Portals/0/InfoRM/2021/INFORM_Risk_2021_v050.xlsx?ver=2021-09-02-170624-200
Italy;ITA;8.6;5.4;7.4;0;2.4;2.1;5.1;0.4;0;0.3;3;0.3;1.8;0.1;0.6;6.3;0.2;0.2;0;0.8;0.3;3.9;2.4;2.4;4.5;3.5;1.5;0.1;0.3;0.6;2.2;2.5;Low;131;3.4196078431372543;9;0.17647058823529413;;0.19117647058823528;2021;https://drmkc.jrc.ec.europa.eu/inform-index/Portals/0/InfoRM/2021/INFORM_Risk_2021_v050.xlsx?ver=2021-09-02-170624-200
Jamaica;JAM;9.1;3.1;0;7.2;2.8;5.2;5.4;0.4;0;0.3;3.3;4.1;5.4;2.1;3.9;0;1.5;0.8;0;3.2;1.5;0.8;2.5;3.3;4.9;4.1;3.1;1.9;4.4;3.1;3.6;3.1;Low;108;4.12018779342723;7;0.13725490196078433;;0.4225352112676056;2021;https://drmkc.jrc.ec.europa.eu/inform-index/Portals/0/InfoRM/2021/INFORM_Risk_2021_v050.xlsx?ver=2021-09-02-170624-200
Japan;JPN;10;3.9;10;10;0.5;3.4;8.1;0.7;0;0.5;5.5;0;1.7;0;0.4;3.6;0.2;0.5;0.5;2.6;1;2.4;1.5;1.9;2.2;2.1;1.3;0.1;1.1;0.8;1.5;2.3;Low;144;4.36078431372549;9;0.17647058823529413;;0.36764705882352944;2021;https://drmkc.jrc.ec.europa.eu/inform-index/Portals/0/InfoRM/2021/INFORM_Risk_2021_v050.xlsx?ver=2021-09-02-170624-200
Jordan;JOR;7.7;2.6;0;0;6.7;4;4.2;3.3;0;2.3;3.3;2.2;4.2;5.8;3.6;10;0.1;1;0;2.9;1.1;7.8;6.1;6.1;5;5.6;2.4;2.4;3.2;2.7;4.3;4.4;Medium;67;3.4028169014084506;6;0.11764705882352941;;0.3380281690140845;2021;https://drmkc.jrc.ec.europa.eu/inform-index/Portals/0/InfoRM/2021/INFORM_Risk_2021_v050.xlsx?ver=2021-09-02-170624-200
Kazakhstan;KAZ;6.5;6;0;0;5;3.8;4;0.4;0;0.3;2.3;1.3;1.7;0;1.1;0;0.4;0.6;0;1;0.5;0.3;0.7;3.8;5.8;4.8;1.3;3.5;2.4;2.4;3.7;1.8;Very Low;161;3.550684931506849;4;0.0784313725490196;;0.4657534246575342;2021;https://drmkc.jrc.ec.europa.eu/inform-index/Portals/0/InfoRM/2021/INFORM_Risk_2021_v050.xlsx?ver=2021-09-02-170624-200
Kenya;KEN;3.2;5.6;6;0;6.9;6.4;5.1;9.3;0;6.5;5.8;7.5;5.6;1.4;5.5;7.7;4.3;2.9;4.3;6.6;4.7;6.4;6;3.9;6.5;5.2;4.9;8.4;6.9;6.7;6;5.9;High;24;1.706666666666667;0;0;;0.32;2021;https://drmkc.jrc.ec.europa.eu/inform-index/Portals/0/InfoRM/2021/INFORM_Risk_2021_v050.xlsx?ver=2021-09-02-170624-200
Kiribati;KIR;0.1;0.1;8.7;0;3.8;4.5;3.8;0;0;0;2.1;6.4;3;7.8;5.9;0;8.2;3.7;0;0.9;4.1;2.3;4.3;x;5.6;5.6;5.4;4.1;5.4;5;5.3;3.6;Medium;99;6.580645161290324;17;0.3333333333333333;;0.4838709677419355;2021;https://drmkc.jrc.ec.europa.eu/inform-index/Portals/0/InfoRM/2021/INFORM_Risk_2021_v050.xlsx?ver=2021-09-02-170624-200
Korea DPR;PRK;4.9;7.4;4.6;6.5;3.8;3;5.2;5.4;0;3.8;4.5;9.4;x;0.1;6.3;0;3.9;1.8;10;9.5;7.8;5;5.7;x;8.2;8.2;4.9;3.4;0.7;3;6.3;5.4;High;29;6.259887005649718;18;0.35294117647058826;;0.423728813559322;2021;https://drmkc.jrc.ec.europa.eu/inform-index/Portals/0/InfoRM/2021/INFORM_Risk_2021_v050.xlsx?ver=2021-09-02-170624-200
Korea Republic of;KOR;7.3;4.7;7.6;8.5;0.3;2.7;5.9;0.9;0;0.6;3.7;0;1.3;0.1;0.4;3.9;0.4;0.2;0.1;0.8;0.4;2.3;1.4;1.5;3.4;2.5;1.3;0;1.1;0.8;1.7;2.1;Low;150;4.784313725490196;10;0.19607843137254902;;0.39705882352941174;2021;https://drmkc.jrc.ec.europa.eu/inform-index/Portals/0/InfoRM/2021/INFORM_Risk_2021_v050.xlsx?ver=2021-09-02-170624-200
Kuwait;KWT;0.2;1.3;0;0;3.3;3.8;1.6;1.1;0;0.8;1.2;1.8;3.3;0;1.7;1.7;0.2;0.7;0;0.6;0.4;1.1;1.4;x;5.6;5.6;0.6;1.6;0.9;1;3.6;1.8;Very Low;161;3.822222222222223;11;0.21568627450980393;;0.16666666666666666;2021;https://drmkc.jrc.ec.europa.eu/inform-index/Portals/0/InfoRM/2021/INFORM_Risk_2021_v050.xlsx?ver=2021-09-02-170624-200
Kyrgyzstan;KGZ;8.6;5.6;0;0;6.3;5.4;5.1;5.5;0;3.9;4.5;2.8;2.9;4.7;3.3;0.9;0.7;1;0;2.3;1;1;2.2;3.7;6.6;5.2;2.4;3.7;4.1;3.4;4.4;3.5;Medium;100;1.9531531531531527;3;0.058823529411764705;;0.21621621621621623;2021;https://drmkc.jrc.ec.europa.eu/inform-index/Portals/0/InfoRM/2021/INFORM_Risk_2021_v050.xlsx?ver=2021-09-02-170624-200
Lao PDR;LAO;3.1;9.1;0;3.3;2.4;6.3;4.9;0.9;0;0.6;3;6.8;4.6;1.6;5;0;1.6;4.2;4.8;3.1;3.5;1.9;3.6;6.1;6.7;6.4;4.6;5.1;6.8;5.5;6;4;Medium;79;2.9406392694063923;5;0.09803921568627451;;0.3013698630136986;2021;https://drmkc.jrc.ec.europa.eu/inform-index/Portals/0/InfoRM/2021/INFORM_Risk_2021_v050.xlsx?ver=2021-09-02-170624-200
Latvia;LVA;0.1;6.5;0;0;2.8;1;2.1;0.1;0;0.1;1.2;0.9;2.5;0.6;1.2;1.3;0.5;0.3;0;1.5;0.6;1;1.1;x;3.7;3.7;1.6;0.7;2;1.4;2.6;1.5;Very Low;174;4.258706467661692;10;0.19607843137254902;;0.29850746268656714;2021;https://drmkc.jrc.ec.europa.eu/inform-index/Portals/0/InfoRM/2021/INFORM_Risk_2021_v050.xlsx?ver=2021-09-02-170624-200
Lebanon;LBN;9.6;1.2;7.2;0;2.3;3.6;5.2;5.5;0;3.9;4.6;3.4;3.3;5.5;3.9;10;0.1;0.6;0.1;1.9;0.7;7.7;6.2;4.7;6.8;5.8;2.6;0.6;3.7;2.3;4.3;5;High;47;3.2502415458937204;9;0.17647058823529413;;0.15942028985507245;2021;https://drmkc.jrc.ec.europa.eu/inform-index/Portals/0/InfoRM/2021/INFORM_Risk_2021_v050.xlsx?ver=2021-09-02-170624-200
Lesotho;LSO;0.1;3;0;0;6;3.7;2.5;1.8;0;1.3;1.9;7.4;6.2;4.4;6.4;0.9;7.3;4.3;10;8.4;8.1;5.6;6;8.4;6.4;7.4;5.3;7;5.6;6;6.8;4.3;Medium;69;2.2370370370370365;2;0.0392156862745098;;0.3194444444444444;2021;https://drmkc.jrc.ec.europa.eu/inform-index/Portals/0/InfoRM/2021/INFORM_Risk_2021_v050.xlsx?ver=2021-09-02-170624-200
Liberia;LBR;0.1;6.2;5.5;0;0.5;7.5;4;1.9;0;1.3;2.8;9;5.7;5.5;7.3;3.3;6;4.3;0;8.6;5.5;4.5;6.1;x;7.5;7.5;8.1;7.9;7.4;7.8;7.7;5.1;High;41;2.527699530516432;3;0.058823529411764705;;0.323943661971831;2021;https://drmkc.jrc.ec.europa.eu/inform-index/Portals/0/InfoRM/2021/INFORM_Risk_2021_v050.xlsx?ver=2021-09-02-170624-200
Libya;LBY;1.9;2.6;7.3;0;5;3;3.7;9.8;10;10;8.2;3.5;2.3;1.6;2.7;9.1;0.4;1.8;0.1;6.7;2.8;7;5.2;x;8.5;8.5;5.6;3.3;3.5;4.1;6.8;6.6;Very High;12;5.82089552238806;10;0.19607843137254902;YES;0.373134328358209;2021;https://drmkc.jrc.ec.europa.eu/inform-index/Portals/0/InfoRM/2021/INFORM_Risk_2021_v050.xlsx?ver=2021-09-02-170624-200
Liechtenstein;LIE;5.2;0.1;0;0;0;1.2;1.3;0;0;0;0.7;0;x;0;0;2.3;x;x;0;0;0;1.2;0.6;x;1.5;1.5;1.4;0;x;0.7;1.1;0.8;Very Low;190;5.150326797385621;31;0.6078431372549019;;0.21568627450980393;2021;https://drmkc.jrc.ec.europa.eu/inform-index/Portals/0/InfoRM/2021/INFORM_Risk_2021_v050.xlsx?ver=2021-09-02-170624-200
Lithuania;LTU;0.1;4.7;0;0;3.1;0.9;1.7;0;0;0;0.9;0.6;2.4;0.4;1;2.1;0.4;0.3;0;0.8;0.4;1.3;1.2;x;3.5;3.5;1;0.4;1.2;0.9;2.3;1.4;Very Low;176;4.816161616161616;12;0.23529411764705882;;0.30303030303030304;2021;https://drmkc.jrc.ec.europa.eu/inform-index/Portals/0/InfoRM/2021/INFORM_Risk_2021_v050.xlsx?ver=2021-09-02-170624-200
Luxembourg;LUX;0.2;2;0;0;1;1.5;0.8;0;0;0;0.4;0;1.8;0.5;0.6;3.7;0.3;0.2;0.1;1.5;0.5;2.2;1.4;x;1.7;1.7;1.3;0.1;0.8;0.7;1.2;0.9;Very Low;187;4.102564102564102;12;0.23529411764705882;;0.16923076923076924;2021;https://drmkc.jrc.ec.europa.eu/inform-index/Portals/0/InfoRM/2021/INFORM_Risk_2021_v050.xlsx?ver=2021-09-02-170624-200
Madagascar;MDG;0.1;7.2;7.8;7.4;4.4;6.7;6.1;0.4;0;0.3;3.8;8.8;4.4;1.6;5.9;1.8;3.9;5;1.8;9.2;5.8;4.1;5.1;4.7;7.5;6.1;7.4;9.4;6.8;7.9;7.1;5.2;High;34;2.432876712328767;2;0.0392156862745098;;0.3561643835616438;2021;https://drmkc.jrc.ec.europa.eu/inform-index/Portals/0/InfoRM/2021/INFORM_Risk_2021_v050.xlsx?ver=2021-09-02-170624-200
Malawi;MWI;6.5;5.3;0;0.7;5.8;6.1;4.5;1.1;0;0.8;2.9;8.6;6.6;4.2;7;5.2;6.5;3.2;2.7;4.9;4.5;4.9;6.1;4;6.7;5.4;8;7.5;6.5;7.3;6.4;4.8;Medium;52;1.2799999999999994;0;0;;0.24;2021;https://drmkc.jrc.ec.europa.eu/inform-index/Portals/0/InfoRM/2021/INFORM_Risk_2021_v050.xlsx?ver=2021-09-02-170624-200
Malaysia;MYS;2.3;6.6;7.1;2.9;3.2;5.3;4.9;2.2;0;1.5;3.4;1.9;3.9;0.1;2;6.2;0.7;1.8;0.1;2;1.2;4.1;3.1;2.6;3.8;3.2;1.7;2.9;3.2;2.6;2.9;3.1;Low;108;3.6019323671497583;8;0.1568627450980392;;0.2753623188405797;2021;https://drmkc.jrc.ec.europa.eu/inform-index/Portals/0/InfoRM/2021/INFORM_Risk_2021_v050.xlsx?ver=2021-09-02-170624-200
Maldives;MDV;0.1;0.1;9;0;0;3.3;3.2;0.1;0;0.1;1.8;2.7;3.3;0.9;2.4;0;0.4;2.3;0.2;5.3;2.3;1.2;1.8;5.8;6.6;6.2;1.5;0.1;3.3;1.6;4.3;2.4;Low;135;5.003921568627452;12;0.23529411764705882;;0.3382352941176471;2021;https://drmkc.jrc.ec.europa.eu/inform-index/Portals/0/InfoRM/2021/INFORM_Risk_2021_v050.xlsx?ver=2021-09-02-170624-200
Mali;MLI;0.1;6.9;0;0;7.6;6.4;4.4;9.9;7;7;5.9;9.5;5.5;3.4;7;7.3;4.6;5.8;0;1;3.2;5.6;6.4;4.9;7.1;6;6.9;6.7;7.7;7.1;6.6;6.3;High;18;1.864864864864865;1;0.0196078431372549;YES;0.22972972972972974;2021;https://drmkc.jrc.ec.europa.eu/inform-index/Portals/0/InfoRM/2021/INFORM_Risk_2021_v050.xlsx?ver=2021-09-02-170624-200
Malta;MLT;0.1;0.1;7.7;0;0;2.9;2.5;0;0;0;1.3;0.3;1.9;0.3;0.7;5.5;0.2;0.5;0;0.9;0.4;3.4;2.2;x;3.9;3.9;1.5;0;0.3;0.6;2.4;1.9;Very Low;157;5.128205128205129;14;0.27450980392156865;;0.26153846153846155;2021;https://drmkc.jrc.ec.europa.eu/inform-index/Portals/0/InfoRM/2021/INFORM_Risk_2021_v050.xlsx?ver=2021-09-02-170624-200
Marshall Islands;MHL;0.1;0.1;8.6;0.4;3.4;3.7;3.6;0;0;0;2;4;x;8.2;5.4;0;5.8;2.6;0;5;3.7;2;3.9;7.3;8.1;7.7;3.9;1.4;7.2;4.2;6.3;3.7;Medium;92;5.89247311827957;20;0.39215686274509803;;0.3548387096774194;2021;https://drmkc.jrc.ec.europa.eu/inform-index/Portals/0/InfoRM/2021/INFORM_Risk_2021_v050.xlsx?ver=2021-09-02-170624-200
Mauritania;MRT;0.8;7.5;4.6;0;9.2;5.8;5.6;3.5;0;2.5;4.2;8.3;5.1;2.5;6.1;6.6;1.3;5.1;2.3;2.8;3;5.1;5.6;4.8;6.9;5.9;6.5;7.2;7.8;7.2;6.6;5.4;High;29;1.9267605633802827;3;0.058823529411764705;;0.2112676056338028;2021;https://drmkc.jrc.ec.europa.eu/inform-index/Portals/0/InfoRM/2021/INFORM_Risk_2021_v050.xlsx?ver=2021-09-02-170624-200
Mauritius;MUS;0.1;0.1;6.8;7;0.7;3.7;3.7;0.1;0;0.1;2.1;2.1;3.9;0.6;2.2;0;1.2;1.2;0.6;1.7;1.2;0.6;1.4;3.3;4;3.7;2.2;0.2;2.9;1.8;2.8;2;Low;153;3.4821256038647332;9;0.17647058823529413;;0.2028985507246377;2021;https://drmkc.jrc.ec.europa.eu/inform-index/Portals/0/InfoRM/2021/INFORM_Risk_2021_v050.xlsx?ver=2021-09-02-170624-200
Mexico;MEX;8.6;7.2;6.6;7.7;3.3;4.9;6.7;10;9;9;8.1;4.1;4.8;0.4;3.4;6.6;0.6;1;0;1.7;0.8;4.3;3.9;5.1;6.2;5.7;2.5;3.1;3.2;2.9;4.4;5.2;High;34;2.666666666666666;4;0.0784313725490196;YES;0.2;2021;https://drmkc.jrc.ec.europa.eu/inform-index/Portals/0/InfoRM/2021/INFORM_Risk_2021_v050.xlsx?ver=2021-09-02-170624-200
Micronesia;FSM;0.1;0.1;8.6;3.8;5.4;2.9;4.2;0;0;0;2.3;5.7;3.8;7.3;5.6;0;4.5;2.4;4.4;5;4.1;2.3;4.1;6;5.3;5.7;5.8;3.4;5.2;4.8;5.3;3.7;Medium;92;5.523809523809524;19;0.37254901960784315;;0.2857142857142857;2021;https://drmkc.jrc.ec.europa.eu/inform-index/Portals/0/InfoRM/2021/INFORM_Risk_2021_v050.xlsx?ver=2021-09-02-170624-200
Moldova Republic of;MDA;6.3;5.6;0;0;5.6;4.6;4.1;2.3;0;1.6;2.9;2.9;1.6;2.5;2.5;1;1;0.9;0.1;3.8;1.6;1.3;1.9;6.2;6.4;6.3;2.1;1.6;2.9;2.2;4.6;2.9;Low;120;3.5981735159817365;5;0.09803921568627451;;0.4246575342465753;2021;https://drmkc.jrc.ec.europa.eu/inform-index/Portals/0/InfoRM/2021/INFORM_Risk_2021_v050.xlsx?ver=2021-09-02-170624-200
Mongolia;MNG;2.4;4.3;0;0;6.7;1.8;2.9;0.2;0;0.1;1.6;4.4;3.1;2.8;3.7;0;2.7;0.9;2.9;5.9;3.3;1.8;2.8;5.1;6;5.6;2.3;5.9;3.8;4;4.9;2.8;Low;123;2.222222222222223;5;0.09803921568627451;;0.16666666666666666;2021;https://drmkc.jrc.ec.europa.eu/inform-index/Portals/0/InfoRM/2021/INFORM_Risk_2021_v050.xlsx?ver=2021-09-02-170624-200
Montenegro;MNE;5.8;4.4;7.7;0;2.3;2.6;4.3;0.1;0;0.1;2.5;2.2;2.6;1.9;2.2;2;0.2;0.2;0;0.7;0.3;1.2;1.7;4;5.1;4.6;1;0.9;2.2;1.4;3.2;2.4;Low;135;3.847619047619048;7;0.13725490196078433;;0.37142857142857144;2021;https://drmkc.jrc.ec.europa.eu/inform-index/Portals/0/InfoRM/2021/INFORM_Risk_2021_v050.xlsx?ver=2021-09-02-170624-200
Morocco;MAR;4.8;5.8;6.7;0;5.8;3.5;4.7;4.4;0;3.1;3.9;6;5.1;1;4.5;2.8;0.5;1.2;0;0.6;0.6;1.8;3.3;5.6;5.7;5.7;3.1;3.7;4.4;3.7;4.8;4;Medium;79;2.162962962962962;2;0.0392156862745098;;0.3055555555555556;2021;https://drmkc.jrc.ec.europa.eu/inform-index/Portals/0/InfoRM/2021/INFORM_Risk_2021_v050.xlsx?ver=2021-09-02-170624-200
Mozambique;MOZ;3.8;6.3;6;5.2;6.4;6.6;5.8;8.8;7;7;6.4;9.4;7.5;3.6;7.5;6.5;9;4.6;3.4;8.3;7;6.8;7.2;2.1;7.1;4.6;7.7;8.8;6.9;7.8;6.5;6.7;Very High;10;2.7555555555555555;0;0;YES;0.41333333333333333;2021;https://drmkc.jrc.ec.europa.eu/inform-index/Portals/0/InfoRM/2021/INFORM_Risk_2021_v050.xlsx?ver=2021-09-02-170624-200
Myanmar;MMR;9.1;9.9;8.9;5.6;1;6.5;7.8;9.5;7;7;7.4;7.4;3.8;1.3;5;7.2;4;3.9;0.1;4.1;3.2;5.5;5.3;7.1;7.1;7.1;4.9;5.7;5.4;5.3;6.3;6.3;High;18;2.688888888888888;3;0.058823529411764705;YES;0.25333333333333335;2021;https://drmkc.jrc.ec.europa.eu/inform-index/Portals/0/InfoRM/2021/INFORM_Risk_2021_v050.xlsx?ver=2021-09-02-170624-200
Namibia;NAM;0.1;6.1;0;0;8.9;4.7;4.3;0.3;0;0.2;2.5;7;7.3;0.9;5.6;3.1;6.3;3;5.8;4.6;5.1;4.2;4.9;4.3;4.8;4.6;4.7;6.7;4.9;5.4;5;3.9;Medium;84;2.725925925925927;3;0.058823529411764705;;0.3611111111111111;2021;https://drmkc.jrc.ec.europa.eu/inform-index/Portals/0/InfoRM/2021/INFORM_Risk_2021_v050.xlsx?ver=2021-09-02-170624-200
Nauru;NRU;0.1;0.1;8.2;0;0;3.8;2.8;0;0;0;1.5;2.7;x;7.3;4.2;5.1;2;2.4;0;5;2.5;3.9;4.1;8.1;5.2;6.7;3.2;1.3;4.6;3;5.1;3.2;Low;105;5.011494252873564;25;0.49019607843137253;;0.1896551724137931;2021;https://drmkc.jrc.ec.europa.eu/inform-index/Portals/0/InfoRM/2021/INFORM_Risk_2021_v050.xlsx?ver=2021-09-02-170624-200
Nepal;NPL;9.9;6.7;0;0.2;3.2;6.6;5.8;7.8;0;5.5;5.7;7.3;4.1;4.3;5.8;3.6;2.1;4.3;0.2;2;2.3;3;4.5;5.4;6.7;6.1;4.1;5;5.8;5;5.6;5.2;High;34;2.313513513513513;3;0.058823529411764705;;0.28378378378378377;2021;https://drmkc.jrc.ec.europa.eu/inform-index/Portals/0/InfoRM/2021/INFORM_Risk_2021_v050.xlsx?ver=2021-09-02-170624-200
Netherlands;NLD;2.4;5.8;0;0;0.5;1.7;2;0;0;0;1;0;0.7;0.1;0.2;5.9;0.1;0.3;0;1.6;0.5;3.7;2.1;1.7;1.6;1.7;1.5;0.1;0.6;0.7;1.2;1.4;Very Low;176;3.7810945273631846;10;0.19607843137254902;;0.208955223880597;2021;https://drmkc.jrc.ec.europa.eu/inform-index/Portals/0/InfoRM/2021/INFORM_Risk_2021_v050.xlsx?ver=2021-09-02-170624-200
New Zealand;NZL;7;3.8;7;2.9;1.9;2.1;4.5;0;0;0;2.5;0;1.8;0.1;0.5;2.3;0.1;0.4;0.1;1.6;0.6;1.5;1;2.6;1.5;2.1;1.4;2;0.9;1.4;1.8;1.7;Very Low;168;4.16969696969697;12;0.23529411764705882;;0.18181818181818182;2021;https://drmkc.jrc.ec.europa.eu/inform-index/Portals/0/InfoRM/2021/INFORM_Risk_2021_v050.xlsx?ver=2021-09-02-170624-200
Nicaragua;NIC;9.5;5.1;8.1;3.6;4.1;5.9;6.6;5.1;0;3.6;5.3;6;5.7;2.4;5;0.9;1;1.2;1.9;4.5;2.3;1.6;3.5;4.7;7.2;6;4.1;5;4.4;4.5;5.3;4.6;Medium;60;3.5999999999999996;6;0.11764705882352941;;0.375;2021;https://drmkc.jrc.ec.europa.eu/inform-index/Portals/0/InfoRM/2021/INFORM_Risk_2021_v050.xlsx?ver=2021-09-02-170624-200
Niger;NER;0.1;7.4;0;0;7;7;4.5;9.8;9;9;7.4;10;5.5;3.7;7.3;7.8;4.4;7.4;0.6;3.6;4.5;6.4;6.9;5.3;6.7;6;9;9.7;7.7;8.8;7.7;7.3;Very High;7;4.090090090090089;2;0.0392156862745098;YES;0.5135135135135135;2021;https://drmkc.jrc.ec.europa.eu/inform-index/Portals/0/InfoRM/2021/INFORM_Risk_2021_v050.xlsx?ver=2021-09-02-170624-200
Nigeria;NGA;0.1;8;0;0;1;8;4;10;9;9;7.2;8.2;4.5;1;5.5;8;5.5;7;0.3;3.5;4.5;6.6;6.1;2.8;7.2;5;5.7;7.2;8.9;7.3;6.3;6.5;Very High;14;2.858447488584474;2;0.0392156862745098;YES;0.3287671232876712;2021;https://drmkc.jrc.ec.europa.eu/inform-index/Portals/0/InfoRM/2021/INFORM_Risk_2021_v050.xlsx?ver=2021-09-02-170624-200
North Macedonia;MKD;7;4.2;0;0;4;4.9;3.8;0.7;0;0.5;2.3;3.2;2.1;0.9;2.4;1.2;0.1;0.6;0;2;0.7;1;1.7;3.8;5.7;4.8;2;2;2.7;2.2;3.6;2.4;Low;135;3.9699530516431922;7;0.13725490196078433;;0.39436619718309857;2021;https://drmkc.jrc.ec.europa.eu/inform-index/Portals/0/InfoRM/2021/INFORM_Risk_2021_v050.xlsx?ver=2021-09-02-170624-200
Norway;NOR;0.8;0.1;0;0;1.9;1;0.7;0;0;0;0.4;0;0.6;0.1;0.2;5.8;0.1;0.2;0;1.2;0.4;3.6;2.1;2.3;1.4;1.9;1.7;1.9;0.2;1.3;1.6;1.1;Very Low;186;3.686274509803922;10;0.19607843137254902;;0.19117647058823528;2021;https://drmkc.jrc.ec.europa.eu/inform-index/Portals/0/InfoRM/2021/INFORM_Risk_2021_v050.xlsx?ver=2021-09-02-170624-200
