country_col_not_used;ISO3;Earthquake;Flood;Tsunami;Tropical Cyclone;Drought;Epidemic;Natural;Projected Conflict Risk;Current Highly Violent Conflict Intensity;Human;HAZARD & EXPOSURE;Development & Deprivation;Inequality;Economic Dependency;Socio-Economic Vulnerability;Uprooted people;Health Conditions;Children U5;Recent Shocks;Food Security;Other Vulnerable Groups;Vulnerable Groups;VULNERABILITY;DRR;Governance;Institutional;Communication;Physical infrastructure;Access to health care;Infrastructure;LACK OF COPING CAPACITY;RAW_OBS_VALUE;RISK CLASS;Rank;Lack of Reliability (*);Number of Missing Indicators;% of Missing Indicators;Countries in HVC;Recentness data (average years);TIME_PERIOD;ATTR_ENDPOINT
United Arab Emirates;ARE;0.1;3.8;7;1.8;5;5.5;4.2;0.1;0;0.1;2.4;0.7;1.7;0;0.8;3.1;0;0.6;0;1.7;0.6;1.9;1.4;2.1;2.5;2.3;0.1;2;1.5;1.2;1.8;1.8;Very Low;161;4.123076923076923;13;0.2549019607843137;;0.12307692307692308;2021;https://drmkc.jrc.ec.europa.eu/inform-index/Portals/0/InfoRM/2021/INFORM_Risk_2021_v050.xlsx?ver=2021-09-02-170624-200
United Kingdom;GBR;0.6;4.8;4.9;0;1;1.5;2.4;5.4;0;3.8;3.1;0;2;0;0.5;5.9;0.2;0.3;0;0.9;0.4;3.6;2.2;2.1;2.3;2.2;1.6;0;1.1;0.9;1.6;2.2;Low;147;4.127363184079602;11;0.21568627450980393;;0.22388059701492538;2021;https://drmkc.jrc.ec.europa.eu/inform-index/Portals/0/InfoRM/2021/INFORM_Risk_2021_v050.xlsx?ver=2021-09-02-170624-200
United States of America;USA;7.9;6.4;7.9;7.6;4.4;4;6.6;8.4;0;5.9;6.3;0;3.3;0;0.8;7.2;0.3;0.3;0.1;0.2;0.2;4.6;2.9;3;2.5;2.8;1.6;1;1.2;1.3;2.1;3.4;Low;102;4.737254901960784;11;0.21568627450980393;;0.3382352941176471;2021;https://drmkc.jrc.ec.europa.eu/inform-index/Portals/0/InfoRM/2021/INFORM_Risk_2021_v050.xlsx?ver=2021-09-02-170624-200
Uruguay;URY;0.3;3.9;0;0;2;3;1.7;0;0;0;0.9;1.8;3.7;0.1;1.9;4.2;0.7;0.8;0.3;1.3;0.8;2.7;2.3;4;3.4;3.7;1.4;2.4;1.1;1.6;2.7;1.8;Very Low;161;3.7333333333333325;8;0.1568627450980392;;0.3;2021;https://drmkc.jrc.ec.europa.eu/inform-index/Portals/0/InfoRM/2021/INFORM_Risk_2021_v050.xlsx?ver=2021-09-02-170624-200
Uzbekistan;UZB;8.1;6.3;0;0;6.6;6;5.2;2.8;0;2;3.8;3.8;4;2;3.4;0;0.5;1.1;0.2;1.6;0.9;0.5;2.1;2.6;6.8;4.7;2.8;2.9;3.3;3;3.9;3.1;Low;108;2.780952380952381;7;0.13725490196078433;;0.17142857142857143;2021;https://drmkc.jrc.ec.europa.eu/inform-index/Portals/0/InfoRM/2021/INFORM_Risk_2021_v050.xlsx?ver=2021-09-02-170624-200
Vanuatu;VUT;7.7;0.1;8.5;4.5;5;4.4;5.6;0;0;0;3.3;6.1;3.1;6.7;5.5;0;3.6;2.3;0.6;2.8;2.4;1.3;3.7;5.4;5.7;5.6;4.9;6.1;5.7;5.6;5.6;4.1;Medium;76;5.269651741293532;12;0.23529411764705882;;0.3880597014925373;2021;https://drmkc.jrc.ec.europa.eu/inform-index/Portals/0/InfoRM/2021/INFORM_Risk_2021_v050.xlsx?ver=2021-09-02-170624-200
Venezuela;VEN;9.2;5.6;6.8;4.6;2.1;5.4;6.1;4.4;0;3.1;4.8;3.5;5.8;0.2;3.3;5;1.5;1.3;0;8.4;3.8;4.4;3.9;2.5;8.3;5.4;2.5;3.6;6.7;4.3;4.9;4.5;Medium;65;5.443137254901961;11;0.21568627450980393;;0.47058823529411764;2021;https://drmkc.jrc.ec.europa.eu/inform-index/Portals/0/InfoRM/2021/INFORM_Risk_2021_v050.xlsx?ver=2021-09-02-170624-200
Viet Nam;VNM;4.1;10;7.4;7.9;4.3;6.8;7.4;3.2;0;2.2;5.4;4.5;3.5;1.1;3.4;0;1.1;2.3;0.5;1.8;1.4;0.7;2.2;4.2;5.7;5;1.7;3.5;5.1;3.4;4.2;3.7;Medium;92;2.600913242009132;4;0.0784313725490196;;0.2876712328767123;2021;https://drmkc.jrc.ec.europa.eu/inform-index/Portals/0/InfoRM/2021/INFORM_Risk_2021_v050.xlsx?ver=2021-09-02-170624-200
Yemen;YEM;2.1;4.8;5.5;0;4.7;6.9;4.3;10;10;10;8.4;8.8;6.5;5.1;7.3;10;1.7;6.6;1.6;8.6;5.5;8.6;8;8.5;9;8.8;6.2;7.2;6.9;6.8;8;8.1;Very High;2;5.09009009009009;5;0.09803921568627451;YES;0.5135135135135135;2021;https://drmkc.jrc.ec.europa.eu/inform-index/Portals/0/InfoRM/2021/INFORM_Risk_2021_v050.xlsx?ver=2021-09-02-170624-200
Zambia;ZMB;2.8;5.5;0;0;4.2;6.4;3.5;1.5;0;1.1;2.4;7.7;7.6;1.4;6.1;5.3;6.9;3.5;0;7.7;5.2;5.3;5.7;3.5;6.4;5;5.8;8.6;6.2;6.9;6;4.3;Medium;69;1.5639639639639622;1;0.0196078431372549;;0.24324324324324326;2021;https://drmkc.jrc.ec.europa.eu/inform-index/Portals/0/InfoRM/2021/INFORM_Risk_2021_v050.xlsx?ver=2021-09-02-170624-200
Zimbabwe;ZWE;2.2;6;0;0.4;9;4.8;4.7;4.1;0;2.9;3.9;7.2;5.9;2.1;5.6;4.1;5.8;2.9;10;8.1;7.6;6.1;5.9;2.6;7.5;5.1;5.3;7.7;6.7;6.6;5.9;5.1;High;41;1.3477477477477464;1;0.0196078431372549;;0.20270270270270271;2021;https://drmkc.jrc.ec.europa.eu/inform-index/Portals/0/InfoRM/2021/INFORM_Risk_2021_v050.xlsx?ver=2021-09-02-170624-200
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2021;https://drmkc.jrc.ec.europa.eu/inform-index/Portals/0/InfoRM/2021/INFORM_Risk_2021_v050.xlsx?ver=2021-09-02-170624-200
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2021;https://drmkc.jrc.ec.europa.eu/inform-index/Portals/0/InfoRM/2021/INFORM_Risk_2021_v050.xlsx?ver=2021-09-02-170624-200
(*) Reliability Index: 0 more reliable, 10 less reliable.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2021;https://drmkc.jrc.ec.europa.eu/inform-index/Portals/0/InfoRM/2021/INFORM_Risk_2021_v050.xlsx?ver=2021-09-02-170624-200
