;country;iso2;iso3;region;wb_econ;anyprotect_dis;anyprotect_relig;anyprotect_race;anyprotect_politic;anyprotect_class;anyprotect_age;anyprotect_marital;anyprotect_parent;anyprotect_mig;anyprotect_fno;anyprotect_preg;anyprotect_sexor;anyprotect_genid;hir_dis;hir_relig;hir_race;hir_politic;hir_class;hir_age;hir_marital;hir_mig;hir_fno;hir_preg;hir_parent;hir_sexor;hir_genid;promdemo_dis;promdemo_relig;promdemo_race;promdemo_politic;promdemo_class;promdemo_age;promdemo_marital;promdemo_mig;promdemo_fno;promdemo_preg;promdemo_parent;promdemo_sexor;promdemo_genid;train_dis;train_relig;train_race;train_class;train_age;train_marital;train_preg;train_parent;train_sexor;train_genid;pay_dis;pay_relig;pay_race;pay_politic;pay_class;pay_age;pay_marital;pay_mig;pay_fno;pay_preg;pay_parent;pay_sexor;pay_genid;harass_dis;harass_relig;harass_race;harass_politic;harass_class;harass_age;harass_marital;harass_mig;harass_fno;term_gender;term_dis;term_relig;term_race;term_politic;term_class;term_age;term_marital;term_mig;term_fno;term_preg;term_parent;term_sexor;term_genid;indir_dis;indir_marital;indir_preg;indir_parent;indir_sexor;indir_genid;ret_dis;ret_relig;ret_race;ret_politic;ret_class;ret_age;ret_marital;ret_mig;ret_fno;ret_sexor;ret_genid;TIME_PERIOD
49;Dominican Republic;DO;DOM;Latin America & Caribbean;3;5;5;5;5;5;5;1;5;1;5;5;1;1;5;5;5;5;4;5;1;1;5;1;5;1;1;5;5;5;5;4;5;1;1;5;1;5;1;1;4;4;4;4;4;1;1;1;1;1;4;4;4;4;4;4;2;2;4;2;1;2;2;3;3;3;3;3;3;1;1;3;5;5;5;5;5;4;5;1;1;5;5;5;1;1;1;1;1;1;1;1;2.0;2.0;2.0;2.0;2.0;2.0;1.0;1.0;2.0;1.0;1;2020.0
50;Ecuador;EC;ECU;Latin America & Caribbean;3;5;5;5;5;5;5;1;5;1;1;5;5;1;5;1;1;1;1;1;1;1;1;1;1;1;1;4;1;1;1;1;1;1;1;1;1;1;1;1;5;1;1;1;1;1;1;1;1;1;4;4;4;4;4;4;2;2;2;2;1;4;2;3;1;1;1;1;1;1;1;1;5;5;2;2;2;2;5;2;2;2;5;4;5;2;1;1;1;1;1;1;2.0;2.0;2.0;2.0;2.0;2.0;1.0;1.0;1.0;2.0;1;2020.0
51;Egypt;EG;EGY;Middle East & North Africa;2;5;5;5;5;5;1;1;5;1;1;5;1;1;4;1;1;1;1;1;1;1;1;1;1;1;1;4;1;1;1;1;1;1;1;1;1;1;1;1;4;1;1;1;1;1;1;1;1;1;3;4;1;1;1;1;1;1;1;1;1;1;1;3;1;1;1;1;1;1;1;1;5;4;5;5;5;5;1;1;1;1;5;5;1;1;1;1;1;1;1;1;2.0;5.0;5.0;5.0;5.0;1.0;1.0;1.0;1.0;1.0;1;2020.0
52;El Salvador;SV;SLV;Latin America & Caribbean;2;5;5;5;5;5;5;5;1;5;5;5;1;1;1;4;4;4;4;5;4;1;4;4;1;1;1;1;4;4;4;4;1;4;1;4;4;1;1;1;1;4;4;4;1;4;4;1;1;1;1;4;4;4;3;4;3;4;3;3;1;1;1;2;5;5;5;5;2;4;2;5;4;5;4;4;4;4;1;4;1;4;5;1;1;1;1;1;1;1;1;1;2.0;2.0;2.0;2.0;2.0;2.0;2.0;5.0;2.0;1.0;1;2020.0
53;Equatorial Guinea;GQ;GNQ;Sub-Saharan Africa;3;1;5;5;5;5;1;1;1;1;5;5;1;1;1;5;5;5;5;1;1;1;5;1;1;1;1;1;4;4;4;4;1;1;1;4;1;1;1;1;1;5;5;5;1;1;1;1;1;1;2;5;5;5;5;2;2;2;5;2;1;2;2;1;3;3;3;3;1;1;1;3;4;1;4;4;4;4;1;1;1;4;5;1;1;1;1;1;1;1;1;1;1.0;5.0;5.0;5.0;5.0;1.0;1.0;1.0;5.0;1.0;1;2020.0
54;Eritrea;ER;ERI;Sub-Saharan Africa;1;1;5;5;5;5;1;5;5;5;1;5;1;1;1;4;4;4;4;1;1;4;1;1;1;1;1;1;4;4;4;4;1;1;4;1;1;1;1;1;1;4;4;4;1;1;1;1;1;1;2;4;4;4;4;2;2;4;2;2;1;2;2;1;3;3;3;3;1;1;3;1;5;1;5;5;5;5;1;5;5;1;5;5;1;1;1;1;1;1;1;1;1.0;5.0;5.0;5.0;5.0;1.0;5.0;5.0;1.0;1.0;1;2020.0
55;Estonia;EE;EST;Europe & Central Asia;4;5;5;5;1;5;5;1;5;5;1;5;5;1;5;5;5;1;4;5;1;5;1;5;5;5;1;5;5;5;1;4;5;1;5;1;5;5;5;1;5;5;5;4;5;1;5;5;5;1;4;4;4;1;3;4;1;4;1;5;5;4;1;5;5;5;1;5;5;1;5;1;5;5;5;5;1;4;5;1;5;1;5;5;5;1;5;1;1;5;5;1;5.0;5.0;5.0;1.0;5.0;5.0;1.0;5.0;1.0;5.0;1;2020.0
56;Ethiopia;ET;ETH;Sub-Saharan Africa;1;5;5;5;5;5;1;5;5;5;1;5;1;1;5;4;1;4;1;1;1;4;1;1;1;1;1;5;4;1;4;1;1;1;4;1;1;1;1;1;5;4;1;1;1;1;1;1;1;1;3;3;1;3;1;1;1;3;1;1;1;1;1;3;3;1;3;1;1;1;3;1;5;4;5;5;5;5;1;5;5;1;5;5;1;1;1;1;1;1;1;1;2.0;5.0;5.0;5.0;5.0;1.0;5.0;5.0;1.0;1.0;1;2020.0
57;Fiji;FJ;FJI;East Asia & Pacific;3;5;5;5;5;5;5;5;5;1;5;5;5;5;5;5;5;5;5;5;5;1;5;5;5;5;5;5;5;5;5;5;5;5;1;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;4;5;1;5;5;5;5;4;5;5;5;3;5;5;3;1;5;5;5;5;5;5;5;5;5;1;5;5;5;5;5;5;5;5;5;5;1;5.0;5.0;5.0;5.0;5.0;5.0;5.0;1.0;5.0;5.0;2;2020.0
58;Finland;FI;FIN;Europe & Central Asia;4;5;5;5;5;5;5;1;5;5;5;5;5;5;5;5;5;5;5;5;2;5;5;5;5;5;5;4;4;4;4;4;4;1;4;4;5;5;4;5;5;5;5;5;5;2;5;5;5;5;3;3;3;3;3;3;1;3;3;5;5;3;5;5;5;5;5;4;5;2;5;4;5;4;5;4;5;4;4;1;4;4;5;5;4;5;5;2;2;5;5;5;5.0;5.0;5.0;5.0;2.0;5.0;1.0;5.0;5.0;5.0;5;2020.0
59;France;FR;FRA;Europe & Central Asia;4;5;5;5;5;5;5;1;5;1;5;5;5;5;5;5;5;5;5;5;1;1;5;5;5;5;5;5;5;5;5;5;5;1;1;5;5;5;5;5;5;5;5;5;5;1;5;5;5;5;4;4;4;4;4;4;1;1;4;4;5;4;4;5;5;5;5;5;5;2;2;5;5;5;5;5;5;5;5;1;1;5;5;5;5;5;5;1;5;5;5;5;5.0;5.0;5.0;5.0;5.0;5.0;1.0;1.0;5.0;5.0;5;2020.0
60;Gabon;GA;GAB;Sub-Saharan Africa;3;5;5;5;5;5;5;1;1;5;5;5;1;1;5;4;4;4;4;1;1;4;4;1;1;1;1;5;4;4;4;4;1;1;4;4;1;1;1;1;4;4;4;4;1;1;1;1;1;1;3;3;3;3;3;4;1;3;3;1;1;1;1;3;3;3;3;3;1;1;3;3;4;5;4;4;4;4;1;1;4;4;5;1;1;1;1;1;1;1;1;1;5.0;5.0;5.0;5.0;5.0;5.0;1.0;1.0;5.0;1.0;1;2020.0
61;The Gambia;GM;GMB;Sub-Saharan Africa;1;1;5;5;5;5;1;1;5;1;5;5;1;1;1;1;1;1;1;1;1;1;1;1;4;1;1;1;5;5;5;5;1;1;1;5;5;4;1;1;1;1;1;1;1;1;1;2;1;1;1;1;1;1;1;1;1;1;1;1;4;1;1;1;1;1;1;1;1;1;1;1;5;1;5;5;5;5;1;1;1;5;5;4;1;1;1;1;1;1;1;1;1.0;5.0;5.0;5.0;5.0;1.0;1.0;1.0;5.0;1.0;1;2020.0
62;Georgia;GE;GEO;Europe & Central Asia;3;5;5;5;5;5;5;5;1;5;5;1;5;5;5;5;5;5;5;5;5;5;5;2;1;5;5;5;5;5;5;5;5;5;5;5;2;1;5;5;5;5;5;5;5;5;2;1;5;5;4;4;4;4;4;4;4;4;4;2;1;4;4;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;2;1;5;5;5;5;2;2;5;5;5.0;5.0;5.0;5.0;5.0;5.0;5.0;5.0;;5.0;5;2020.0
63;Germany;DE;DEU;Europe & Central Asia;4;5;5;5;5;1;5;1;5;5;1;5;5;1;5;5;5;4;1;5;1;4;1;5;4;5;1;5;5;5;4;1;5;1;4;1;5;4;5;1;5;5;5;1;5;1;5;4;5;1;4;4;4;3;1;4;1;3;1;4;4;4;1;5;5;5;3;1;5;1;3;1;5;5;5;5;4;1;5;1;4;1;5;4;5;1;5;1;5;3;5;1;5.0;5.0;5.0;5.0;1.0;5.0;1.0;5.0;1.0;5.0;1;2020.0
64;Ghana;GH;GHA;Sub-Saharan Africa;2;5;5;5;5;5;1;1;1;1;1;5;1;1;5;5;5;5;5;1;1;1;1;1;1;1;1;4;4;4;4;4;1;1;1;1;1;1;1;1;4;4;4;4;1;1;1;1;1;1;4;4;4;4;4;2;2;2;2;2;1;2;2;3;3;3;3;3;1;1;1;1;5;5;5;5;5;5;1;1;1;1;5;1;1;1;1;1;1;1;1;1;5.0;5.0;5.0;5.0;5.0;1.0;1.0;1.0;1.0;1.0;1;2020.0
65;Greece;GR;GRC;Europe & Central Asia;4;5;5;5;1;1;5;1;5;1;1;5;5;1;5;5;5;1;1;5;1;1;1;5;5;5;1;4;4;4;1;1;4;1;1;1;1;5;4;1;5;5;5;1;5;1;1;5;5;1;4;4;4;1;1;4;1;1;1;1;5;4;1;5;5;5;1;1;5;1;1;1;5;5;5;5;1;1;5;1;1;1;5;5;5;1;5;1;1;5;5;1;5.0;5.0;5.0;1.0;1.0;5.0;1.0;1.0;1.0;5.0;1;2020.0
66;Grenada;GD;GRD;Latin America & Caribbean;3;5;5;5;5;5;5;5;5;1;5;5;1;1;5;5;5;5;5;5;5;1;5;1;5;1;1;5;5;5;5;5;5;5;1;5;5;5;1;1;5;5;5;5;5;5;1;5;1;1;3;3;3;3;3;3;3;1;3;1;3;1;1;3;3;3;3;3;3;3;1;3;5;5;5;5;5;5;5;5;1;5;5;5;1;1;1;1;1;1;1;1;5.0;5.0;5.0;5.0;5.0;5.0;5.0;1.0;5.0;1.0;1;2020.0
67;Guatemala;GT;GTM;Latin America & Caribbean;2;5;5;5;5;5;1;1;5;1;1;5;1;1;5;5;5;5;5;2;2;2;2;2;4;2;2;4;4;4;4;4;1;1;1;1;1;2;1;1;5;4;4;4;1;1;1;2;1;1;3;3;3;3;3;1;1;1;1;1;2;1;1;3;3;3;3;3;1;1;1;1;1;4;4;4;4;4;1;1;1;1;5;2;1;1;1;1;1;1;1;1;2.0;5.0;5.0;5.0;5.0;1.0;1.0;1.0;1.0;1.0;1;2020.0
68;Guinea;GN;GIN;Sub-Saharan Africa;1;5;5;5;5;5;5;1;1;1;5;5;1;1;5;5;5;5;5;5;1;1;5;5;1;1;1;5;5;5;5;5;5;1;1;5;5;1;1;1;5;5;5;5;5;1;5;1;1;1;4;4;4;4;4;5;1;1;4;1;1;1;1;5;2;2;2;2;5;2;2;2;5;5;5;5;5;5;5;1;1;5;5;1;1;1;1;1;1;1;1;1;2.0;2.0;2.0;2.0;2.0;2.0;1.0;1.0;2.0;1.0;1;2020.0
69;Guinea-Bissau;GW;GNB;Sub-Saharan Africa;1;1;5;5;5;1;5;1;5;5;1;1;1;1;1;4;4;4;1;4;1;4;1;1;2;1;1;1;4;4;4;1;4;1;4;1;1;2;1;1;1;4;4;1;4;1;1;4;1;1;1;3;3;3;1;3;1;3;1;1;4;1;1;1;3;3;3;1;3;1;3;1;4;1;4;4;4;1;4;1;4;1;1;2;1;1;1;1;1;3;1;1;1.0;2.0;2.0;2.0;1.0;2.0;1.0;2.0;1.0;1.0;1;2020.0
70;Guyana;GY;GUY;Latin America & Caribbean;3;5;5;5;5;5;5;5;5;1;5;5;1;1;5;5;5;5;5;5;5;1;5;5;5;1;1;5;5;5;5;5;5;5;1;5;5;5;1;1;5;5;5;5;5;5;5;5;1;1;4;3;3;3;3;3;3;1;3;3;3;1;1;3;3;3;3;3;3;3;1;3;5;5;5;5;5;5;5;5;1;5;5;5;1;1;5;5;5;5;1;1;5.0;5.0;5.0;5.0;5.0;5.0;5.0;1.0;5.0;1.0;1;2020.0
71;Haiti;HT;HTI;Latin America & Caribbean;1;5;5;5;5;1;1;1;1;1;1;5;1;1;5;1;1;1;1;1;1;1;1;1;1;1;1;4;1;1;1;1;1;1;1;1;1;1;1;1;4;1;1;1;1;1;1;1;1;1;3;1;1;1;1;1;1;1;1;1;1;1;1;3;1;1;1;1;1;1;1;1;5;4;5;5;5;1;1;1;1;1;5;1;1;1;1;1;1;1;1;1;2.0;2.0;2.0;2.0;1.0;1.0;1.0;1.0;1.0;1.0;1;2020.0
72;Honduras;HN;HND;Latin America & Caribbean;2;5;5;5;5;1;5;1;1;5;1;5;1;1;5;1;1;1;1;4;1;1;1;4;1;1;1;1;1;1;1;1;4;1;1;1;4;1;1;1;1;1;1;1;5;1;4;1;1;1;2;4;4;4;2;4;2;4;2;4;1;2;2;1;1;1;1;1;3;1;1;1;5;1;1;1;1;1;4;1;1;1;5;1;1;1;1;1;1;1;1;1;2.0;5.0;5.0;5.0;1.0;5.0;1.0;5.0;1.0;1.0;1;2020.0
73;Hungary;HU;HUN;Europe & Central Asia;4;5;5;5;5;5;5;1;5;5;5;5;5;5;5;5;5;5;5;5;2;5;5;5;5;5;5;5;5;5;5;5;5;2;5;5;5;5;5;5;5;5;5;5;5;2;5;5;5;5;4;4;4;4;4;4;2;4;4;4;5;4;4;5;5;5;5;5;5;2;5;5;5;5;5;5;5;5;5;2;5;5;5;5;5;5;5;2;5;5;5;5;5.0;5.0;5.0;5.0;5.0;5.0;1.0;5.0;5.0;5.0;5;2020.0
74;Iceland;IS;ISL;Europe & Central Asia;4;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;5;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1;2020.0
75;India;IN;IND;South Asia;2;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1;2020.0
76;Indonesia;ID;IDN;East Asia & Pacific;2;5;5;5;5;1;1;5;1;1;1;1;1;1;5;5;5;5;1;1;1;1;1;1;1;1;1;4;4;4;4;1;1;1;1;1;1;1;1;1;4;4;4;1;1;1;1;1;1;1;4;3;3;3;1;1;1;1;1;1;1;1;1;3;3;3;3;1;1;1;1;1;5;5;5;5;5;1;1;5;1;1;1;1;1;1;1;1;1;1;1;1;2.0;2.0;2.0;2.0;1.0;1.0;2.0;1.0;1.0;1.0;1;2020.0
77;Iran;IR;IRN;Middle East & North Africa;3;1;5;5;5;1;5;1;1;5;1;1;1;1;1;1;4;1;1;1;1;1;1;1;1;1;1;1;1;4;1;1;1;1;1;1;1;1;1;1;1;1;4;1;1;1;1;1;1;1;1;4;4;4;1;4;1;4;1;1;1;1;1;1;1;3;1;1;1;1;1;1;4;1;1;4;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1.0;2.0;2.0;2.0;1.0;2.0;1.0;2.0;1.0;1.0;1;2020.0
78;Iraq;IQ;IRQ;Middle East & North Africa;3;1;5;5;5;5;5;1;1;5;1;1;1;1;2;5;5;5;2;2;2;5;2;2;1;2;2;2;5;5;5;2;2;2;5;2;2;1;2;2;2;5;5;2;2;2;2;1;2;2;2;4;4;4;2;2;2;4;2;2;1;2;2;2;5;5;5;2;2;2;5;2;5;1;5;5;5;5;5;1;5;1;1;1;1;1;1;1;1;1;1;1;1.0;2.0;2.0;2.0;2.0;2.0;1.0;2.0;1.0;1.0;1;2020.0
79;Ireland;IE;IRL;Europe & Central Asia;4;5;5;5;5;1;5;5;5;5;5;5;5;1;5;5;5;1;1;5;5;5;5;5;5;5;1;5;5;5;1;1;5;5;5;5;5;5;5;1;5;5;5;1;5;5;5;5;5;1;5;5;5;1;1;5;5;5;5;5;5;5;1;5;5;5;1;1;5;5;5;5;5;5;5;5;5;1;5;5;5;5;5;5;5;1;5;5;5;5;5;1;5.0;5.0;5.0;;1.0;5.0;5.0;5.0;5.0;5.0;1;2020.0
80;Israel;IL;ISR;Middle East & North Africa;4;5;5;5;5;1;5;5;5;5;5;5;5;1;5;5;5;5;1;5;5;5;5;5;5;5;1;5;5;5;5;1;5;5;5;5;5;5;5;1;5;5;5;1;5;5;5;5;5;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;5;5;5;5;5;1;5;5;5;5;5;5;5;1;1;1;1;1;1;1;5.0;5.0;5.0;5.0;1.0;5.0;5.0;5.0;5.0;5.0;1;2020.0
81;Italy;IT;ITA;Europe & Central Asia;4;5;5;5;5;1;5;5;5;5;1;5;5;1;5;5;5;5;2;5;5;5;2;5;5;5;2;5;5;5;5;1;5;5;4;1;5;5;5;1;5;5;5;1;5;5;5;5;5;1;4;4;4;4;2;4;5;3;2;5;5;4;2;5;5;5;3;1;5;5;3;1;5;5;5;5;5;1;5;5;4;1;5;5;5;1;5;1;1;1;5;1;5.0;5.0;5.0;2.0;1.0;5.0;5.0;2.0;1.0;5.0;1;2020.0
82;Jamaica;JM;JAM;Latin America & Caribbean;3;5;1;1;1;1;1;1;1;1;1;1;1;1;4;1;1;1;1;1;1;1;1;1;1;1;1;5;1;1;1;1;1;1;1;1;1;1;1;1;5;1;1;1;1;1;1;1;1;1;3;1;1;1;1;1;1;1;1;1;1;1;1;3;1;1;1;1;1;1;1;1;1;5;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;2.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1;2020.0
83;Japan;JP;JPN;East Asia & Pacific;4;5;5;1;1;5;5;1;1;5;1;5;1;1;5;1;1;1;1;5;1;1;1;1;1;1;1;4;1;1;1;1;1;1;1;1;1;1;1;1;5;1;1;1;1;1;1;1;1;1;4;4;1;1;4;1;1;4;1;1;1;1;1;3;1;1;1;1;1;1;1;1;5;4;1;1;1;1;1;1;1;1;5;1;1;1;1;1;1;1;1;1;2.0;5.0;1.0;1.0;5.0;2.0;1.0;5.0;1.0;1.0;1;2020.0
84;Jordan;JO;JOR;Middle East & North Africa;3;5;1;1;1;1;1;1;1;1;1;1;1;1;5;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;2.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1;2020.0
85;Kazakhstan;KZ;KAZ;Europe & Central Asia;3;5;5;5;1;5;5;1;1;5;1;5;1;1;5;5;5;2;5;5;2;5;2;5;1;2;2;5;4;4;1;4;4;1;4;1;1;1;1;1;4;4;4;4;4;1;1;1;1;1;4;4;4;2;4;4;2;4;2;2;1;2;2;3;3;3;1;3;3;1;3;1;4;5;4;4;1;4;4;1;4;1;5;1;1;1;1;1;1;1;1;1;2.0;2.0;2.0;1.0;2.0;2.0;1.0;2.0;1.0;1.0;1;2020.0
86;Kenya;KE;KEN;Sub-Saharan Africa;2;5;5;5;5;5;1;5;1;5;5;5;1;1;5;5;5;5;5;1;1;5;5;5;1;1;1;5;5;5;5;5;1;1;5;5;5;1;1;1;5;5;5;5;1;1;5;1;1;1;5;5;5;5;5;2;2;5;5;5;1;2;2;5;5;5;5;5;1;1;5;5;5;5;5;5;5;5;1;5;5;5;5;1;1;1;5;1;5;1;1;1;5.0;5.0;5.0;5.0;5.0;1.0;5.0;5.0;5.0;1.0;1;2020.0
87;Kiribati;KI;KIR;East Asia & Pacific;2;5;5;5;5;5;5;5;5;1;5;5;5;1;5;5;5;5;5;5;5;1;5;5;5;5;1;5;5;5;5;5;5;5;1;5;5;5;5;1;5;5;5;5;5;5;5;5;5;1;3;3;3;3;3;3;5;1;3;5;5;5;1;3;3;3;3;3;3;3;1;3;5;5;5;5;5;5;5;5;1;5;5;5;5;1;5;5;5;5;5;1;5.0;5.0;5.0;5.0;5.0;5.0;5.0;1.0;5.0;5.0;1;2020.0
88;Democratic People's Republic of Korea;KP;PRK;East Asia & Pacific;1;1;1;5;1;1;5;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;4;1;1;4;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1.0;1.0;2.0;1.0;1.0;2.0;1.0;1.0;1.0;1.0;1;2020.0
89;Republic of Korea;KR;KOR;East Asia & Pacific;4;5;5;1;1;5;5;5;1;5;5;5;1;1;5;5;1;1;5;5;5;4;5;5;1;1;1;5;4;1;1;4;5;4;4;4;5;1;1;1;5;5;1;5;5;5;5;1;1;1;4;3;1;1;3;4;3;3;3;5;1;1;1;5;3;1;1;3;3;3;3;3;5;5;4;1;1;4;5;4;4;4;5;1;1;1;1;1;1;1;1;1;2.0;5.0;1.0;1.0;5.0;5.0;2.0;5.0;2.0;1.0;1;2020.0
90;Kuwait;KW;KWT;Middle East & North Africa;4;1;5;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;5;1;1;1;1;1;1;1;1;5;1;5;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;2.0;2.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1;2020.0
91;Kyrgyzstan;KG;KGZ;Europe & Central Asia;2;5;5;5;5;5;5;5;5;5;1;5;1;1;1;4;4;4;4;4;5;4;1;5;5;1;1;1;4;4;4;4;4;5;4;1;5;5;1;1;1;4;4;4;4;4;4;2;1;1;4;4;4;4;4;4;4;4;2;4;5;2;2;1;3;3;3;3;3;5;3;1;5;5;4;4;4;4;4;5;4;1;5;5;1;1;1;1;1;1;1;1;2.0;2.0;2.0;2.0;2.0;2.0;5.0;2.0;1.0;1.0;1;2020.0
92;Laos;LA;LAO;East Asia & Pacific;2;5;1;1;1;1;1;5;1;5;1;5;1;1;5;1;1;1;1;1;5;1;1;1;1;1;1;5;1;1;1;1;1;1;1;1;5;1;1;1;5;1;1;1;1;1;1;1;1;1;4;1;1;1;1;1;1;4;1;1;1;1;1;5;1;1;1;1;1;1;1;1;5;4;1;1;1;1;1;5;1;1;5;1;1;1;2;2;2;2;2;2;2.0;1.0;1.0;1.0;1.0;1.0;5.0;5.0;1.0;1.0;1;2020.0
93;Latvia;LV;LVA;Europe & Central Asia;4;5;5;5;5;5;5;1;5;1;5;5;5;1;5;5;5;5;5;5;2;2;5;2;5;5;2;5;5;5;5;5;5;2;2;5;2;5;5;2;5;5;5;5;5;2;2;5;5;2;5;5;5;5;5;5;2;2;5;2;5;5;2;5;5;5;5;5;5;2;2;5;5;5;5;5;5;5;5;2;2;5;5;5;5;2;5;2;2;5;5;2;5.0;5.0;5.0;5.0;5.0;5.0;1.0;1.0;5.0;5.0;1;2020.0
94;Lebanon;LB;LBN;Middle East & North Africa;3;5;1;1;1;1;1;1;1;1;1;5;1;1;5;1;1;1;1;1;1;1;1;1;1;1;1;4;1;1;1;1;1;1;1;1;1;1;1;1;4;1;1;1;1;1;1;1;1;1;3;1;1;1;1;1;1;1;1;1;1;1;1;3;1;1;1;1;1;1;1;1;1;5;1;1;1;1;1;1;1;1;5;1;1;1;1;1;1;1;1;1;2.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1;2020.0
95;Lesotho;LS;LSO;Sub-Saharan Africa;2;1;5;5;5;5;1;5;5;1;5;5;1;1;1;5;5;5;5;1;5;1;5;1;1;1;1;1;4;4;4;4;1;4;1;4;1;1;1;1;1;5;5;5;1;5;1;1;1;1;1;3;3;3;3;1;3;1;3;1;1;1;1;1;3;3;3;3;1;3;1;3;5;1;5;5;5;5;1;5;1;5;5;5;1;1;1;1;1;1;1;1;1.0;5.0;5.0;5.0;5.0;1.0;5.0;1.0;5.0;1.0;1;2020.0
96;Liberia;LR;LBR;Sub-Saharan Africa;1;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;4;4;4;4;4;4;4;4;4;4;5;4;4;3;3;3;3;3;3;3;3;3;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5.0;5.0;5.0;5.0;5.0;5.0;5.0;5.0;5.0;5.0;5;2020.0
97;Libya;LY;LBY;Middle East & North Africa;3;1;5;5;1;5;1;1;1;1;1;5;1;1;2;2;2;2;5;2;2;2;2;2;1;2;2;1;1;1;1;4;1;1;1;1;1;1;1;1;1;1;1;4;1;1;1;1;1;1;1;5;5;1;3;1;1;1;1;1;1;1;1;1;1;1;1;3;1;1;1;1;4;1;1;1;1;4;1;1;1;1;5;1;1;1;1;1;1;1;1;1;1.0;5.0;5.0;1.0;5.0;1.0;1.0;1.0;1.0;1.0;1;2020.0
98;Liechtenstein;LI;LIE;Europe & Central Asia;4;5;1;1;1;1;1;5;5;1;1;5;1;1;5;1;1;1;1;1;5;1;1;5;5;1;1;5;1;1;1;1;1;5;1;1;5;5;1;1;5;1;1;1;1;5;5;5;1;1;4;1;1;1;1;1;4;1;1;4;5;1;1;5;1;1;1;1;1;5;1;1;5;5;1;1;1;1;1;5;1;1;5;5;1;1;5;5;5;5;1;1;5.0;1.0;1.0;1.0;1.0;1.0;5.0;1.0;1.0;1.0;1;2020.0
99;Lithuania;LT;LTU;Europe & Central Asia;4;5;5;5;5;5;5;5;5;5;1;5;5;1;5;5;5;5;5;5;5;5;1;1;5;5;1;5;5;5;4;4;5;5;4;1;1;5;5;1;5;5;5;4;5;4;1;2;5;1;5;5;5;3;3;5;5;3;1;1;5;5;1;5;5;5;5;5;5;5;3;1;5;5;5;5;5;5;5;5;5;1;5;5;5;1;5;5;1;5;5;1;5.0;5.0;5.0;5.0;5.0;5.0;5.0;5.0;1.0;5.0;1;2020.0
100;Luxembourg;LU;LUX;Europe & Central Asia;4;5;5;5;5;1;5;5;5;1;5;5;5;5;5;5;5;5;1;5;5;1;5;1;5;5;5;5;5;5;5;1;5;5;1;5;1;5;5;5;5;5;5;1;5;5;1;5;5;5;4;4;4;1;1;4;4;1;1;1;5;4;4;5;5;5;1;1;5;5;1;1;5;5;5;5;5;1;5;5;1;5;5;5;5;5;5;5;1;5;5;5;5.0;5.0;5.0;;1.0;5.0;5.0;1.0;;5.0;5;2020.0
