;COUNTRY_ISO_3;_merge;TIME_PERIOD;INDICATOR_NAME;INDICATOR_INDEX;INDICATOR_ISSUE;INDICATOR_CATEGORY;INDICATOR_CODE;ATTR_SOURCE;ATTR_SOURCE_BODY;ATTR_INDICATOR_DESCRIPTION;ATTR_INDICATOR_EXPLANATION;ATTR_UNIT_MEASURE;ATTR_DATA_EXTRACTION_METHDOLOGY;ATTR_SOURCE_TITLE;ATTR_API_ENDPOINT_URL;CRBA_RELEASE_YEAR
57;SWZ;both;2023;Equal pay;Workplace;Decent working conditions;Legal framework national;WP_DW_LF_EQUPAY;https://www.worldpolicycenter.org/policies/is-equal-pay-guaranteed-for-men-and-women;World Policy Analysis Centre;Is equal pay guaranteed for men and women?;;;;Is equal pay guaranteed for men and women? ;nan;2023
58;ETH;both;2023;Equal pay;Workplace;Decent working conditions;Legal framework national;WP_DW_LF_EQUPAY;https://www.worldpolicycenter.org/policies/is-equal-pay-guaranteed-for-men-and-women;World Policy Analysis Centre;Is equal pay guaranteed for men and women?;;;;Is equal pay guaranteed for men and women? ;nan;2023
59;FJI;both;2023;Equal pay;Workplace;Decent working conditions;Legal framework national;WP_DW_LF_EQUPAY;https://www.worldpolicycenter.org/policies/is-equal-pay-guaranteed-for-men-and-women;World Policy Analysis Centre;Is equal pay guaranteed for men and women?;;;;Is equal pay guaranteed for men and women? ;nan;2023
60;FIN;both;2023;Equal pay;Workplace;Decent working conditions;Legal framework national;WP_DW_LF_EQUPAY;https://www.worldpolicycenter.org/policies/is-equal-pay-guaranteed-for-men-and-women;World Policy Analysis Centre;Is equal pay guaranteed for men and women?;;;;Is equal pay guaranteed for men and women? ;nan;2023
61;FRA;both;2023;Equal pay;Workplace;Decent working conditions;Legal framework national;WP_DW_LF_EQUPAY;https://www.worldpolicycenter.org/policies/is-equal-pay-guaranteed-for-men-and-women;World Policy Analysis Centre;Is equal pay guaranteed for men and women?;;;;Is equal pay guaranteed for men and women? ;nan;2023
62;GAB;both;2023;Equal pay;Workplace;Decent working conditions;Legal framework national;WP_DW_LF_EQUPAY;https://www.worldpolicycenter.org/policies/is-equal-pay-guaranteed-for-men-and-women;World Policy Analysis Centre;Is equal pay guaranteed for men and women?;;;;Is equal pay guaranteed for men and women? ;nan;2023
63;GMB;both;2023;Equal pay;Workplace;Decent working conditions;Legal framework national;WP_DW_LF_EQUPAY;https://www.worldpolicycenter.org/policies/is-equal-pay-guaranteed-for-men-and-women;World Policy Analysis Centre;Is equal pay guaranteed for men and women?;;;;Is equal pay guaranteed for men and women? ;nan;2023
64;GEO;both;2023;Equal pay;Workplace;Decent working conditions;Legal framework national;WP_DW_LF_EQUPAY;https://www.worldpolicycenter.org/policies/is-equal-pay-guaranteed-for-men-and-women;World Policy Analysis Centre;Is equal pay guaranteed for men and women?;;;;Is equal pay guaranteed for men and women? ;nan;2023
65;DEU;both;2023;Equal pay;Workplace;Decent working conditions;Legal framework national;WP_DW_LF_EQUPAY;https://www.worldpolicycenter.org/policies/is-equal-pay-guaranteed-for-men-and-women;World Policy Analysis Centre;Is equal pay guaranteed for men and women?;;;;Is equal pay guaranteed for men and women? ;nan;2023
66;GHA;both;2023;Equal pay;Workplace;Decent working conditions;Legal framework national;WP_DW_LF_EQUPAY;https://www.worldpolicycenter.org/policies/is-equal-pay-guaranteed-for-men-and-women;World Policy Analysis Centre;Is equal pay guaranteed for men and women?;;;;Is equal pay guaranteed for men and women? ;nan;2023
67;GRC;both;2023;Equal pay;Workplace;Decent working conditions;Legal framework national;WP_DW_LF_EQUPAY;https://www.worldpolicycenter.org/policies/is-equal-pay-guaranteed-for-men-and-women;World Policy Analysis Centre;Is equal pay guaranteed for men and women?;;;;Is equal pay guaranteed for men and women? ;nan;2023
68;GRD;both;2023;Equal pay;Workplace;Decent working conditions;Legal framework national;WP_DW_LF_EQUPAY;https://www.worldpolicycenter.org/policies/is-equal-pay-guaranteed-for-men-and-women;World Policy Analysis Centre;Is equal pay guaranteed for men and women?;;;;Is equal pay guaranteed for men and women? ;nan;2023
69;GTM;both;2023;Equal pay;Workplace;Decent working conditions;Legal framework national;WP_DW_LF_EQUPAY;https://www.worldpolicycenter.org/policies/is-equal-pay-guaranteed-for-men-and-women;World Policy Analysis Centre;Is equal pay guaranteed for men and women?;;;;Is equal pay guaranteed for men and women? ;nan;2023
70;GIN;both;2023;Equal pay;Workplace;Decent working conditions;Legal framework national;WP_DW_LF_EQUPAY;https://www.worldpolicycenter.org/policies/is-equal-pay-guaranteed-for-men-and-women;World Policy Analysis Centre;Is equal pay guaranteed for men and women?;;;;Is equal pay guaranteed for men and women? ;nan;2023
71;GNB;both;2023;Equal pay;Workplace;Decent working conditions;Legal framework national;WP_DW_LF_EQUPAY;https://www.worldpolicycenter.org/policies/is-equal-pay-guaranteed-for-men-and-women;World Policy Analysis Centre;Is equal pay guaranteed for men and women?;;;;Is equal pay guaranteed for men and women? ;nan;2023
72;GUY;both;2023;Equal pay;Workplace;Decent working conditions;Legal framework national;WP_DW_LF_EQUPAY;https://www.worldpolicycenter.org/policies/is-equal-pay-guaranteed-for-men-and-women;World Policy Analysis Centre;Is equal pay guaranteed for men and women?;;;;Is equal pay guaranteed for men and women? ;nan;2023
73;HTI;both;2023;Equal pay;Workplace;Decent working conditions;Legal framework national;WP_DW_LF_EQUPAY;https://www.worldpolicycenter.org/policies/is-equal-pay-guaranteed-for-men-and-women;World Policy Analysis Centre;Is equal pay guaranteed for men and women?;;;;Is equal pay guaranteed for men and women? ;nan;2023
74;HND;both;2023;Equal pay;Workplace;Decent working conditions;Legal framework national;WP_DW_LF_EQUPAY;https://www.worldpolicycenter.org/policies/is-equal-pay-guaranteed-for-men-and-women;World Policy Analysis Centre;Is equal pay guaranteed for men and women?;;;;Is equal pay guaranteed for men and women? ;nan;2023
75;HUN;both;2023;Equal pay;Workplace;Decent working conditions;Legal framework national;WP_DW_LF_EQUPAY;https://www.worldpolicycenter.org/policies/is-equal-pay-guaranteed-for-men-and-women;World Policy Analysis Centre;Is equal pay guaranteed for men and women?;;;;Is equal pay guaranteed for men and women? ;nan;2023
76;ISL;both;2023;Equal pay;Workplace;Decent working conditions;Legal framework national;WP_DW_LF_EQUPAY;https://www.worldpolicycenter.org/policies/is-equal-pay-guaranteed-for-men-and-women;World Policy Analysis Centre;Is equal pay guaranteed for men and women?;;;;Is equal pay guaranteed for men and women? ;nan;2023
77;IND;both;2023;Equal pay;Workplace;Decent working conditions;Legal framework national;WP_DW_LF_EQUPAY;https://www.worldpolicycenter.org/policies/is-equal-pay-guaranteed-for-men-and-women;World Policy Analysis Centre;Is equal pay guaranteed for men and women?;;;;Is equal pay guaranteed for men and women? ;nan;2023
78;IDN;both;2023;Equal pay;Workplace;Decent working conditions;Legal framework national;WP_DW_LF_EQUPAY;https://www.worldpolicycenter.org/policies/is-equal-pay-guaranteed-for-men-and-women;World Policy Analysis Centre;Is equal pay guaranteed for men and women?;;;;Is equal pay guaranteed for men and women? ;nan;2023
79;IRN;both;2023;Equal pay;Workplace;Decent working conditions;Legal framework national;WP_DW_LF_EQUPAY;https://www.worldpolicycenter.org/policies/is-equal-pay-guaranteed-for-men-and-women;World Policy Analysis Centre;Is equal pay guaranteed for men and women?;;;;Is equal pay guaranteed for men and women? ;nan;2023
80;IRQ;both;2023;Equal pay;Workplace;Decent working conditions;Legal framework national;WP_DW_LF_EQUPAY;https://www.worldpolicycenter.org/policies/is-equal-pay-guaranteed-for-men-and-women;World Policy Analysis Centre;Is equal pay guaranteed for men and women?;;;;Is equal pay guaranteed for men and women? ;nan;2023
81;IRL;both;2023;Equal pay;Workplace;Decent working conditions;Legal framework national;WP_DW_LF_EQUPAY;https://www.worldpolicycenter.org/policies/is-equal-pay-guaranteed-for-men-and-women;World Policy Analysis Centre;Is equal pay guaranteed for men and women?;;;;Is equal pay guaranteed for men and women? ;nan;2023
82;ISR;both;2023;Equal pay;Workplace;Decent working conditions;Legal framework national;WP_DW_LF_EQUPAY;https://www.worldpolicycenter.org/policies/is-equal-pay-guaranteed-for-men-and-women;World Policy Analysis Centre;Is equal pay guaranteed for men and women?;;;;Is equal pay guaranteed for men and women? ;nan;2023
