;DIM_SDG_INDICATOR;ATTR_SDG_INDICATOR_DESCRIPTION;COUNTRY_NAME;TIME_PERIOD;RAW_OBS_VALUE;ATTR_SOURCE_OF_SOURCE;ATTR_FOOTNOTE_OF_SOURCE;DIM_REP_TYPE;COUNTRY_ISO_2;COUNTRY_ISO_3;_merge;INDICATOR_NAME;INDICATOR_INDEX;INDICATOR_ISSUE;INDICATOR_CATEGORY;INDICATOR_CODE;ATTR_SOURCE;ATTR_SOURCE_BODY;ATTR_INDICATOR_DESCRIPTION;ATTR_INDICATOR_EXPLANATION;ATTR_UNIT_MEASURE;ATTR_DATA_EXTRACTION_METHDOLOGY;ATTR_SOURCE_TITLE;ATTR_API_ENDPOINT_URL;CRBA_RELEASE_YEAR
22;_T;;;2023.0;;;;_T;;BWA;right_only;Electronic waste recycling;Marketplace;Product Safety;Outcome;MP_PS_OC_ELWARE;https://unstats.un.org/sdgs/indicators/database/;UN SDG;SDG Database 12.4.2, 12.5.1,  Series:  Electronic waste recycling, per capita (Kg) EN_EWT_RCYPCAP;;KG_PER_CAPITA;;SDG Indicator 8.7.1. 12.4.2, 12.5.1,  Series:  Electronic waste recycling, per capita (Kg) EN_EWT_RCYPCAP;https://unstats.un.org/SDGAPI/v1/sdg/Series/Data?seriesCode=EN_EWT_RCYPCAP&pageSize=999999999;2023
23;_T;;;2023.0;;;;_T;;BRA;right_only;Electronic waste recycling;Marketplace;Product Safety;Outcome;MP_PS_OC_ELWARE;https://unstats.un.org/sdgs/indicators/database/;UN SDG;SDG Database 12.4.2, 12.5.1,  Series:  Electronic waste recycling, per capita (Kg) EN_EWT_RCYPCAP;;KG_PER_CAPITA;;SDG Indicator 8.7.1. 12.4.2, 12.5.1,  Series:  Electronic waste recycling, per capita (Kg) EN_EWT_RCYPCAP;https://unstats.un.org/SDGAPI/v1/sdg/Series/Data?seriesCode=EN_EWT_RCYPCAP&pageSize=999999999;2023
24;_T;;;2023.0;;;;_T;;BRN;right_only;Electronic waste recycling;Marketplace;Product Safety;Outcome;MP_PS_OC_ELWARE;https://unstats.un.org/sdgs/indicators/database/;UN SDG;SDG Database 12.4.2, 12.5.1,  Series:  Electronic waste recycling, per capita (Kg) EN_EWT_RCYPCAP;;KG_PER_CAPITA;;SDG Indicator 8.7.1. 12.4.2, 12.5.1,  Series:  Electronic waste recycling, per capita (Kg) EN_EWT_RCYPCAP;https://unstats.un.org/SDGAPI/v1/sdg/Series/Data?seriesCode=EN_EWT_RCYPCAP&pageSize=999999999;2023
25;12.5.1;Electronic waste recycling, per capita (Kg);Bulgaria;2018.0;6.68;Eurostat;[''];Global;BG;BGR;both;Electronic waste recycling;Marketplace;Product Safety;Outcome;MP_PS_OC_ELWARE;https://unstats.un.org/sdgs/indicators/database/;UN SDG;SDG Database 12.4.2, 12.5.1,  Series:  Electronic waste recycling, per capita (Kg) EN_EWT_RCYPCAP;;KG_PER_CAPITA;;SDG Indicator 8.7.1. 12.4.2, 12.5.1,  Series:  Electronic waste recycling, per capita (Kg) EN_EWT_RCYPCAP;https://unstats.un.org/SDGAPI/v1/sdg/Series/Data?seriesCode=EN_EWT_RCYPCAP&pageSize=999999999;2023
26;_T;;;2023.0;;;;_T;;BFA;right_only;Electronic waste recycling;Marketplace;Product Safety;Outcome;MP_PS_OC_ELWARE;https://unstats.un.org/sdgs/indicators/database/;UN SDG;SDG Database 12.4.2, 12.5.1,  Series:  Electronic waste recycling, per capita (Kg) EN_EWT_RCYPCAP;;KG_PER_CAPITA;;SDG Indicator 8.7.1. 12.4.2, 12.5.1,  Series:  Electronic waste recycling, per capita (Kg) EN_EWT_RCYPCAP;https://unstats.un.org/SDGAPI/v1/sdg/Series/Data?seriesCode=EN_EWT_RCYPCAP&pageSize=999999999;2023
27;_T;;;2023.0;;;;_T;;BDI;right_only;Electronic waste recycling;Marketplace;Product Safety;Outcome;MP_PS_OC_ELWARE;https://unstats.un.org/sdgs/indicators/database/;UN SDG;SDG Database 12.4.2, 12.5.1,  Series:  Electronic waste recycling, per capita (Kg) EN_EWT_RCYPCAP;;KG_PER_CAPITA;;SDG Indicator 8.7.1. 12.4.2, 12.5.1,  Series:  Electronic waste recycling, per capita (Kg) EN_EWT_RCYPCAP;https://unstats.un.org/SDGAPI/v1/sdg/Series/Data?seriesCode=EN_EWT_RCYPCAP&pageSize=999999999;2023
28;_T;;;2023.0;;;;_T;;CPV;right_only;Electronic waste recycling;Marketplace;Product Safety;Outcome;MP_PS_OC_ELWARE;https://unstats.un.org/sdgs/indicators/database/;UN SDG;SDG Database 12.4.2, 12.5.1,  Series:  Electronic waste recycling, per capita (Kg) EN_EWT_RCYPCAP;;KG_PER_CAPITA;;SDG Indicator 8.7.1. 12.4.2, 12.5.1,  Series:  Electronic waste recycling, per capita (Kg) EN_EWT_RCYPCAP;https://unstats.un.org/SDGAPI/v1/sdg/Series/Data?seriesCode=EN_EWT_RCYPCAP&pageSize=999999999;2023
29;_T;;;2023.0;;;;_T;;KHM;right_only;Electronic waste recycling;Marketplace;Product Safety;Outcome;MP_PS_OC_ELWARE;https://unstats.un.org/sdgs/indicators/database/;UN SDG;SDG Database 12.4.2, 12.5.1,  Series:  Electronic waste recycling, per capita (Kg) EN_EWT_RCYPCAP;;KG_PER_CAPITA;;SDG Indicator 8.7.1. 12.4.2, 12.5.1,  Series:  Electronic waste recycling, per capita (Kg) EN_EWT_RCYPCAP;https://unstats.un.org/SDGAPI/v1/sdg/Series/Data?seriesCode=EN_EWT_RCYPCAP&pageSize=999999999;2023
30;_T;;;2023.0;;;;_T;;CMR;right_only;Electronic waste recycling;Marketplace;Product Safety;Outcome;MP_PS_OC_ELWARE;https://unstats.un.org/sdgs/indicators/database/;UN SDG;SDG Database 12.4.2, 12.5.1,  Series:  Electronic waste recycling, per capita (Kg) EN_EWT_RCYPCAP;;KG_PER_CAPITA;;SDG Indicator 8.7.1. 12.4.2, 12.5.1,  Series:  Electronic waste recycling, per capita (Kg) EN_EWT_RCYPCAP;https://unstats.un.org/SDGAPI/v1/sdg/Series/Data?seriesCode=EN_EWT_RCYPCAP&pageSize=999999999;2023
31;_T;;;2023.0;;;;_T;;CAN;right_only;Electronic waste recycling;Marketplace;Product Safety;Outcome;MP_PS_OC_ELWARE;https://unstats.un.org/sdgs/indicators/database/;UN SDG;SDG Database 12.4.2, 12.5.1,  Series:  Electronic waste recycling, per capita (Kg) EN_EWT_RCYPCAP;;KG_PER_CAPITA;;SDG Indicator 8.7.1. 12.4.2, 12.5.1,  Series:  Electronic waste recycling, per capita (Kg) EN_EWT_RCYPCAP;https://unstats.un.org/SDGAPI/v1/sdg/Series/Data?seriesCode=EN_EWT_RCYPCAP&pageSize=999999999;2023
